,First author,Year,Title,Journal,Abstract
0,"Shao, XJ",Nov 1 2019 ,River network connectivity and fish diversity,SCIENCE OF THE TOTAL ENVIRONMENT,"Frequent and severe disruptions of natural river flows associated with human activities significantly alter hydrological connectivity in large river networks, with deleterious effects on fish diversity. Understanding the relationship between fish diversity and river network connectivity is fundamental to ensuring species persistence, ecosystem integrity, and human well-being. Here, we provide a review of the mechanisms by which river network connectivity (RNC) affects fish diversity. We review the relationships between forms, systems and types of RNC and fish diversity, based on more than 100 previous studies. In summary, sustaining RNC promotes fish diversity in longitudinal and lateral axes, and species sorting, dispersal dynamics, and habitat availability are the main factors driving the distribution of fish diversity, followed by nutrition and trophic dynamics. Our work highlights the effects of RNC on fish diversity, and provides a mechanistic understanding of how RNC affects fish diversity across river basins, thus providing scientific guidance for protecting fish biodiversity and improving the health of liver network ecosystems. (C) 2019 Elsevier B.V. All rights reserved.Show less"
1,"Covino, T",Jan 15 2017 ,Hydrologic connectivity as a framework for understanding biogeochemical flux through watersheds and along fluvial networks,GEOMORPHOLOGY,"Hydrologic connections can link hillslopes to channel networks, streams to lakes, subsurface to surface, land to atmosphere, terrestrial to aquatic, and upstream to downstream. These connections can develop across vertical, lateral, and longitudinal dimensions and span spatial and temporal scales. Each of these dimensions and scales are interconnected, creating a mosaic of nested hydrologic connections and associated processes. In turn, these interacting and nested processes influence the transport, cycling, and transformation of organic material and inorganic nutrients through watersheds and along fluvial networks. Although hydrologic connections span dimensions and spatiotemporal scales, relationships between connectivity and carbon and nutrient dynamics are rarely evaluated within this framework The purpose of this paper is to provide a cross-disciplinary view of hydrologic connectivity highlighting the various forms of hydrologic connectivity that control fluxes of organic material and nutrients and to help stimulate integration across scales and dimensions, and collaboration among disciplines. (C) 2016 Elsevier B.V. All rights reserved.Show less"
2,"Butturini, A",May 1999 ,Importance of transient storage zones for ammonium and phosphate retention in a sandy-bottom Mediterranean stream,FRESHWATER BIOLOGY,"1. The ability of hyporheic sediments to exchange water and retain ammonium and phosphate in the Riera Major stream,North-East Spain, under different discharge conditions was measured by conducting short-term nutrient and chloride additions.2. The mean exchange coefficients from free-flowing water to the storage zone (k(1)) and vice versa (k(2)) were 0.82 x 10(-4) s(-1) and 7 x 10(-3) s(-1), respectively. The ratio of storage zone cross-sectional area to stream cross-sectional area (A(S)/A) averaged 2.8 x 10-2 and was negatively correlated with discharge (r = -0.85, d.f. = 13, P < 0.001).3. The percentage of hyporheic zone water which came from surface water varied as a function of discharge and hyporheic depth, ranging between 33% and 95% at 25 cm depth, and between 78% and 100% at 10 cm depth.4. The nutrient retention efficiency in the hyporheic zone at 10 cm depth measured as uptake length (S-wh) was less than 3.3 cm for ammonium and 37 cm for phosphate. Higher nutrient retentions were measured in the sediments at 10 cm depth than at 25 cm, indicating that near-surface sediments were involved more actively in phosphate retention than the deeper hyporheic sediments. The lack of ammonium at any depth of the hyporheic zone showed that ammonium was very rapidly taken up in the surfacial sediments.Show less"
3,"Hirst, C",Jun 26 2020 ,"Silicon Isotopes Reveal a Non-glacial Source of Silicon to Crescent Stream, McMurdo Dry Valleys, Antarctica",FRONTIERS IN EARTH SCIENCE,"In high latitude environments, silicon is supplied to river waters by both glacial and non-glacial chemical weathering. The signal of these two end-members is often obscured by biological uptake and/or groundwater input in the river catchment. McMurdo Dry Valleys streams in Antarctica have no deep groundwater input, no connectivity between streams and no surface vegetation cover, and thus provide a simplified system for us to constrain the supply of dissolved silicon (DSi) to rivers from chemical weathering in a glacial environment. Here we report dissolved Si concentrations, germanium/silicon ratios (Ge/Si) and silicon isotope compositions (delta Si-30(DSi)) in Crescent Stream, McMurdo Dry Valleys for samples collected between December and February in the 2014-2015, 2015-2016, and 2016-2017 austral seasons. The delta(30)Si(DSi)compositions and DSi concentrations are higher than values reported in wet-based glacial meltwaters, and form a narrow cluster within the range of values reported for permafrost dominated Arctic Rivers. High delta(30)Si(DSi)compositions, ranging from +0.90 parts per thousand to +1.39 parts per thousand, are attributed to (i) the precipitation of amorphous silica during freezing of waters in isolated pockets of the hyporheic zone in the winter and the release of Si from unfrozen pockets during meltwater-hyporheic zone exchange in the austral summer, and (ii) additional Si isotope fractionation via long-term Si uptake in clay minerals and seasonal Si uptake into diatoms superimposed on this winter-derived isotope signal. There is no relationship between delta(30)Si(DSi)compositions and DSi concentrations with seasonal and daily discharge, showing that stream waters contain DSi that is in equilibrium with the formation of secondary Si minerals in the hyporheic zone. We show that delta(30)Si(DSi)compositions can be used as tracers of silicate weathering in the hyporheic zone and possible tracers of freeze-thaw conditions in the hyporheic zone. This is important in the context of the ongoing warming in McMurdo Dry Valleys and the supply of more meltwaters to the hyporheic zone of McMurdo Dry Valley streams.Show less"
4,"Packman, A",Jul 2004 ,Hyporheic exchange with gravel beds: Basic hydrodynamic interactions and bedform-induced advective flows,JOURNAL OF HYDRAULIC ENGINEERING-ASCE,"Stream-subsurface exchange processes are important because of their role in controlling the transport of contaminants and ecologically relevant substances in streams. Laboratory flume experiments were conducted to examine solute exchange with gravel streambeds. Two morphologies were studied: flat beds and beds covered by dune-shaped bedforms. High rates of exchange were observed with flat beds under a wide range of stream flow conditions, indicating that there was considerable turbulent coupling of stream and pore water flows. The presence of bedforms produced additional exchange under all flow conditions. The exchange with bedforms could be represented well by considering solute flux caused by bedform-induced advective pumping. Pumping exchange was enhanced by inertial effects, including non-Darcy flow and turbulent diffusion. For the flat bed case, dye injections showed that exchange also occurred by a combination of advective pore water flow and turbulent diffusion near the stream-subsurface interface. The relative effects of advective and diffusive transport processes could not be separated due to the complex nature of the induced flows in the gravel bed. However, exchange was found to scale with the square of the stream Reynolds number in all cases. Comparison of these results with those obtained with coarser and finer sediments demonstrated that the exchange rate is also proportional to the square of the characteristic bed sediment size. These scaling relationships can be used to,improve interpretation of solute transport observed in natural rivers.Show less"
5,"Varricchione, JT",Dec 2005 ,Vertical and seasonal distribution of hyporheic invertebrates in streams with different glacial histories,AQUATIC SCIENCES,"We investigated the vertical, lateral, and seasonal distribution of hyporheic invertebrates at five stream sites in Idaho (unglaciated areas) and seven sites in Montana (glaciated areas), U.S.A. Conservative tracer releases and transient storage zone analyses were conducted to help characterize study sites. Hyporheic invertebrates and substrate were sampled by freeze-coring with electro-shocking, and mini-piezometers were used to measure other hyporheic conditions, including vertical hydraulic gradient (VHG). Wells were installed at some Montana sites (range: 5-175 m lateral to the channel) and shallow pits were excavated at some Idaho sites (5 m lateral to the channel) to sample hyporheic invertebrates in these saturated sediments regions. Environmental conditions varied widely among sites and between surface and hyporheic zones at each site, and most hyporheic habitat measures differed significantly between glaciated and unglaciated streams. In-channel invertebrate density and taxa richness generally decreased with increasing depth into the streambed, regardless of geographic location, history of glaciation, or season. Although hyporheic invertebrate mean density and (to a lesser extent) richness values at individual depth layers (e.g., 10-20 cm, 20-30 cm) mostly were greater in the glaciated region than the unglaciated region, density and richness between 10-50 cm did not differ significantly between the two regions. Hydrologic variables (VHG; A(S)/A [ratio of transient-storage-zone- to channel- cross-sectional areas]; TTS [turnover time of storage]; and R-h [hydraulic retention factor]) provided the best explanation for differences in sub-channel invertebrate density and richness patterns. The observation that benthic invertebrates occurred in freeze-core, well, and open-pit samples contributes to existing evidence that aquatic invertebrates occupy habitats that extend considerable distances from the active channel.Show less"
6,"Williams, JB",3rd National Conference on Environmental Science and Technology,Transport and Degradation of a Trichloroethylene Plume Within a Stream Hyporheic Zone,,
7,"Larsen, LG",Jan 2014 ,Dynamic hyporheic exchange at intermediate timescales: Testing the relative importance of evapotranspiration and flood pulses,WATER RESOURCES RESEARCH,"Hyporheic fluxes influence ecological processes across a continuum of timescales. However, few studies have been able to characterize hyporheic fluxes and residence time distributions (RTDs) over timescales of days to years, during which evapotranspiration (ET) and seasonal flood pulses create unsteady forcing. Here we present a data-driven, particle-tracking piston model that characterizes hyporheic fluxes and RTDs based on measured vertical head differences. We used the model to test the relative influence of ET and seasonal flood pulses in the Everglades (FL, USA), in a manner applicable to other low-energy floodplains or broad, shallow streams. We found that over the multiyear timescale, flood pulses that drive relatively deep (approximate to 1 m) flow paths had the dominant influence on hyporheic fluxes and residence times but that ET effects were discernible at shorter timescales (weeks to months) as a break in RTDs. Cumulative RTDs on either side of the break were generally well represented by lognormal functions, except for when ET was strong and none of the standard distributions applied to the shorter timescale. At the monthly timescale, ET increased hyporheic fluxes by 1-2 orders of magnitude; it also decreased 6 year mean residence times by 53-87%. Long, slow flow paths driven by flood pulses increased 6 year hyporheic fluxes by another 1-2 orders of magnitude, to a level comparable to that induced over the short term by shear flow in streams. Results suggest that models of intermediate-timescale processes should include at least two-storage zones with different RTDs, and that supporting field data collection occur over 3-4 years.Show less"
8,"Baxter, CV",Jul 2000 ,"Geomorphology, hyporheic exchange, and selection of spawning habitat by bull trout (Salvelinus confluentus)",CANADIAN JOURNAL OF FISHERIES AND AQUATIC SCIENCES,"The distribution and abundance of bull trout (Salvelinus confluentus) spawning were affected by geomorphology and hyporheic groundwater - stream water exchange across multiple spatial scales in streams of the Swan River basin, northwestern Montana. Among spawning tributary streams, the abundance of bull trout redds increased with increased area of alluvial valley segments that were longitudinally confined by geomorphic knickpoints. Among all valley segment types, bull trout redds were primarily found in these bounded alluvial valley segments, which possessed complex patterns of hyporheic exchange and extensive upwelling zones. Bull trout used stream reaches for spawning that were strongly influenced by upwelling. However, within these selected reaches, bull trout redds were primarily located in transitional bedforms that possessed strong localized downwelling and high intragravel flow rates. The changing relationship of spawning habitat selection, in which bull trout selected upwelling zones at one spatial scale and downwelling zones at another spatial scale, emphasizes the importance of considering multiple spatial scales within a hierarchical geomorphic context when considering the ecology of this species or plans for bull trout conservation and restoration.Show less"
9,"Liu, YY",Feb 7 2017 ,Coupled Hydro-Biogeochemical Processes Controlling Cr Reductive Immobilization in Columbia River Hyporheic Zone,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"An experiment and modeling study was conducted to investigate coupled hydro-biogeochemical processes controlling reductive immobilization of groundwater Cr in the hyporheic zone (HZ) at the U.S. Department of Energy's Hanford Site, where dynamic surface water groundwater exchange occurs on a daily basis. Experiments were performed to calibrate kinetic models, and the calibrated models were incorporated into a multicomponent reactive transport model to simulate Cr redox transformation and immobilization under field hydrological conditions. The results revealed that the rates of Cr(VI) reduction, Cr(III) accumulation, and Cr(VI) release to the river are mostly affected by dynamic sediment redox conditions represented by Fe(II) reactivity, which is controlled by its cyclic interaction with O-2 carried by river water, microbial activities, and the supply and bioavailability of organic carbon (OC) that is present in the HZ and/or carried by transport. In addition, the HZ geophysical properties including hydraulic conductivity and the thickness of the top alluvial layer have a significant influence on Cr reactive transport and immobilization by controlling residence times for reactions and the supply rates of O-2, Cr, and OC into the HZ. The results provide important insights into the dynamic redox environments in the HZ that can reductively immobilize contaminants.Show less"
