,First author,Year,Title,Journal,Abstract
0,"Zheng, Z",Jan 2014 ,A deterministic and Monte Carlo coupling method for PWR cavity radiation streaming calculation,ANNALS OF NUCLEAR ENERGY,"PWR cavity radiation streaming calculation is important for the evaluation of the radioactive dose rate in structural materials. Discrete Ordinates (S-N) method has been widely used to solve shielding problems, but it is difficult to apply to a complex geometry. Monte Carlo (MC) method can treat the geometry exactly but requires very long computing time to obtain acceptable statistic deviations. Thus, an S-N-MC coupling method is adopted in order to combine the advantages of both S-N method and MC method in PWR cavity radiation streaming calculations. To develop this coupling method, two surface source models, the combined surface source model (CSSM) and the single surface source model (SSSM), are proposed and analyzed. From the numerical results two conclusions can be drawn. (1) The S-N-MC coupling method offers a speedup factor of 2-20 compared with the MC method to obtain the same statistic deviations. (2) In the S-N-MC coupling method, the CSSM is more efficient than the SSSM in reducing statistic deviations. (C) 2013 Elsevier Ltd. All rights reserved.Show less"
1,"Vander Vorste, R",Jan 2017 ,Gammarus pulex (Crustacea: Amphipoda) avoids increasing water temperature and intraspecific competition through vertical migration into the hyporheic zone: a mesocosm experiment,AQUATIC SCIENCES,"The saturated interstices below and adjacent to the riverbed (i.e., the hyporheic zone) can be a refuge for biota during low flows, flow cessation and river drying. Prior to complete drying, organisms are constrained by abiotic and biotic factors (e.g., water temperature, competition) and may respond through vertical migration into the hyporheic zone. However, it remains unclear when temperature and competition become harsh enough to trigger migration. Furthermore, potential consequences of using the hyporheic zone, which is often food-limited, on the survival, effects on ecosystem function and physiology of organisms are unknown. We tested the hypotheses that (1) Gammarus pulex, a widespread detritivore, migrates into the hyporheic zone to avoid increasing surface water temperature and intraspecific competition and (2) that these factors would reduce their survival, leaf mass consumption and energy stores. Using 36 mesocosms, three temperature (15, 20, 25 A degrees C) and species density levels (low, medium, high) were manipulated in a factorial design over 15 days. Increasing temperature to 25 A degrees C and a threefold increase in density both caused G. pulex to vertically migrate, and the interaction of these factors was additive, rather than antagonistic or synergistic. Importantly, survival, leaf consumption and glycogen content were reduced in high temperature and density treatments, suggesting tradeoffs between tolerating harsh surface conditions and limitations of inhabiting the hyporheic zone. Identifying that the hyporheic zone is used by G. pulex to avoid high water temperature and intraspecific competition is a key finding considering the global-scale increases in temperature and flow intermittence.Show less"
2,"Hohensinner, S",Jan 2004 ,Reconstruction of the characteristics of a natural alluvial river-floodplain system and hydromorphological changes following human modifications: The Danube River (1812-1991),RIVER RESEARCH AND APPLICATIONS,"Based on detailed historical surveys from 1812, the natural riverine landscape of a 10.25-km-long reach of the Danube River in the Austrian Machland region prior to channelization is analysed. Anthropogenically induced changes of fluvial dynamics, hydrological connectivity and aquatic habitat composition are discussed, comparing the situations following channelization (1925) and flow regulation (1991). In 1812 the alluvial river-floodplain system of the Danube River comprised a highly complex channel network, numerous gravel bars and extensive islands, with the main channel and side arms (eupotamon) representing about 97% of the entire water surface at low flow. The floodplain was characterized by relatively flat terrain and numerous natural trenches (former active channels) connected to the main channel. These hydromorphological conditions led to marked expansion/contraction of the water surface area at water level fluctuations below bankfull ('flow pulse'). The high degree of hydrological connectivity enabled intensive exchange processes and favoured migrations of aquatic organisms between the river and floodplain habitats over a period of approximately 90 days per year. Overall in 1812, 57% of the active zone (active channels and floodplain) was inundated at bankfull water level.Channelization and construction of hydropower plants resulted in a truncated fluvial system. Consequently, eupotamal water bodies decreased by 65%, and gravel/sand bars and vegetated islands decreased by 94% and 97%, respectively, whereas the area of the various backwaters doubled. In 1991 the former 'flow pulse' was halved due to artificial levees and embankments, greatly diminishing hydrological connectivity and decoupling large areas of the floodplain from the main channel. Active overflow, formerly playing an important role, is now replaced by backwater flooding and seepage inflow in isolated water bodies. Copyright (C) 2003 John Wiley Sons, Ltd.Show less"
3,"Kanno, Y",Jan 2014 ,Linking movement and reproductive history of brook trout to assess habitat connectivity in a heterogeneous stream network,FRESHWATER BIOLOGY,"1. Defining functional connectivity between habitats in spatially heterogeneous landscapes is a particular challenge for small-bodied aquatic species. Traditional approaches (e.g. mark-recapture studies) preclude an assessment of animal movement over the life cycle (birth to reproduction), and movement of individuals may not represent the degree of gene movement for fecund species.2. We investigated the degree of habitat connectivity (defined as the exchange of individuals and genes between mainstem and tributary habitats) in a stream brook trout (Salvelinus fontinalis) population using mark-recapture [passive integrated transponder (PIT) tags], stationary PIT-tag antennae and genetic pedigree data collected over 4years (3425 marked individuals). We hypothesised that: (i) a combination of these data would reveal higher estimates of animal movement over the life cycle (within a generation), relative to more temporally confined approaches, and (ii) movement estimates of individuals within a generation would differ from between-generation movement of genes because of spatial variation in reproductive success associated with high fecundity of this species.3. Over half of PIT-tagged fish (juveniles and adults) were recaptured within 20m during periodic sampling, indicating restricted movement. However, continuous monitoring with stationary PIT-tag antennae revealed distinct peaks in trout movements in June and October-November, and sibship data inferred post-emergence movements of young-of-year trout that were too small to be tagged physically. A combination of these methods showed that a moderate portion of individuals (28-33%) moved between mainstem and tributary habitats over their life cycle.4. Patterns of reproductive success varied spatially and temporally. The importance of tributaries as spawning habitat was discovered by accounting for reproductive history. When individuals born in the mainstem reproduced successfully, over 50% of their surviving offspring were inferred to have been born in tributaries. This high rate of gene movement to tributaries was cryptic, and it would have been missed by estimates based only on movement of individuals.5. This study highlighted the importance of characterising animal movement over the life cycle for inferring habitat connectivity accurately. Such movements of individuals can contribute to substantial gene movements in a fecund species characterised by high variation in reproductive success.Show less"
4,"Draoui, Y",Jan 2021 ,Quantification of Surface Water-Groundwater Exchanges by GIS Coupled with Experimental Gauging in an Alluvial Environment,INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,"Surface water and groundwater are two interrelated components, where the influence of one automatically affects the quantity and quality of the other. These exchange flows are robustly influenced by some mechanisms such as permeability, lithological nature of the soil, landscape, in addition to the difference between the hydrometric height of the river and the piezometric level of groundwater. The study area of Bou Ahmed plain is vulnerable to intensive pumping mainly in the coastal fringe. The increase in water demand, due to demographic development, is accompanied by pressure on groundwater abstraction which causes significant drops of the groundwater level. The main objectives of this study are to develop Geographic Information System database and mathematical models to analyze spatial and temporal hydrogeological characteristics and hydrodynamic functioning of groundwater flow of the Bou Ahmed aquifer. The present work exhibits the characteristics of the river-groundwater exchanges in an alluvial plain. Therefore, we quantified the flows exchanged between a river and its groundwater using GIS tools along with measurements of parameters obtained by the differential gauging, which was carried out in the field, and hydrogeological boreholes data. These quantified flows, moreover, enabled us to eventually estimate the uncertainties related to the use of the GIS method. These results will also be used to support a set of groundwater simulations based on MODFLOW code in the Bou Ahmad aquifer. These models also associated with develop Geographic Information System will help to better plan, manage and control the groundwater resources of this aquifer.Show less"
5,"Albanese, S",Jun 2013 ,Assessment of the environmental conditions of the Sarno river basin (south Italy): a stream sediment approach,ENVIRONMENTAL GEOCHEMISTRY AND HEALTH,"The Sarno river basin covers an area of 500 km(2) collecting the waters of Solofrana and Cavaiola tributaries. Originally it manly represents a source of livelihood for inhabitants by fishing and transporting goods; currently, the Sarno river, still partially used for irrigation, is affected by an extreme environmental degradation as a result of uncontrolled outflow of industrial waste. Within the framework of a wider geochemical prospecting project aiming at characterizing the whole territory of the Campania region, 89 stream sediment samples with a sampling density of 1 sample per 5 km(2) were collected in the river basin and analyzed by means of inductively coupled plasma-mass spectrometry in order to assess the environmental conditions at a regional scale. A GIS-aided technique, based on both the actual distribution of potentially harmful elements and their regional background values, was used to generate the maps of the contamination factors and of the contamination degrees for As, Cd, Cr, Cu, Hg, Pb and Zn. Furthermore, a factor analysis was performed to assess the nature and the extent of contamination sources for the river sediments. Results showed that the Sarno river basin could be divided in two ""environmental status"" units: one, low contaminated, corresponding to the hilly and mountain areas, and the second, from moderately to very highly contaminated, corresponding to the economically developed areas of the valley floor characterized by a high population density. This work was developed within a project that aims to investigate the relationships between environmental pollution and human health by analyzing environmental media (stream sediments, water, soil and vegetation) together with human hair of resident population. In this context, the spatial correlation between the extremely compromised environmental conditions of developed areas and the incidence rate of liver cancer in the same area was also explored posing the need of a careful costs/benefits analysis to assess whether the deterioration of the environment, that could adversely affect the conditions of public health, is worth the economic development.Show less"
6,"Welsh, MK",Jan 3 2020 ,Stream and floodplain restoration impacts riparian zone hydrology of agricultural streams,ENVIRONMENTAL MONITORING AND ASSESSMENT,"While the influence of stream restoration on vertical and lateral hyporheic exchange has been documented, impacts on broader riparian zone hydrology have not been thoroughly investigated. We quantified riparian water table dynamics, hydraulic gradient, and groundwater flow paths and fluxes across a range of hydrologic conditions following natural channel design restoration (riparian regrading, in-channel cross-vane structure installation). Water table measurements were collected at least once per season for 2.5 years to capture water levels during baseflow conditions from networks of wells and piezometers at sites with different stream morphology (created riffle-cross-vane-scour pool complexes versus natural pools and riffles), restoration status (agricultural restored, unrestored, forested reference), and riparian characteristics (slope, soils, topography) in North Carolina, USA. The regraded riparian zone had higher near-stream water tables (< 0.5 m below ground surface) than the unrestored site. Riffle-cross-vane complexes induced a zone of low hydraulic gradient that spanned 30-40% of the riparian area, similar to groundwater dynamics near beaver dams. This effect persisted regardless of hydrologic condition (wet or dry) or scour pool status (functioning or filled-in). Riffles also promoted a lower near-stream hydraulic gradient at the forested site. Conversely, the influence of stream features on riparian groundwater was minimal at the unrestored site, where groundwater fluxes were controlled by hillslope inputs and riparian geomorphology. Overall, restoration enhanced stream-riparian zone hydrologic interaction beyond the immediate hyporheic zone. Our work stresses that cross-vanes, even when partially buried by sediments post-restoration, impact whole floodplain hydrology in a more significant way than shown by prior stream restoration studies.Show less"
7,"Zhang, JH",Nov 2019 ,"Water-Exchange Response of Downstream River-Lake System to the Flow Regulation of the Three Gorges Reservoir, China",WATER,"Hydrological regime changes in the river-lake system and their influences on the ecological environment downstream dams have attracted increasingly more attention all over the world. The Dongting lake downstream of the Three Gorges Dam (TGD) in the Yangtze River has been experiencing a series of hydraulic and hydrological changes over the last decade. The hydrological and ecological influences of the TGD flow regulation on the Dongting river-lake system and its functional mechanism during the impounding periods remain extremely unclear. This study examines the hydrological changes in the Dongting river-lake system based on a 1D/2D coupled hydrodynamic model. In particular, the inflow boundary of the model with and without the TGD was applied with the outflow and inflow of the TGD, respectively, during the same regulation periods. The results show that the diverted flow from the Yangtze River into the Dongting lake and outflow from the lake back to the river drastically decreased during the impounding periods, especially in October. The decreased water exchange between the Yangtze River and the Dongting lake impaired the water residence capacity to some extent in the lake. Stage decrease in the lake area resulted in a significant reduction in the water volume of the Dongting lake with the same time percentage. In addition, the obvious drainage effect in Dongting lake due to the increased stage difference and current speed after the TGD operation was the essential cause of hydrological changes in the lake area. These results provide an improvement in the understanding of impoundment influences on the large river-lake system and give some practical information for ecological environment management in similar river-lake systems.Show less"
8,"Choi, S",Sep 2017 ,A comprehensive index for stream depletion in coupled human-water systems,JOURNAL OF HYDRO-ENVIRONMENT RESEARCH,"Intensive land use and land cover (LULC) change along with the gradually increasing effects of climate change have made streams both hydrologically and ecologically vulnerable to depletion. Since stream depletion has a direct impact on human and ecological water use with socioeconomic and ecological consequences, it is imperative to manage streams to keep them in a healthy state. In this study, we developed a stream depletion potential index (SDPI) based on the concept of a coupled human-water system (CHWS) operating at simultaneous, interacting scales, and we tested its applicability to watersheds across South Korea. Eight indicators -precipitation, dry days, effective basin area, stream water usage, return flow, groundwater usage, impervious area, and environmental flow supplied by dams -were identified as the key variables for the SDPI. We adopted the Structural Equation Model (SEM) to estimate the weights of the identified indicators based on their causal relationships. Furthermore, we applied three different weighting schemes for urban, rural, and intermediate areas to make the index more effective and applicable to watershed LULC. The spatial distribution of the SDPI results indicated that the western Han River, the central and southern Nak-Dong River and some parts of the southwestern region of the Korean peninsula are prone to stream depletion from several different causes. The SDPI, by predicting changing streamfiow characteristics, can be used by policy makers and stakeholders to determine a safe yield for both human and environmental stream use without causing a long-term decline of water availability. (C) 2017 International Association for Hydro-environment Engineering and Research, Asia Pacific Division. Published by Elsevier B.V. All rights reserved.Show less"
9,"Bolland, JD",Oct 2012 ,THE IMPORTANCE OF VARIABLE LATERAL CONNECTIVITY BETWEEN ARTIFICIAL FLOODPLAIN WATERBODIES AND RIVER CHANNELS,RIVER RESEARCH AND APPLICATIONS,"The rehabilitation of lowland rivers subjected to channelization and artificial levee construction should attempt to improve habitat heterogeneity and diversity of floodplain hydrological connectivity. However, rehabilitation efforts rarely consider the importance of variable lateral hydrological connectivity between floodplain waterbodies and main river channels (ranging from those permanently connected to those temporarily connected during river level rises), instead focusing on increasing individual floodplain waterbody connectivity. This study investigated the young-of-the-year (YoY) fish communities in 10 artificial floodplain waterbodies of variable hydrological connectivity with the river Trent, England, between May and November 2006, inclusive. Floodplain waterbody connectivity to the main river was positively correlated with the number of species captured (alpha diversity), ShannonWiener diversity, Margalef's species richness index and the relative abundance of rheophilic species and negatively correlated with species turnover (beta diversity). YoY fish communities in poorly connected water bodies were most dissimilar to riverine communities. The results demonstrate the importance of variable lateral connectivity between artificial floodplain waterbodies and main river channels when rehabilitating lowland river fish communities. Copyright (c) 2011 John Wiley & Sons, Ltd.Show less"
