,First author,Year,Title,Journal,Abstract
0,"Van Looy, K",Sep 2006 ,Order and disorder in the river continuum: the contribution of continuity and connectivity to floodplain meadow biodiversity,JOURNAL OF BIOGEOGRAPHY,"Aspects of connectivity and continuity operating in the River Meuse were analysed for their contribution to the biodiversity of the floodplain. From this analysis of the diversity and composition of the meadow communities, we aimed to derive effective biodiversity conservation strategies.The River Meuse is one of the larger rivers in the European Western Plains ecoregion. The alluvial plains of the river have a long history of cultivation, and for these plains the floodplain meadow vegetation is a highly appreciated and valuable nature conservation asset.We sampled floodplain meadows from 400 km of the six geomorphic reaches of the middle to lower course of the River Meuse. For each, 50 vascular plant releves were recorded, representing the spectrum of floodplain meadow communities of that reach. Beta diversity was calculated to quantify similarity in species pools between the reaches. A dissimilarity formula was used to determine the turnover between the reaches, and these dissimilarities were compared with a Mantel test to detect whether species composition of the floodplain meadows exhibited connectivity and continuity between the reaches. Species richness for the floodplain vegetation data of the reaches was compared with data for riparian invertebrate communities. The vegetation data sets were ordinated using detrended correspondence analysis (DCA) to reveal patterns in the floodplain meadow species composition, and the DCA axes were related to plant functional groups and population strategies. The axis scores of the species and plots were linked to river and plant species traits.We did not observe an overall continuity trend in similarity, nor one in diversity in a downstream direction. Lateral connectivity was highlighted by the dissimilarity between the reaches and in the influxes of species from adjacent ecoregions. The DCA ordination showed statistically significant separations between reaches and between the plant functional groups. The second DCA axis related to the longitudinal gradient of the river, whereas the first axis showed stronger correlations with river and plant species traits. We termed this axis the 'disorder axis'. Plant invaders and avoiders are located at the left side of the disorder axis, whereas the true river-adapted categories of resisters and endurers are at the right extremity. Contributions to the disorder were identified in terms of connectivity with adjacent ecoregions and the physical disturbance regime of natural and anthropogenic perturbations, resulting in community changes between the reaches.We concluded that a single overall strategy for biodiversity conservation of the river or its floodplains is not feasible. Strategies can, however, be derived for separate river reaches based on functional groups in the communities, the disorder characteristics of the reach, and the influence of surrounding ecoregions.Show less"
1,"Sonke, W",Feb 2022 ,Alluvial connectivity in multi-channel networks in rivers and estuaries,EARTH SURFACE PROCESSES AND LANDFORMS,"Channels in rivers and estuaries are the main paths of fluvial and tidal currents that transport sediment through the system. While network representations of multi-channel systems and their connectivity are quite useful for characterisation of braiding patterns and dynamics, the recognition of channels and their properties is complicated because of the large bed elevation variations, such as shallow shoals and bed steps that render channels visually disconnected. We present and analyse two mathematically rigorous methods to identify channel networks from a terrain model of the river bed. Both methods construct a dense network of locally steepest-descent channels from saddle points on the terrain, and select a subset of channels with a certain minimum sediment volume between them. This is closely linked to the main mechanism of channel formation and change by displacement of sediment volume. The two methods differ in how they compute these sediment volumes: either globally through the entire length of the river, or locally. We compare the methods for the measured bathymetry of the Western Scheldt estuary, The Netherlands, over the past decades. The global method is overly sensitive to small changes elsewhere in the network compared to the local method. We conclude that the local method works best conceptually and for stability reasons. The associated concept of alluvial connectivity between channels in a network is thus the inverse of the volume of sediment that must be displaced to merge the channels. Our method opens up possibilities for new analyses as shown in two examples. First, it shows a clear pattern of scale dependence on volume of the total network length and of the number of nodes by a power law relation, showing that the smaller channels are relatively much shorter. Second, channel bifurcations were found to be predominantly mildly asymmetrical, which is unexpected from fluvial bifurcation theory.Show less"
2,"Vauclin, S",Jun 2020 ,Effects of river infrastructures on the floodplain sedimentary environment in the Rhone River,JOURNAL OF SOILS AND SEDIMENTS,"Purpose River infrastructures such as dikes, groynes, and dams are ubiquitous on most large rivers, and although their consequences on the riverbed morphology have often been studied, the effect they might have on the river floodplain and margins remains largely unknown. By investigating the structure and composition of floodplain sediments in three areas along the Rhone River that were extensively engineered during the last 150 years, this paper aims to understand whether river infrastructures might systematically induce a change in sedimentation patterns in the river margins. Materials and methods A total of fifteen sediment cores were sampled in three distinct reaches of the Rhone valley downstream of Lyon. They were thoroughly analyzed in terms of grain size, using heatmap representations and end-member analysis. Six metallic elements (Zn, Cr, Pb, Cu, Ni, Cd) were systematically quantified. In six out of the fifteen cores, total organic carbon (TOC), organic contaminants (PCBs) concentrations, and(137)Cs activity were also assessed. Results and discussion A sharp change in grain size distribution is consistently identified in the sediment cores of all three study reaches. The sediments above this change are fine (D-50 < 100 mu m), poorly classified and homogenous. They also show a relative increase in contamination when compared with deeper sediments. We interpret this change in sediment characteristics as the consequence of an abrupt decrease in connectivity between the floodplain and the river channel, likely due to the implementation of navigation infrastructures in the channel in the second half of the nineteenth century. In one case, the dating of the sediment cores allows linking the grain size change to the implementation of navigation infrastructures in the channel. In the other study areas, the effect of engineering seems delayed in time due to local variability. Conclusions The implementation of river infrastructures resulted in a loss of connectivity between the floodplain and the channel. This was reflected as the homogenization of the floodplain sedimentary environment of the Rhone River all along its course from Lyon to the sea. A similar phenomenon might be present in most engineered rivers across Europe.Show less"
3,"Jumani, S",Mar 2022 ,A new index to quantify longitudinal river fragmentation: Conservation and management implications,ECOLOGICAL INDICATORS,"The proliferation of river infrastructure projects has altered aquatic longitudinal connectivity, posing a growing threat to riverine biodiversity and ecosystem processes worldwide. Effective methods to quantify loss of river connectivity across spatiotemporal scales and in data-limited landscapes are important to understand and inform basin-wide conservation and development planning. Here we introduce a Catchment Area-based Fragmentation Index (CAFI) and its derivative, the Catchment Area-and Rainfall-based Fragmentation Index (CARFI) as new metrics to quantify river fragmentation. These indices use catchment area as a proxy for riverine habitat availability, avoiding the drawbacks of existing metrics that rely on river length and associated derivatives. CAFI/CARFI can be computed across spatiotemporal scales, incorporate barrier passability values, assesses the cumulative impact of multiple barriers, and be applied even in data-limited environments. We first applied CAFI and CARFI to a simulated network to illustrate their properties with respect to the number and location of barriers and compared these results to the widely applied Dendritic Connectivity Index (DCI). While all indices varied with barrier addition, CAFI and CARFI were more sensitive to both barrier number and location. Next, we illustrated the utility of CAFI and CARFI through case studies in two contrasting settings: the Klamath River in California, where dam building has ceased (and dam removals are being considered) and the Netravathi River in India, where dam building is ongoing, with 65 dams proposed for future development. Results indicate that CAFI and CARFI can effectively quantify trends in fragmentation across spatial scales and temporal scenarios of dam development (i.e. descriptive applications) and can aid the prioritization of sites for dam removal, restoration, or conservation (i.e. prescriptive applications). Overall, these indices can quantify the impacts of individual dams and assess a range of development scenarios to inform basin-wide conservation and development planning.Show less"
4,"Si, W",Apr 2019 ,A bivariable coupling model for river channel routing developed from the flow continuity equation and its application,WATER SA,"In this study, a bivariable coupling model for river channel routing is presented. The proposed model is developed from the Priessmann 4-point implicit differential scheme with a weight coefficient of river flow continuity equation. It is based on the transformation of two different expression forms of river channel storage equation. Furthermore, we consider the impact of lateral inflow along the study river channel from another perspective. In this paper we deduct lateral inflow from the lower section instead of adding lateral inflow to the upper section. In order to be representative of geographical range, river channel characteristics, flood magnitude, hydraulic characteristics and time, the proposed model is tested in 38 river channels of 6 river systems in China by using observed data during flood season. The rationality of model structure and the validity of model simulation are examined comprehensively. Comparison between the proposed model and Muskingum model shows that the proposed model can improve the simulation accuracy. The results show that the simulation accuracy and stability of the bivariable coupling model is much better than that of the Muskingum model.Show less"
5,"Stutter, M",Nov 15 2021 ,Spatial representation of in-stream sediment phosphorus release combining channel network approaches and in-situ experiments,SCIENCE OF THE TOTAL ENVIRONMENT,"Impairment of rivers by elevated phosphorus (P) concentration is an issue often studied at outlets of mesoscale catchments. Our objective was to evaluate within-catchment spatio-temporal processes along connected reaches to understand processes of internal P loading associated with sediment input, accumulations in channels and sediment-water column P exchange. Our overall hypothesis was that heterogeneous sediment residence within the channel of a 52 km(2) mixed land cover catchment resulted in key zones for sediment-water P exchange. We evaluated the channel network through ground-survey, spatial data methods establishing connectivity and energy gradients. This gave a background to understand sampling of sediments and P release/uptake to the water column using 90 s in-situ resuspension isolating a portion of streambed over five sets of three-location transects in May (spring storms, recent active erosion) and September (summer low flow, longer sediment residence). Simple transect position models (top, mid, bottom) predicted increased sediment resuspension yields and P contents in lower settings. Sediment P release following resuspension were mean (and range) 0.5 (-0.8 to 1.8) and 0.5 (-2.5 to 3.6) mg soluble reactive P/m2 bed in May and September, respectively, strengthening generally down the transects but inconsistently. Relationships (log form) showed a steepening rise in fine sediments, P content, background and disturbance-released dissolved P, with specific stream power < 40 W/m(2). In-situ methods showed sediments dominantly (12 cases May, 13 cases Sep) as P sources capable of influencing dissolved P concentrations and with potential explanation that heterogeneous locations of internal P loading influence the systems longer-term observed P trends. Combining channel network, stream power assessment and in-situ sorption studies improved the understanding of influential zones of sediment-water P exchange within this mesoscale catchment. Such methods have potential to inform P model development and management. (C) 2021 Elsevier B.V. All rights reserved.Show less"
6,"Andreazzini, MJ",Apr 2021 ,"Development and application of a sediment connectivity index to small fluvial catchments: a case study in Arenoso stream, Cordoba, Argentina",ENVIRONMENTAL EARTH SCIENCES,"Sedimentological connectivity is associated with the degree of linkage between sediment sources and downslope areas. In this study, a connectivity index is proposed to estimate the contribution of different parts of a basin as sources of sediments and to assess the pathway of sediment flux. A small granitic basin located on the eastern slope of the Comechingones Ranges (Cordoba Province, Argentina), was selected as a case study. The semi-quantitative connectivity index is defined by the equation CI=T+Dd+C-B, in which T is the variable toposequences that represents the types of storage and lateral links; Dd is the drainage density and it is used to evaluate the longitudinal links; C corresponds to the number of connections between channels of different order in a basin and it complements Dd in the longitudinal links analysis; and B connotes barriers associated with the number and type of disconnections in the drainage network, thus its sign is negative. From cartographic and field data, a detailed lithological-geomorphological survey was carried out; storage and toposequence types were described, and the barriers were classified according to the type, size, and position in the basin. The CI was determined for each secondary and main sub-basin of the Arenoso stream. Therefore, five connectivity classes were defined from the CI values obtained. This methodology allows arising acceptable results in research associated with the spatial heterogeneity of basin connectivity. The CI developed, in this first approach, showed satisfactory results and is applicable to analysis of small mountain basins, being based mainly on geological-geomorphological-hydrographic maps coupled with detailed fieldwork.Show less"
7,"Kaser, DH",General Assembly of the European-Geosciences-Union,Spatio-temporal variations of hyporheic flow in a riffle-step-pool sequence,HYDROLOGICAL PROCESSES,
8,"McCullough, IM",Dec 2022 ,Freshwater corridors in the conterminous United States: A coarse-filter approach based on lake-stream networks,ECOSPHERE,"Maintaining regional-scale freshwater connectivity is challenging due to the dendritic, easily fragmented structure of freshwater networks, but is essential for promoting ecological resilience under climate change. Although the importance of stream network connectivity has been recognized, lake-stream network connectivity has largely been ignored. Furthermore, protected areas are generally not designed to maintain or encompass entire freshwater networks. We applied a coarse-filter approach to identify potential freshwater corridors for diverse taxa by calculating connectivity scores for 385 lake-stream networks across the conterminous United States based on network size, structure, resistance to fragmentation, and dam prevalence. We also identified 2080 disproportionately important lakes for maintaining intact networks (i.e., hubs; 2% of all network lakes) and analyzed the protection status of hubs and potential freshwater corridors. Just 3% of networks received high connectivity scores based on their large size and structure (medians of 1303 lakes, 498.6 km north-south stream distance), but these also contained a median of 454 dams. In contrast, undammed networks (17% of networks) were considerably smaller (medians of six lakes, 7.2 km north-south stream distance), indicating that the functional connectivity of the largest potential freshwater corridors in the conterminous United States currently may be diminished compared with smaller, undammed networks. Network lakes and hubs were protected at similar rates nationally across different levels of protection (8%-18% and 6%-20%, respectively), but were generally more protected in the western United States. Our results indicate that conterminous United States protection of major freshwater corridors and the hubs that maintain them generally fell short of the international conservation goal of protecting an ecologically representative, well-connected set of fresh waters (& GE;17%) by 2020 (Aichi Target 11). Conservation planning efforts might consider focusing on restoring natural hydrologic connectivity at or near hubs, particularly in larger networks, less protected, or biodiverse regions, to support freshwater biodiversity conservation under climate change.Show less"
9,"Schmadel, NM",Jul 17 2018 ,Thresholds of lake and reservoir connectivity in river networks control nitrogen removal,NATURE COMMUNICATIONS,"Lakes, reservoirs, and other ponded waters are ubiquitous features of the aquatic landscape, yet their cumulative role in nitrogen removal in large river basins is often unclear. Here we use predictive modeling, together with comprehensive river water quality, land use, and hydrography datasets, to examine and explain the influences of more than 18,000 ponded waters on nitrogen removal through river networks of the Northeastern United States. Thresholds in pond density where ponded waters become important features to regional nitrogen removal are identified and shown to vary according to a ponded waters' relative size, network position, and degree of connectivity to the river network, which suggests worldwide importance of these new metrics. Consideration of the interacting physical and biological factors, along with thresholds in connectivity, reveal where, why, and how much ponded waters function differently than streams in removing nitrogen, what regional water quality outcomes may result, and in what capacity management strategies could most effectively achieve desired nitrogen loading reduction.Show less"
