,First author,Year,Title,Journal,Abstract
0,"Siergieiev, D",2015 ,Modelling hyporheic processes for regulated rivers under transient hydrological and hydrogeological conditions,HYDROLOGY AND EARTH SYSTEM SCIENCES,"Understanding the effects of major hydrogeological controls on hyporheic exchange and bank storage is essential for river water management, groundwater abstraction, restoration and ecosystem sustainability. Analytical models cannot adequately represent complex settings with, for example, transient boundary conditions, varying geometry of surface water-groundwater interface, unsaturated and overland flow, etc. To understand the influence of parameters such as (1) sloping river banks, (2) varying hydraulic conductivity of the riverbed and (3) different river discharge wave scenarios on hyporheic exchange characteristics such as (a) bank storage, (b) return flows and (c) residence time, a 2-D hydrogeological conceptual model and, subsequently, an adequate numerical model were developed. The numerical model was calibrated against observations in the aquifer adjacent to the hydropower-regulated Lule River, northern Sweden, which has predominantly diurnal discharge fluctuations during summer and long-lasting discharge peaks during autumn and winter. Modelling results revealed that bank storage increased with river wave amplitude, wave duration and smaller slope of the river bank, while maximum exchange flux decreased with wave duration. When a homogeneous clogging layer covered the entire river-aquifer interface, hydraulic conductivity positively affected bank storage. The presence of a clogging layer with hydraulic conductivity < 0.001 m d(-1) significantly reduced the exchange flows and virtually eliminated bank storage. The bank storage return/fill time ratio was positively related to wave amplitude and the hydraulic conductivity of the interface and negatively to wave duration and bank slope. Discharge oscillations with short duration and small amplitude decreased bank storage and, therefore, the hyporheic exchange, which has implications for solute fluxes, redox conditions and the potential of riverbeds as fish-spawning locations. Based on these results, river regulation strategies can be improved by considering the effect of certain wave event configurations on hyporheic exchange to ensure harmonious hydrogeochemical functioning of the river-aquifer interfaces and related ecosystems.Show less"
1,"Stonedahl, SH",Nov 2015 ,Visualizing Hyporheic Flow Through Bedforms Using Dye Experiments and Simulation,JOVE-JOURNAL OF VISUALIZED EXPERIMENTS,"Advective exchange between the pore space of sediments and the overlying water column, called hyporheic exchange in fluvial environments, drives solute transport in rivers and many important biogeochemical processes. To improve understanding of these processes through visual demonstration, we created a hyporheic flow simulation in the multi-agent computer modeling platform NetLogo. The simulation shows virtual tracer flowing through a streambed covered with two-dimensional bedforms. Sediment, flow, and bedform characteristics are used as input variables for the model. We illustrate how these simulations match experimental observations from laboratory flume experiments based on measured input parameters. Dye is injected into the flume sediments to visualize the porewater flow. For comparison virtual tracer particles are placed at the same locations in the simulation. This coupled simulation and lab experiment has been used successfully in undergraduate and graduate laboratories to directly visualize river-porewater interactions and show how physically-based flow simulations can reproduce environmental phenomena. Students took photographs of the bed through the transparent flume walls and compared them to shapes of the dye at the same times in the simulation. This resulted in very similar trends, which allowed the students to better understand both the flow patterns and the mathematical model. The simulations also allow the user to quickly visualize the impact of each input parameter by running multiple simulations. This process can also be used in research applications to illustrate basic processes, relate interfacial fluxes and porewater transport, and support quantitative process-based modeling.Show less"
2,"Zhu, JS","3rd Remote Sensing and Hydrology Symposium (RSHS 14) / 3rd International Conference of GIS/RS in Hydrology, Water Resources and Environment (ICGRHWE 14)",Study of heterogeneous vertical hyporheic flux via streambed temperature at different depths,,
3,"Peyrard, D",Oct 15 2008 ,A coupled vertically integrated model to describe lateral exchanges between surface and subsurface in large alluvial floodplains with a fully penetrating river,HYDROLOGICAL PROCESSES,"This paper presents a vertically averaged model for studying water and solute exchanges between a large river and its adjacent alluvial aquifer flow. The hydrolic model couples horizontal 2D Saint Venant equation for river flow and a 2D Dupuit equation for aquifer flow. The dynamic coupling between river and aquifer is provided by continuity of fluxes and water level elevation between the two domains. Equations are solved simultaneously by linking the two hydrological system matrices in a single global matrix in order to ensure the continuity conditions between river and aquifer and to accurately model two-way coupling between these two domains. The model is applied to a large reach (about 36 km(2)) of the Garonne River (south-western France) and its floodplain, including an instrumented site in a meander. Simulated hydraulic heads are compared with experimental measurements on the Garonne River and aquifer in the floodplain. Model verification includes comparisons for one point sampling date (27 piezometers, 30 March 2000) and for hydraulic heads variations measured continuously over 5 months (5 piezometers, 1 June 2000). The model accurately reproduces the strong hydraulic connections between the Garonne River and its aquifer, which are confirmed by the simultaneous variation of the water level in the river and in piezometers located near the river bank. The simulations also confirmed that the model is able to reproduce ground water flow dynamics during flood events. Given these result, the hydraulic model was coupled with a solute-transport component, based on advection-dispersion equations, to investigate the theoretical dynamics of a conservative tracer over 5 years throughout the 36 km(2) reach studied. Meanders were shown to favour exchanges between river and aquifer, and although the tracer was diluted in the river, the contamination moved from the injection plots and affected both river banks. Copyright (c) 2008 John Wiley & Sons, Ltd.Show less"
4,"Korbel, KL",Mar 10 2022 ,Dynamics of microbiotic patterns reveal surface water groundwater interactions in intermittent and perennial streams,SCIENCE OF THE TOTAL ENVIRONMENT,"Exchange between groundwater (GW), hyporheic zone waters (HZ) and surface waters (SW) is critical for water quality, quantity, and the ecological health and functioning of all three ecosystems. Hydrological exchange is particularly important in intermittent creeks, such as in the Murray Darling Basin, Australia, where stream reaches shift from losing to gaining depending on the volume of surface flows. In this study we used hydrochemistry to identify SW-GW exchange and combined this with eDNA data to analyse the response of eukaryote and prokaryote communities to differing flow conditions within intermittent and perennial stream reaches. Our study suggested that SW and GW microbial communities were only around 30% similar. Differences in microbiota between SW, HZ and GW habitats were driven by changes in relative abundances of surface water dominant organisms (such as those capable of photosynthesis) as well as anaerobic taxa typical of GW environments (e.g., methanogens), with GW and HZ microbial communities becoming increasingly different to those in SW as flow ceased in intermittent creeks. Fine-scale hydrologic changes were identified through microbial communities in the perennial Maules Creek, indicating the importance of GW-SW exchange to biotic communities. This study highlights the importance of flow in shaping microbial communities and biogeochemical cycling within intermittent creeks and their connected alluvial aquifers. Our results suggest that microbiota may prove a useful indicator of SW-GW exchange, and in some circumstances, may be more sensitive in demonstrating fine-scale changes in SW-GW interactions than water chemistry. This knowledge furthers our understanding of GW-SW exchange and its impacts on ecological health.Show less"
5,"Lefebvre, S",47th Congress of the French-Limnological-Association,Nitrogen dynamics in rural streams: differences between geomorphologic units,ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,
6,"Ferencz, SB",Nov 2021 ,Aerobic respiration in riparian exchange zones of regulated river corridors,HYDROLOGICAL PROCESSES,"River stage fluctuations drive surface water-groundwater exchanges within river corridors. This study evaluates how repeated daily stage fluctuations, representative of hydropeaking conditions, influence aerobic respiration of river-sourced dissolved organic carbon (DOC) in the riparian exchange zone using reactive flow and transport simulations. Over 50 hypothetical scenarios were modelled to evaluate how the duration of the daily flood signal, river DOC concentration, aquifer hydraulic conductivity and ambient groundwater flow condition affect the fate and transport of DOC and DO in the riparian aquifer. Time series subsurface snapshots highlight how the various factors influence the subsurface distribution of DOC and DO. The total mass of DOC respired per meter of river had a wide range depending on the parameters, spanning from 1.4 to 71 g over 24-h, with high hydraulic conductivity and losing ambient groundwater flow conditions favouring the largest amount of DOC respired. The ratio of DOC mass entering the riparian zone with the mass returning to the river showed that as little as 5% to as much as 76% of the DOC that enters the bank during stage fluctuations returns to the river. This return ratio is dependent on river DOC concentration, hydraulic conductivity and ambient groundwater flow. The results illustrate that stage variations due to river regulation can be a significant control on aerobic respiration in riparian exchange zones.Show less"
7,"Marchand, JP",Jul 2022 ,High-resolution spatiotemporal analysis of hydrologic connectivity in the historical floodplain of straightened lowland agricultural streams,RIVER RESEARCH AND APPLICATIONS,"In agricultural watersheds, human interventions such as channel straightening have disrupted the hydrologic connectivity between headwater streams and their riparian environment and have thus undermined the ecological services provided by these small streams. Knowledge of the hydrologic connectivity between these streams and their immediate environment (shallow riparian groundwater in the historical floodplain and on adjacent hillslopes) in human-impacted settings is critical for understanding and restoring these hydrological systems but remains largely incomplete. The objective of this research is to investigate the hydrogeomorphological conditions controlling hydrologic connectivity in the historical floodplain of straightened lowland streams. Detailed measurements on the spatiotemporal variability of groundwater-surface water interactions between straightened reaches, historical floodplain including abandoned meanders, and the adjacent hillslopes were obtained using a dense network of piezometers at two sites in the St. Lawrence Lowlands (Quebec, Canada). Results show that the complex mechanisms controlling hydrologic connectivity in naturally meandering lowland rivers also operate in highly disturbed straightened reaches, despite backfilling and agricultural practices. The pre-straightening hydrogeomorphological configuration of the floodplain partly explains the complex patterns of piezometric fluctuations observed at the sites. The apex of the abandoned meanders stands out as a focal area of hydrologic connectivity as water levels indicate pressure transfer that may reflect flows from the stream, the hillslopes, and the surrounding historical floodplain. These unique field observations suggest that abandoned meanders should be promoted as key elements of restoration strategies in lowland agricultural straightened headwater streams.Show less"
8,"He, L",2019 ,"Coupling Analysis of Connectivity between Coarse Sediment Source Areas and Deposition Area in the Yellow River, China",POLISH JOURNAL OF ENVIRONMENTAL STUDIES,"As a coupling river system, watershed management in sediment source areas may influence downstream reach. However, the connectivity between water and sediment retention (WSR) in two coarse sediment source areas (tributaries entering the Inner Mongolia Reach, IMR, and tributaries entering the Middle Yellow River, MYR) and deposition in the Lower Yellow River (LYR) have rarely been compared. Experiential fitted models for each river segment (IMR, MYR, and LYR) are loosely linked to investigate the coupling relationship between source areas and deposition area. Analysis shows that, at the zonal scale, the connectivity between WSR in different zones and deposition reduction in different river reaches differs. WSR in tributaries of the IMR may benefit the local channel (IMR) with a priority ratio, and WSR in the stem channel of the IMR may benefit both the local (IMR) and the lower (LYR) channels with almost the same magnitude. WSR in the MYR may benefit the local channel (LT reach) and the lower channel (LYR), while the LYR has more propriety. At the zonal scale, the temporal scales over which changes in hillslopes occur also differ, as WSR in the IMY and MYR during the non-flood season may also contribute to deposition reduction in the MYR and LYR. In total, the loosely linked model may provide information of sediment along the whole river network.Show less"
9,"Hu, HZ",Nov 2014 ,Impact of microforms on nitrate transport at the groundwater-surface water interface in gaining streams,ADVANCES IN WATER RESOURCES,"Small streambed structures (or microforms, 0.01-1 m in length) exist ubiquitously in riverbed systems. Small-scale topography is potentially important in controlling hyporheic exchange flow and transport of conservative and reactive solutes at the groundwater-surface water interface. The role of microforms on NO3- transfer in a riffle-scale (macroforms of > 1 m length) hyporheic zone within a gaining river setting is investigated using a 2-D flow and transport model which accounts for both nitrification and denitrification. Results show that the short pathlines caused by microforms lead to more NO3- discharge to the river compared with a macroform-only condition due to shortened residence times of both surface water and groundwater in mixing zones. Short hyporheic exchange flow pathways caused by microforms could remain oxic along their entire length or switch from nitrate producing to nitrate consuming as oxygen concentrations decline. Microforms affect net NO3- flux by the combined effect of introducing more stream mass flux and reducing their residence time in mixing zones under different hydrological and biogeochemical conditions. Our findings underscore that ignoring microforms in river beds may underestimate NO3- load to the river and have practical implications for pore water sampling strategies in groundwater-surface water studies. (C) 2014 Elsevier Ltd. All rights reserved.Show less"
