,First author,Year,Title,Journal,Abstract
0,"Wilbanks, KA",Mar 2022 ,Flooding effects on aquatic invertebrates in oxbow lakes of a southeastern USA river floodplain,HYDROBIOLOGIA,"We investigated the relative importance of connectivity to the main river channel and the influence of flooding on macroinvertebrate distributions in oxbow lakes of a southeastern USA river floodplain. Invertebrate assemblages were described in four oxbow lakes located on the Savannah River; two with continuous connection to the main stem river (i.e., high connectivity) and two that were only connected during a significant flood event (i.e., low connectivity). Invertebrate assemblages were sampled 25 times over a major flooding event (before, during and after) in 2014-2015 to determine the influence of lateral hydrological connection. Community response (pseudo-F-1,F-19 = 1.06, P < 0.01) showed differences in oxbow lakes before, during and after flooding. Assemblages did not differ between high and low connectivity lakes before or after flooding in community response or any individual metrics. However, during flooding, oxbow lakes with high connectivity differed in Tolerance and Habit metrics, and oxbows lakes with low connectivity differed in Composition, Tolerance and Functional Feeding Group metrics. Post-flood, invertebrate assemblages quickly reverted back to pre-flood conditions. Although flooding affected invertebrate assemblages, with impacts being greatest in oxbows with low connectivity, responses were short-lived and pre-flood conditions soon reestablished.Show less"
1,"Zilli, FL",Oct 2013 ,Ecological Responses to Different Degrees of Hydrologic Connectivity: Assessing Patterns in the Bionomy of Benthic Chironomids in a Large River-Floodplain System,WETLANDS,"Floodplain wetlands of the Middle Parana River, Argentina, are regulated by their hydrologic connectivity to the main channel as well as by their position within the river network. The Chironomids are the most abundant insects that inhabit the benthos of the Parana River floodplain habitats. In order to address whether wetlands with different degrees of connectivity (disconnected, temporarily, and permanently connected) exhibit different abundance patterns and secondary production of benthic chironomids, samples were collected during a year comprising high and low water phases. The disconnected wetland exhibited the highest abundance and secondary production of chironomids. Both attributes were positively correlated to the degree of connectivity for most of the predators among the connected wetlands. Differences in assemblages' composition and secondary production were found to be in relation to the degree of connectivity, the cover of macrophytes, the detritus at the bottom, the transparency of water, the proportion of clay in bottom sediments and the location of wetlands within the floodplain. The interaction between local environmental factors mediated by lateral connectivity and regional dynamics of metapopulations established diverse patterns in the metrics of chironomids along the Parana River floodplain wetlands. Thus, various degrees of hydrologic connectivity of wetlands should be preserved to maintain a high productivity of different chironomids in the floodplain.Show less"
2,"Karim, F",Mar 2015 ,Assessing the impacts of climate change and dams on floodplain inundation and wetland connectivity in the wet-dry tropics of northern Australia,JOURNAL OF HYDROLOGY,"Floodplain wetlands and their hydrological connectivity with main river channels in the Australian wetdry tropics are under increasing pressure from global climate change and water resource development, and there is a need for modelling tools to estimate the time dynamics of connectivity. This paper describes an integrated modelling framework combining conceptual rainfall-runoff modelling, river system modelling and hydrodynamic (HD) modelling to estimate hydrological connectivity between wetlands and rivers in the Flinders and Gilbert river catchments in northern Australia. Three historical flood events ranging from a mean annual flood to a 35-year return period flood were investigated using a two dimensional HD model (MIKE 21). Inflows from upstream catchments were estimated using a river network model. Local runoff within the HD modelling domain was simulated using the Sacramento rainfall-runoff model. The Shuttle Radar Topography Mission (SRTM) derived 30 m DEM was used to reproduce floodplain topography, stream networks and wetlands in the HD model. The HD model was calibrated using stream gauge data and inundation maps derived from satellite (MODIS: MODerate resolution Imaging Spectroradiometer) imagery. An algorithm was developed to combine the simulated water heights with the DEM to quantify inundation and flow connection between wetlands and rivers. The connectivity of 18 ecologically important wetlands on the Flinders floodplain and 7 on the Gilbert floodplain were quantified. The impacts of climate change and water resource development on connectivity to individual wetlands were assessed under a projected dry climate (2nd driest of 15 GCMs), wet climate (2nd wettest of 15 GCMs) and dam conditions. The results indicate that changes in rainfall under a wetter and drier future climate could have large impacts on area, duration and frequency of inundation and connectivity. Topographic relief, river bank elevation and flood magnitude were found to be the key factors contributing to the level of connectivity. Under a wetter future climate the average duration of connection of wetlands to the main river channel increased by 7% and under a drier climate it decreased by 18%. Construction of a 248 GL dam in the Flinders catchment and two (498 and 271 GL capacity) in the Gilbert catchment could reduce the average duration of connectivity by 1% and 2% in the Flinders and Gilbert catchments respectively. This information is potentially useful to future studies on the flood-dependent ecology in this region. (C) 2014 Elsevier B.V. All rights reserved.Show less"
3,"Hu, J",Jun 2019 ,An attempt to measure longitudinal connectivity based on the community structure of phytoplankton,ENVIRONMENTAL MONITORING AND ASSESSMENT,"At present, there are few studies on the quantitative analysis of connectivity from the perspective of biocenology. This study aimed to develop a new quantitative assessment method for river connectivity based on the analysis of the effect of river connectivity on the phytoplankton community in the Shaying River, which has multiple gates. The results showed that from the view of the phytoplankton density and biomass, cryptophytes were the dominant phytoplankton group, but the cyanobacteria density was highest in the summer. In the top 10 of degrees of dominance, there were 4 species of cyanobacteria, 3 species of cryptophytes, 2 species of diatoms, and 1 species of chlorophytes. Based on the seasonal compositions and variations of the phytoplankton community, the river barriers had a great effect on the community. The community composition of the Shaying River has been transformed from a river-type community dominated by diatoms to a lake-type community dominated by cyanophytes. PCA (principal component analysis) indicated that there were obvious differences in the community structure among the sections partitioned by various river gates. According to the relative positions of the entire phytoplankton community and the relative sequence of the river gates, a potential gradient representing the river connectivity can be found; thus, the river connectivity can be quantitatively described from the perspective of the phytoplankton community, and hereby, the corresponding quantitative methods can be established. Characterizing the connectivity of rivers based on biota will facilitate assessing the effects of multiple barriers and understanding river connectivity, and provide the support for the effective management of rivers.Show less"
4,"Hester, ET",Nov 2014 ,Controls on mixing-dependent denitrification in hyporheic zones induced by riverbed dunes: A steady state modeling study,WATER RESOURCES RESEARCH,"The hyporheic zone is known to attenuate contaminants originating from surface water, yet the ability of the hyporheic zone to attenuate contaminants in upwelling groundwater plumes as they exit to surface water is less understood. We used MODFLOW and SEAM3D to simulate hyporheic flow cells induced by riverbed dunes and upwelling groundwater together with mixing-dependent denitrification of an upwelling nitrate (NO3-) plume. Our base case modeled labile dissolved organic carbon (DOC) and dissolved oxygen (DO) advecting from surface water, and DO and NO3- advecting from groundwater, typical of certain agricultural areas. We conducted sensitivity analyses that showed mixing-dependent denitrification in the hyporheic zone increased with increasing hydraulic conductivity (K), decreasing lower boundary flux, and increasing DOC in surface water or NO3- in groundwater. Surface water DOC, groundwater NO3-, and K were the most sensitive parameters affecting mixing-dependent denitrification. Nonmixing-dependent denitrification also occurred when there was surface water NO3-, and its magnitude was often greater than mixing-dependent denitrification. Nevertheless, mixing-dependent reactions provide functions that nonmixing-dependent reactions cannot, with potential for hyporheic zones to attenuate upwelling NO3- plumes, depending on geomorphic, hydraulic, and biogeochemical conditions. Stream and river restoration efforts may be able to increase mixing-dependent reactions by promoting natural processes that promote bedform creation and augment labile carbon sources.Show less"
5,"Zhang, M",3rd International Yellow River Forum,The Investigation on Equilibrium River Width in Alluvial River,,
6,"Cheong, TS",Jul 2007 ,Estimation of key parameters in model for solute transport in rivers and streams,WATER RESOURCES MANAGEMENT,"The exchange mechanisms associated with transient storage zones of a natural heterogeneous environment are often modified by unsteady water flux in the transient storage zone. This phenomenon can play an important role in the mass exchange between the free flowing water zone and the transient storage zones and may be the cause of the plateau region of the tail of observed concentration curves in natural streams. Deterministic interpretation methods are often used to generate the shape of the solute concentration curves in natural streams based on representations of transient storage exchange. Although many models are available to predict the parameters for the deterministic interpretation method, none can be used with confidence unless previously calibrated in the particular river reach under consideration. Therefore, the availability of reliable means for the provision of these parameters is usually the primary difficulty in the prediction of the rate of movement, dilution, and mixing of solute in rivers and streams. Measured tracer-response curves produced from the injection of a known quantity of soluble tracer provide one means for obtaining the requisite parameters. In this work, we advance an alternative approach based on the use of hydraulic and geometric information that are easily obtained in natural streams. Empirical equations used to predict the parameters are also analyzed to evaluate their behavior in representing solute mixing in natural streams with transient storage zones. Finally, the present proposals are validated against field meausrements of the solute concentration curves of chloride along a 1.2 km reach of the Shingobee River, Minnesota, U.S.A.Show less"
7,"Jancarkova, I",7th IAHR/IAWQ International Conference on Urban Storm Drainage,Distribution of nitrifying bacteria in a shallow stream,WATER SCIENCE AND TECHNOLOGY,
8,"Wang, SQ",Oct 4 2021 ,Life in the Fast Lane: Modeling the Fate of Glass Sponge Larvae in the Gulf Stream,FRONTIERS IN MARINE SCIENCE,"Effective conservation management of deep-sea sponges, including design of appropriate marine protected areas, requires an understanding of the connectivity between populations throughout a species' distribution. We provide the first consideration of larval connectivity among deep-sea sponge populations along the southeastern coast of North America, illustrate the influence of the Gulf Stream on dispersal, and complement published distribution models by evaluating colonization potential. Connectivity among known populations of the hexactinellid sponge Vazella pourtalesii was simulated using a 3-D biophysical dispersal model throughout its distribution from Florida, United States to Nova Scotia, Canada. We found no exchange with an estimated pelagic larval duration of 2 weeks between populations north and south of Cape Hatteras, North Carolina at surface, mid-water and seabed release depths, irrespective of month of release or application of a horizontal diffusion constant specific to cross-Gulf Stream diffusivity. The population north of Cape Hatteras and south of Cape Cod was isolated. There was some evidence that Gulf Stream eddies formed near Cape Hatteras could travel to the northwest, connecting the populations in the two sub-regions, however that would require a much longer pelagic duration than what is currently known. More likely almost all larval settlement will be in the immediate area of the adults. At sub-regional scales, connectivity was found from the Strait of Florida through to the Blake Plateau, southeastern United States, with the latter area showing potential for recruitment from more than one source population. The influence of the Charleston Bump, a shallow feature rising from the Blake Plateau, was substantial. Particles seeded just north of the Bump were transported greater distances than those seeded to the south, some of which were caught in an associated gyre, promoting retention at the seabed. To the north on the Scotian Shelf, despite weaker currents and greater distances between known occurrences, unidirectional transport was detected from Emerald Basin to the Northeast Channel between Georges and Browns Banks. These major conclusions remained consistent through simulations run with different averaging periods for the currents (decades to daily) and using two ocean model products (BNAM and GLORYS12V1).Show less"
9,"Wohl, E",Jan 2014 ,"CONTROLS ON THE LONGITUDINAL DISTRIBUTION OF CHANNEL-SPANNING LOGJAMS IN THE COLORADO FRONT RANGE, USA",RIVER RESEARCH AND APPLICATIONS,"Channel-spanning logjams completely span the active channel and create longitudinal discontinuities of the water surface and stream bed across at least two-thirds of the channel width. These jams disproportionately affect channel process and form relative to smaller jams that do not span the entire channel width. We analyze a spatially extensive dataset of 859 channel-spanning jams distributed along 124km of 16 distinct rivers on the eastern side of Rocky Mountain National Park, Colorado, USA, with drainage areas spanning 2.6 to 258km(2) and diverse valley geometry and forest stand age. We categorized valley geometry in terms of lateral confinement (confined, partly confined, or unconfined), which correlates with gradient. Jams exhibit substantial downstream variability in spacing at channel lengths of 10(2)-10(3)m. The number of jams within a reach is explained by a statistical model that includes drainage area, valley type (lateral confinement), and channel width. Longitudinal spacing of jams drops substantially at drainage areas greater than similar to 20km(2), although jam spacing exhibits tremendous variability at smaller drainage areas. We interpret the lack of jams at larger drainage areas to reflect increasing transport capacity for instream wood. We interpret the variability in jam spacing at small drainage areas to reflect local controls of valley geometry and associated wood recruitment and fluvial transport capacity. Our results suggest that management of instream wood designed to facilitate the formation of channel-spanning jams can be most effectively focused on smaller drainage areas where these jams are most abundant in the absence of management that alters instream wood recruitment or retention. Unmanaged streams in the study region with drainage area <60km(2) have similar to 1.1 channel-spanning jams per 100m length of stream. The cumulative effects of these jams on instream storage of sediment and organic matter, hyporheic exchange, instream habitat, stream metabolism, and channel-floodplain connectivity are likely to be enormous. Copyright (c) 2012 John Wiley & Sons, Ltd.Show less"
