,First author,Year,Title,Journal,Abstract
0,"De Leaniz, CG",Nov 20 2022 ,Operational methods for prioritizing the removal of river barriers: Synthesis and guidance,SCIENCE OF THE TOTAL ENVIRONMENT,"Barrier removal can be an efficient method to restore river continuity but resources available for defragmenting rivers are limited and a prioritization strategy is needed. We review methods for prioritizing barriers for removal and report on a survey asking practitioners which barrier prioritization methods they use. Opportunities for barrier removal depend to a large extent on barrier typology, as this dictates where barriers are normally located, their size, age, condition, and likely impacts. Crucially, river fragmentation depends chiefly on the number and location of barriers, not on barrier size, while the costs of barrier removal typically increase with barrier height. Acting on many small barriers will often be more cost-efficient than acting on fewer larger structures. Barriers are not randomly distributed and a small proportion of barriers have a disproportionately high impact on fragmentation, therefore targeting these 'fragmentizers' can result in substantial gains in connectivity. Barrier prioritization methods can be grouped into six main types depending on whether they are reactive or proactive, whether they are applied at local or larger spatial scales, and whether they employ an informal or a formal approach. While mathematical optimization sets the gold standard for barrier prioritization, a hybrid approach that explicitly considers uncertainties and opportunities is likely to be the most effective. The effectiveness of barrier removal can be compromised by inaccurate stream networks, erroneous barrier coordinates, and underestimation of barrier numbers. Such uncertainties can be overcomeby ground truthing via river walkovers and predictive modelling, but the cost of collecting additional information must be weighed against the cost of inaction. To increase the success of barrier removal projects, we recommend that barriers considered for removal fulfill four conditions: (1) their removal will bring about a meaningful gain in connectivity; (2) they are cost-effective to remove; (3) they will not cause significant or lasting environmental damage, and (4) they are obsolete structures. Mapping barrier removal projects according to the three axes of opportunities, costs, and gains can help locate any 'low hanging fruit.'Show less"
1,"Sheldon, F",Feb 2006 ,Relationships between flow variability and macroinvertebrate assemblage composition: Data from four Australian dryland rivers,RIVER RESEARCH AND APPLICATIONS,"Australian dryland rivers have distinctive ecologies, intimately linked to their variable flows. The contrasting states of flood and drought mean that dryland rivers fluctuate between being highly connected (during floods: low fragmentation) to being highly disconnected (during droughts: high fragmentation) with the degree of connection between waterbodies on a spatial scale and the time since last connection on a temporal scale strongly influencing community composition. Flow regulation reduces the frequency and duration of flooding, thereby decreasing flow variability and imposing stable low flow conditions and high connectivity between waterbodies. Using macroinvertebrate assemblage data from four Australian dryland rivers (River Murray, Darling River, Cooper Creek and Diamantina River), we calculated various indices of flow variability from 30-year hydrographs and assessed how well long-term flow variability, and therefore variable levels of habitat connection, could explain broad patterns of macroinvertebrate assemblage composition. Where hydrological connection between sites was strong (River Murray pool sites) there was extreme similarity between assemblages at each site. Also, for sites where hydrological disconnection was extreme there was similarity between assemblages. There were strong associations between the complex measures of flow variability and the assemblage composition of the four rivers, suggesting that flow variability, and therefore, variable levels of habitat connectivity, may be strong determinants of broad-scale assemblage composition in dryland rivers. Copyright (C) 2006 John Wiley & Sons, Ltd.Show less"
2,"Zhao, L",Jun 2020 ,"Assessing Hydrological Connectivity Mitigated by Reservoirs, Vegetation Cover, and Climate in Yan River Watershed on the Loess Plateau, China: The Network Approach",WATER,"Hydrologic connectivity is related to the water-mediated transport of matter, energy, and organisms within or between elements of the hydrologic cycle. It reflects the hydrological consequences caused by topographic, land cover, and climatic factors, and is an important tool to characterize and predict the hydrological responses to climate and landscape change. In the Loess Plateau region, a large number of reservoirs have been constructed to trap sediment and storage water for drinking, irrigation, and industries. The land cover has been significantly reshaped in the past decades. These changes may alter the watershed hydrological connectivity. In this study, we mapped the spatial pattern of hydrological connectivity with consideration of reservoir impedances, mitigation of climate, and land cover in the Yan River watershed on the Loess Plateau by using the network index (NI) approach that is based on topographical wetness index. Three wetness indices were used, i.e., topographical wetness index (TWI), SAGA (System for Automated Geoscientific Analyses) wetness index (WIS), and wetness index adopted aridity index (AI) determined by precipitation and evapotranspiration (WIPE). In addition, the effective catchment area (ECA) was also employed to reveal the connectivity of reservoirs and river networks to water source areas. Results show thatECAof reservoirs and rivers account for 35% and 65%, respectively; the hydrological connectivity to the reservoir was lower than that to the river networks. The normalized hydrological connectivity revealed that the connectivity to river channels maintained the same distribution pattern but with a decreased range after construction of reservoirs. As revealed by comparing the spatial patterns of hydrological connectivity quantified byNIbased onWI(S)andWI(PE)respectively, vegetation cover patterns had significantly alternated watershed hydrological connectivity. These results imply a decreased volume of flow in river channels after reservoir construction, but with same temporal period of flow dynamic. It is illustrated that the network index (NI) is suitable to quantify the hydrological connectivity and it is dynamic in the context of human intervention and climate change.Show less"
3,"Monofy, A",Jan 2021 ,"The Effect of Streamflow, Ambient Groundwater, and Sediment Anisotropy on Hyporheic Zone Characteristics in Alternate Bars",WATER RESOURCES RESEARCH,"The hyporheic exchange is the main driver for the biogeochemical transformations of nutrients within a river bed. The current study addresses the variations in hyporheic zone (HZ) characteristics in alternate bars due to different streamflow, ambient groundwater, and sediment anisotropy. Several simulations, using a sequentially coupled surface water-groundwater model of a synthetic reach with fully developed alternate bars morphology, were performed. Two HZs exist within the streambed; a shallow zone that is more linked to surface water, and a deep one that is more influenced by the groundwater variations. Increasing streamflow, and therefore bar submergence, decreases the hyporheic flow. The residence times distribution is bimodal, which implies the existence of two HZs. This bimodality is enhanced by anisotropic sediment conditions, while it is much milder in isotropic ones. The shallow zone residence times increase when streamflow value rises, while the residence times in the deep HZ are less affected. The mean and median residence times decrease by increasing streamflow in partially submerged case, and they are larger in fully submerged case. The hyporheic flow, area, residence times, and extent decrease by increasing groundwater fluxes. The deep zone is the most affected by the groundwater fluxes. Hyporheic flow and extent values are significantly larger in isotropic conditions than in anisotropic ones. The change in residence times values is different between the deep and shallow zones. A predictive model is driven to predict the hyporheic flux, residence times, and hyporheic depths dependence on bar submergence, ambient groundwater, and sediment anisotropy.Show less"
4,"Siebers, AR",Feb 26 2020 ,Diel cycles of delta C-13(DIC) and ecosystem metabolism in ephemeral dryland streams,AQUATIC SCIENCES,"Streams in hot, arid environments often exist as a series of isolated pools along main channels. During these periods, shallow alluvial through flow may strongly influence key ecological processes within pools. We measured diel changes in delta C-13 values of dissolved inorganic carbon (DIC) and dissolved oxygen (DO) in two pools of ephemeral, dryland streams. We quantified alluvial water connectivity through stable isotope analysis (delta O-18 and delta H-2) of pool and alluvial water. We also estimated gross primary productivity (GPP) and ecosystem respiration (ER) rates across a wider set of pools in both streams. delta C-13(DIC) values displayed regular diel cycles, where both pools displayed small but similar daily amplitude (0.7-0.9 parts per thousand) despite contrasting amplitudes of change in DO (0.8 mg L-1 vs. 2.8 mg L-1) and contrasting alluvial water connectivity (connected vs. disconnected). Water temperature was the strongest predictor of both delta C-13(DIC) values and rates of change in delta C-13(DIC) across both pools. Across both streams, all pools were net heterotrophic. GPP (0.35-1.73 g O-2 m(-2) d(-1)) and ER (0.49-2.64 g O-2 m(-2) d(-1)) rates were linked to aquatic vegetation cover. The disconnect between diurnal amplitudes of delta C-13 values and DO concentrations thus suggests that ecological drivers of gas exchange became increasingly localised as pools contracted.Show less"
5,"Lavelle, AM",Aug 2021 ,Effects of Habitat Restoration on Fish Communities in Urban Streams,WATER,"Geomorphological alterations, hydrological disconnectivity and water pollution are among the dominant pressures affecting ecological integrity in urban streams. River restoration approaches often involve utilising in-stream structures to encourage flow heterogeneity and promote habitat diversity. However, few studies examine the success of such projects. In this study, fish density, biomass and community structure at paired restored and unrestored reaches across five tributaries of the River Thames were examined. Fish density varied among rivers and reaches but was generally higher at restored sites. Restored sites also exhibited higher overall fish biomass, attributed mainly to the presence of brown trout (Salmo trutta L.) at the River Wandle. Despite higher density and biomass values at restored sites, the community structure analysis did not identify strong links between either river or restoration status using either species-specific density or biomass. Our results highlight that although reach-scale restoration can lead to localised increases in species density and biomass, this may chiefly be due to aggregation owing to preferential habitats created through restoration activities at these sites. Over larger spatial scales, significant improvements to species richness and diversity are likely to be limited due to the poor water quality and disconnected nature of these urban streams. Whilst reach-scale restoration clearly has the potential to provide preferential habitats for fish species, future efforts should focus on improving connectivity for fish across the wider Thames basin network by removing barriers to passage, improving water quality, restoring watershed processes and creating well-connected, diverse habitats which can facilitate the survival of a wide array of fish species throughout their life cycle.Show less"
6,"Thellman, A",Sep 2021 ,The Ecology of River Ice,JOURNAL OF GEOPHYSICAL RESEARCH-BIOGEOSCIENCES,"Many of the world's rivers are ice-covered during winter months but increasing evidence indicates that the extent of river ice will shift substantially as winters warm. However, our knowledge of rivers during winter lags far behind that of the growing season, limiting our understanding of how ice loss will affect rivers. Physical, chemical, and biological processes change from headwaters to large rivers; thus, we expect ice processes and resulting effects on the ecology of rivers could also vary with river size, as a result of the associated changes in geomorphology, temperature regimes, and connectivity. To conceptualize these relationships, we review typically disparate literature on ice processes and winter ecology and compare what is known in the smallest and largest rivers. In doing so, we show that our ability to link ice with ecology across river networks is made difficult by a primary focus on ice processes in larger rivers and a lack of study of ecosystem processes during winter. To address some of these gaps, we provide new scenarios of river ice loss and analyses of how the annual importance of winter gross primary productivity (GPP) varies with river size. We show projected ice loss varied with large-scale watershed characteristics such as north-south orientation and that the importance of winter to annual GPP was greatest in the smallest rivers. Finally, we highlight information needed to fill knowledge gaps on winter across river networks and improve our understanding of how rivers may change as climate and ice regimes shift.Show less"
7,"Villalobos, ME",Apr 15 2005 ,Reduced functional connectivity between V1 and inferior frontal cortex associated with visuomotor performance in autism,NEUROIMAGE,"Some recent evidence has suggested abnormalities of the dorsal stream and possibly the mirror neuron system in autism, which may be responsible for impairments of joint attention, imitation, and secondarily for language delays. The current study investigates functional connectivity along the dorsal stream in autism, examining interregional blood oxygenation level dependent (BOLD) signal cross-correlation during visuomotor coordination. Eight high-functioning autistic men and eight handedness and age-matched controls were included. Visually prompted button presses were performed with the preferred hand. For each subject, functional connectivity was computed in terms of BOLD signal correlation with the mean time series in bilateral visual area 17. Our hypothesis of reduced dorsal stream connectivity in autism was only in part confirmed. Functional connectivity with superior parietal areas was not significantly reduced. However, the autism group showed significantly reduced connectivity with bilateral inferior frontal area 44, which is compatible with the hypothesis of mirror neuron defects in autism. More generally, our findings suggest that dorsal stream connectivity in autism may not be fully functional. (c) 2004 Elsevier Inc. All rights reserved.Show less"
8,"Pereda, O",2017 ,"Effects of aeration, sediment grain size and burial on stream litter breakdown and consumer performance: a microcosm study",MARINE AND FRESHWATER RESEARCH,"Turbulence and aeration are reduced in many streams during low-flow periods as a consequence of drought or water abstraction, thus affecting invertebrate interactions and pivotal ecosystem processes such as the breakdown of organic matter (OM). These effects can be larger in the hyporheic zone (HZ), the ecotone connecting the surface stream and groundwater, especially when fine sediments reduce hydraulic conductivity. In addition, OM breakdown in the HZ could depend on the availability of OM in the benthic zone (BZ), because the latter would not only be a more accessible, and thus preferred, food resource, but also more easily scoured downstream. In a laboratory microcosm experiment of 28 days duration, we manipulated aeration, sediment size and location of OM (either all buried or half buried with half on the surface, simulating the HZ and BZ respectively). Six mayfly (Habroleptoides) individuals and four stonefly (Capnioneura) individuals were enclosed in each microcosm and the consumption of OM was measured. Lack of aeration reduced oxygen saturation from 94 to 66%, reducing OM consumption particularly on the surface, in contrast with our expectations. As hypothesised, the availability of surface OM significantly reduced invertebrate consumption of buried OM. Habroleptoides performed better than Capnioneura, especially in fine sediments. The results suggest that reduced turbulence can affect invertebrate trophic interactions as well as the decomposition of OM, depending on sediment grain size and the location of OM.Show less"
9,"Ravazzani, G",Jun 2016 ,Assessing Groundwater Contribution to Streamflow of a Large Alpine River with Heat Tracer Methods and Hydrological Modelling,RIVER RESEARCH AND APPLICATIONS,"The contribution of groundwater to streamflow in Alpine catchments is still poorly understood, despite the fact that it may heavily impact hydrological balance and stream habitats. This paper presents the results of a field campaign based on experiments with heat tracer methods to assess the hyporheic flow during the low-flow period of a large Alpine river in Italy. These measurements were employed to validate a distributed hydrological model that can be used to asses river-groundwater interaction in both low-flow and high-flow conditions. The results show that groundwater may have a relevant role during low-flow periods, by increasing river discharge and during floods, by subtracting direct run-off that is stored in river banks. Copyright (c) 2015 John Wiley & Sons, Ltd.Show less"
