,First author,Year,Title,Journal,Abstract
0,"Xiao, Y",Dec 2022 ,The effect of natural and engineered hydraulic conditions on river-floodplain connectivity using hydrodynamic modeling and particle tracking analysis,JOURNAL OF HYDROLOGY,"Hydraulic conditions and water resources management projects can significantly alter river-floodplain connec-tivity, which in turn can alter hydrologic and biogeochemical processes in river corridors. In this study, the hydrodynamics of river-floodplain connectivity under different flood conditions and the effect of the Nanchang Water Resources Project Group (NWRPG) in the middle branch of the Ganjang River were investigated using a combination of two-dimensional hydrodynamic simulations and particle tracking. The hydrodynamic model was calibrated and validated using data from several gauging stations and field measurements. Floods in the Ganjang River can be limited to the river itself (""River Flood"", flood with normal lake level) or further extended to the Poyang Lake (""Lake Flood"", flood with high lake level). The results show that compared with ""River Flood"" scenarios, ""Lake Flood"" scenarios increased the water level flooding a larger area. The flow velocity decreased and the residence time (RT) of particles increased. The particle travel distance (PTD) of ""River Flood"" was larger than that of ""Lake Flood"". The larger the flood, the greater the transboundary flux between the river and the floodplain, and the shorter the RT and PTD. The effect of NWRPG was the permanent flooding of part of the river floodplain, causing some habitat loss. Due to the increase in discharge, the implementation of the NWRPG results in a shorter RT with a smaller standard deviation, which has little effect on the PTD distribution. These findings can facilitate river connectivity restoration efforts in the Ganjang River and also provide a reference for assessing the impact of barrage projects.Show less"
1,"Burgess, OT",Jul 2013 ,"IMPORTANCE OF FLOODPLAIN CONNECTIVITY TO FISH POPULATIONS IN THE APALACHICOLA RIVER, FLORIDA",RIVER RESEARCH AND APPLICATIONS,"Floodplain habitats provide critical spawning and rearing habitats for many large-river fishes. The paradigm that floodplains are essential habitats is often a key reason for restoring altered rivers to natural flow regimes. However, few studies have documented spatial and temporal utilization of floodplain habitats by adult fish of sport or commercial management interest or assessed obligatory access to floodplain habitats for species' persistence. In this study, we applied telemetry techniques to examine adult fish movements between floodplain and mainstem habitats, paired with intensive light trap sampling of larval fish in these same habitats, to assess the relationships between riverine flows and fish movement and spawning patterns in restored and unmodified floodplain distributaries of the Apalachicola River, Florida. Our intent is to inform resource managers on the relationships between the timing, magnitude and duration of flow events and fish spawning as part of river management actions. Our results demonstrate spawning by all study species in floodplain and mainstem river habitat types, apparent migratory movements of some species between these habitats, and distinct spawning events for each study species on the basis of fish movement patterns and light trap catches. Additionally, Micropterus spp., Lepomis spp. and, to a lesser degree, Minytrema melanops used floodplain channel habitat that was experimentally reconnected to the mainstem within a few weeks of completing the restoration. This result is of interest to managers assessing restoration activities to reconnect these habitats as part of riverine restoration programmes globally. Copyright (c) 2012 John Wiley & Sons, Ltd.Show less"
2,"Zhou, XD",Apr 1 2019 ,"Responses of macroinvertebrate assemblages to environmental variations in the river-oxbow lake system of the Zoige wetland (Bai River, Qinghai-Tibet Plateau)",SCIENCE OF THE TOTAL ENVIRONMENT,"The biodiversity value of river-oxbow lake systems in high plateau peatland has been little recognized, and there are many gaps in our understanding of their ecology. In this study, we investigated the river-oxbow lake system of the Bai River basin, the main tributary of the Yellow River Source in the Zoige wetland from 2015 to 2016, in attempt to show how the environmental variations, especially hydrological connectivity and macrophyte biomass in the river-oxbow lake system influenced macroinvertebrates. Habitat patches were investigated in 11 river cross-sections and 18 oxbow lakes in the Bai River basin. Through hierarchical clustering and non-metric multidimensional scaling, four main types of habitats were identified in the river-oxbow lake system in the plateau: sand-bed river, cobble-bed river, sparse-macrophyte oxbow lake, and luxuriant-macrophyte oxbow lake. The luxuriant-macrophyte oxbows were characterized by high dissolved oxygen concentrations, alkalinity, and higher macroinvertebrate richness, density, biomass, and the Improved Shannon-Wiener Index in comparison to the other habitat types. Additionally, influential patterns of environmental variables on macroinvertebrates were analyzed using redundancy analysis. Lasso regression models were established to describe how macroinvertebrate density responded to macrophyte biomass and other variables, and how macrophyte biomass responded to hydrological connectivity and oxbow size. It was revealed that reduced hydrological connectivity and reduced oxbow size played important roles in increasing the biomass of submerged macrophyte, and dense macrophyte was directly responsible for the high biodiversity of macroinvertebrates. Different from the commonly believed unimodal influential pattern that medium hydrological connectivity supports the highest biodiversity in oxbow lakes reported in previous studies, macroinvertebrates in the high plateau river-oxbow lake systems benefited from low connectivity and reduced size. Oxbow lakes, especially those covered with luxuriant macrophytes, diversified the macroinvertebrate assemblages and enhanced primary consumer biomass at the regional scale. (c) 2018 Elsevier B.V. All rights reserved.Show less"
3,"Yahorava, V",Feb 2014 ,Ion exchange technology for the efficient recovery of precious metals from waste and low-grade streams,JOURNAL OF THE SOUTHERN AFRICAN INSTITUTE OF MINING AND METALLURGY,"Efficient recovery of precious metals from process solutions is essential for improving process economics. Traditionally, precious metals are relatively effectively recovered from waste streams via precipitation or cementation. However, these approaches have a number of drawbacks, including poor water balance, creation of environmentally unfriendly waste streams, and losses of precious metals. Ion exchange technology is an alternative for the recovery of precious metals from waste or low-grade streams. This technology allows the recovery of the precious metals to extremely low levels (micrograms per litre) with relatively high upgrade ratios from the solution onto the resin without major water balance concerns, while the impact on the environment could be minimized or avoided.Research was conducted on the recovery of platinum group metals and gold from different low-grade and waste streams from one of the precious metals refineries in South Africa by means of ion exchange. Various functionallties and matrices (granular and fibrous) of ion exchange materials were evaluated. The results from these studies indicated that in some cases ion exchange could be very effective for the recovery of precious metals, and that the PGM concentration could be reduced to < 1 mg/L. The upgrading ratios of the various PGMs onto the specific fibres were relatively high for the specific streams evaluated, which might in some cases justify incineration of the loaded material instead of stripping and recycling the adsorbent. The cost of direct incineration for one of the waste streams tested would be less than 1% of the value of the PGMs recovered. However, the adsorbent has to be carefully selected and the process design optimized for each specific stream.Show less"
4,"Khalfallah, Z",IEEE International Conference on Communications (ICC),A Novel 3D Underwater WSN Deployment Strategy for Full-Coverage and Connectivity in Rivers,,
5,"Li, SG",2nd International Yellow River Forum,Impact of Human Activities on the Stream Evolution of the Yellow River Infusing into the Sea,,
6,"Formann, E",9th International Symposium on River Sedimentation,Monitoring and modelling of river widening processes in an Alpine river,,
7,"Harvey, JW",Apr 1998 ,Effect of enhanced manganese oxidation in the hyporheic zone on basin-scale geochemical mass balance,WATER RESOURCES RESEARCH,"We determined the role of the hyporheic zone (the subsurface zone where stream water and shallow groundwater mix) in enhancing microbially mediated oxidation of dissolved manganese (to form manganese precipitates) in a drainage basin contaminated by copper mining. The fate of manganese is of overall importance to water quality in Final Creek Basin, Arizona, because manganese reactions affect the transport of trace metals. The basiri-scale role of the hyporheic zone is difficult to quantify because stream-tracer; studies do not always reliably characterize the cumulative effects of the hyporheic zone. This study determined cumulative effects of hyporheic reactions in Final Creek basin by characterizing manganese uptake at several spatial scales (stream-reach scale, hyporheic-flow-path scale, and sediment-grain scale). At the stream-reach scale a one-dimensional stream-transport model (including storage zones to represent hyporheic flow paths) was used to determine a reach-averaged time constant for manganese uptake in hyporheic zones, 1/lambda(s), 1.3 hours, which was somewhat faster but still similar to manganese uptake time constants that were measured directly in centimeter-scale hyporheic flow paths (1/lambda(h) = 2.6 hours), and in laboratory batch experiments using streambed sediment (1/lambda = 2.7 hours). The modeled depths of subsurface storage zones (d(s) = 4-17 cm) and modeled residence times of water in storage zones (t(s) = 3-12 min) were both consistent with direct measurements in hyporheic flow paths (d(h) = 0-15 cm, and t(h) = 1-25 min). There was also good agreement between reach-scale modeling and direct measurements of the percentage removal of dissolved manganese in hyporheic flow paths (f(s) = 8.9%, and f(h) = 9.3%). Manganese uptake experiments in the laboratory using sediment from Final Creek demonstrated (through comparison of poisoned and unpoisoned treatments) that the manganese removal process was enhanced by microbially mediated oxidation. The cumulative effect of hyporheic exchange in Final Creek basin was to remove approximately 20% of the dissolved manganese flowing out of the drainage basin. Our results illustrate that the cumulative significance of reactive uptake in the hyporheic zone depends on the balance between chemical reaction rates, hyporheic porewater residence time, and turnover of streamflow through hyporheic flow paths. The similarity between the hyporheic reaction timescale (1/lambda(s) approximate to 1.3 hours), and the hyporheic porewater residence timescale (t(s) approximate to 8 min) ensured that there was adequate time for the reaction to progress. Furthermore, it was the similarity between the turnover length for stream water flow through hyporheic how paths (L-s = stream velocity/storage-zone exchange coefficient approximate to 1.3 km) and the length of Final Creek (L approximate to 7 km), which ensured that all stream water passed through hyporheic flow paths several times.As a means to generalize our findings to other sites where similar types of hydrologic and chemical information are available, we suggest a cumulative significance index for hyporheic reactions, R-s = lambda(s)t(s)L/L-s (dimensionless); higher values indicate a greater potential for hyporheic reactions to influence geochemical mass balance. Our experience in Final Creek basin suggests that values of R-s > 0.2 characterize systems where hyporheic reactions are likely to influence geochemical mass balance at the drainage-basin scale.Show less"
8,"Thanh, LD",Jun 2020 ,A Physically Based Model for the Streaming Potential Coupling Coefficient in Partially Saturated Porous Media,WATER,"The electrokinetics methods have great potential to characterize hydrogeological processes in porous media, especially in complex partially saturated hydrosystems (e.g., the vadose zone). The dependence of the streaming coupling coefficient on water saturation remains highly debated in both theoretical and experimental works. In this work, we propose a physically based model for the streaming potential coupling coefficient in porous media during the flow of water and air under partially saturated conditions. The proposed model is linked to fluid electrical conductivity, water saturation, irreducible water saturation, and microstructural parameters of porous materials. In particular, the surface conductivity of porous media has been taken into account in the model. In addition, we also obtain an expression for the characteristic length scale at full saturation in this work. The proposed model is successfully validated using experimental data from literature. A relationship between the streaming potential coupling coefficient and the effective excess charge density is also obtained in this work and the result is the same as those proposed in literature using different approaches. The model proposes a simple and efficient way to model the streaming potential generation for partially saturated porous media and can be useful for hydrogeophysical studies in the critical zone.Show less"
9,"Cardenas, MB",May 2015 ,Hyporheic zone hydrologic science: A historical account of its emergence and a prospectus,WATER RESOURCES RESEARCH,"The hyporheic zone, defined by shallow subsurface pathways through river beds and banks beginning and ending at the river, is an integral and unique component of fluvial systems. It hosts myriad hydrologically controlled processes that are potentially coupled in complex ways. Understanding these processes and the connections between them is critical since these processes are not only important locally but integrate to impact increasingly larger scale biogeochemical functioning of the river corridor up to the river network scale. Thus, the hyporheic zone continues to be a growing research focus for many hydrologists for more than half the history of Water Resources Research. This manuscript partly summarizes the historical development of hyporheic zone hydrologic science as gleaned from papers published in Water Resources Research, from the birth of the concept of the hyporheic zone as a hydrologic black box ( sometimes referred to as transient storage zone), to its adolescent years of being torn between occasionally competing research perspectives of interrogating the hyporheic zone from a surface or subsurface view, to its mature emergence as an interdisciplinary research field that employs the wide array of state-of-the-art tools available to the modern hydrologist. The field is vibrant and moving in the right direction of addressing critical fundamental and applied questions with no clear end in sight in its growth. There are exciting opportunities for scientists that are able to tightly link the allied fields of geology, geomorphology, hydrology, geochemistry, and ecology to tackle the many open problems in hyporheic zone science.Show less"
