,First author,Year,Title,Journal,Abstract
0,"Feng, JH",Dec 31 2022 ,Hyporheic exchange due to in-stream geomorphic structures,JOURNAL OF FRESHWATER ECOLOGY,"In-stream structures, such as channel spanning logs and weirs, can enhance hyporheic exchange in streams. Hyporheic exchange is important for stream ecosystem function, and restoring this function is a goal of many stream restoration projects. However, studies on the connection between in-stream structure size, hydrogeologic setting, and hyporheic exchange remain inadequately characterized. In this study, we combined flume experiments and numerical simulations to systematically evaluate how in-stream structure and its hydrogeologic setting impacted the hyporheic vertical exchange flux, Q, the solute penetration depth, D-p, and the solute flux, QS, in the hyporheic zone. The results showed that stream water downwells into the riverbed upstream of the weir and upwells downstream. Exchange rates were greatest near the weir and decay with distance upstream and downstream. Model results indicated Q, D-p and QS had a positive exponential relationship with the weir height, h, the flow velocity, u, and the sediment intrinsic permeability, k. While model results indicated that u was the most important factor determining Q, D-p and QS, followed by h, while only h reached a certain value, the hyporheic exchange would increase with the height and vice versa. Hyporheic exchange generally was sensitive to changes in k, only the magnitude of k varied from 10(-8)-10(-10)m(2). This finding suggests that a rethinking of the currently applied restoration techniques is required to better consider in-stream structure size, hydrological conditions and natural substratum dynamics in river restoration.Show less"
1,"McCluskey, AH",Oct 2016 ,Flipping the thin film model: Mass transfer by hyporheic exchange in gaining and losing streams,WATER RESOURCES RESEARCH,"The exchange of mass between a stream and its hyporheic zone, or hyporheic exchange, is central to many important ecosystem services. In this paper we show that mass transfer across the streambed by linear mechanisms of hyporheic exchange in a gaining or losing stream can be represented by a thin film model in which (a) the mass transfer coefficient is replaced with the average Darcy flux of water downwelling into the sediment and (b) the driving force for mass transfer is flipped from normal to the surface (concentration difference across a boundary layer) to parallel to the surface (concentration difference across downwelling and upwelling zones). Our analysis is consistent with previously published analytical, computational, and experimental studies of hyporheic exchange in the presence of stream-groundwater interactions, and links stream network, advection-dispersion, and stochastic descriptions of solute fate and transport in rivers.Show less"
2,"Kasahara, T",Jan 10 2003 ,Geomorphic controls on hyporheic exchange flow in mountain streams,WATER RESOURCES RESEARCH,"[1] Hyporheic exchange flows were simulated using MODFLOW and MODPATH to estimate relative effects of channel morphologic features on the extent of the hyporheic zone, on hyporheic exchange flow, and on the residence time of stream water in the hyporheic zone. Four stream reaches were compared in order to examine the influence of stream size and channel constraint. Within stream reaches, the influence of pool-step or pool-riffle sequences, channel sinuosity, secondary channels, and channel splits was examined. Results showed that the way in which channel morphology controlled exchange flows differed with stream size and, in some cases, with channel constraint. Pool-step sequences drove hyporheic exchange in the second-order sites, creating exchange flows with relatively short residence times. Multiple features interacted to drive hyporheic exchange flow in the unconstrained fifth-order site, where pool-riffle sequences and a channel split created exchange flows with short residence times, whereas a secondary channel created exchange flows with long residence times. There was relatively little exchange flow in the bedrock-constrained fifth-order site. Groundwater flow models were effective in examining the morphologic features that controlled hyporheic exchange flow, and surface-visible channel morphologic features controlled the development of the hyporheic zone in these mountain streams.Show less"
3,"Boulton, AJ",Apr 2007 ,Hyporheic rehabilitation in rivers: restoring vertical connectivity,FRESHWATER BIOLOGY,"1. The hyporheic zone below the channel and banks of many rivers where surface water and ground water exchanges plays a crucial functional role in the biogeochemical transformation of water, mediated by active microbial biofilms. This zone also harbours assemblages of invertebrates that graze biofilms, contribute to secondary production, and can alter the porosity of the hyporheic zone through their movement or burrowing activities.2. Many human activities cause interstitial sedimentation or disrupt surface-groundwater hydrological linkages, impacting upon ecological processes in the hyporheic zone. However, strategies for river rehabilitation seldom explicitly consider the hyporheic zone or seek to restore lost vertical linkages with groundwater. Instead, restoration goals target surface, riparian or floodplain features even though current river ecosystem theory emphasises the three dimensions of hydrological connectivity. To guide effective, holistic river restoration, scientists and managers therefore need information on the mechanisms by which energy and material are transferred in the hyporheic zone and which ecosystem services are thus provided.3. Other gaps in our understanding of hyporheic zone rehabilitation include recruitment processes of the hyporheos and the relative importance of groups of hyporheic invertebrates in rivers differing in substratum size, disturbance frequency and groundwater linkages. Carefully designed experiments that assess responses to hyporheic rehabilitation strategies will provide valuable data at varying scales (e.g. distribution of hyporheic habitat types at the reach scale) for management as well as providing insights into the mechanisms controlling hyporheic invertebrate assemblages and ecological processes. Fully successful river rehabilitation must include restoration of vertical linkages between the river and its shallow groundwater aquifers.Show less"
4,"Wright, KK",Sep 2005 ,Restricted hyporheic exchange in an alluvial river system: implications for theory and management,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,"Large-scale patterns of hyporheic exchange are predictable within some river systems, but our understanding of the factors driving hyporheic processes and the magnitude of hyporheic exchange needed to influence biophysical patterns at larger scales remains limited. We investigated the patterns, magnitude, and potential effects on biota of reach-scale hyporheic exchange in an alluvial river of the Pacific Northwest. The river was topographically similar to and in the same geographic region as other systems where large-scale hyporheic exchange and associated biological responses have been observed. We hypothesized that predictable reach-scale patterns of hyporheic exchange would occur in alluvial valley segments of the river and that hyporheic upwelling would be associated with reach-scale patterns of physical and biological characteristics. We used in-channel piezometers and synoptic stream flow measurements to quantify hyporheic exchange. We measured temperature, dissolved O-2, pH, specific conductivity, chlorophyll a biomass, primary production, and benthic macroinvertebrates as indicators of physical and biological responses. Contrary to our expectations, we found no evidence, physical or biological, of reach-scale hyporheic exchange. Hyporheic connectivity in this river system probably is constrained by geologic and geomorphic characters as well as the legacy of human land use in the basin. Thus, our results illustrate the variability of hyporheic processes that can occur among alluvial river systems and may have implications for watershed management.Show less"
5,"Herzog, SP",Dec 2019 ,Multiscale Feature-feature Interactions Control Patterns of Hyporheic Exchange in a Simulated Headwater Mountain Stream,WATER RESOURCES RESEARCH,"Recent predictions of hyporheic exchange at the basin-scale assume individual features control exchange independently of each other, which has been demonstrated in relatively uniform, low-gradient rivers. However, this assumption may not hold in steep catchments where both the type and size of individual features may vary over short distances, leading to irregular patterns of feature dominance on hyporheic exchange flows. Also, steep longitudinal gradients support substantial downvalley flows in the subsurface, which may create feedbacks between adjacent features. In this study, we test the extent to which features interact with one another and whether they can be aggregated to make reach-scale predictions in a headwater mountain stream. Using systematic manipulations of a 2-D stream centerline model and spectral analyses, we test for the presence of both feature-feature and multiscale interactions. Our results show that changing the height of individual step-pool features can alter hyporheic flow fields in neighboring, and sometimes distant, features. Spectral analyses revealed two scales of streambed topography-a local scale of single features and an intermediate scale that spanned multiple local-scale features. All features produced hyporheic exchange, but turnover of deeper hyporheic water only occurred at a few key locations where local- and intermediate-scale features amplified each other. Further, shallow bedrock increases the ratio of local- and intermediate-scale flowpaths to regional-scale flowpaths. Conceptual models portraying hyporheic exchange as a series of nested flowpaths should include the interactions among streambed topographic features in mountain streams. These results have implications for upscaling, field experiments, and stream restoration in steep catchments.Show less"
6,"Lu, CP",Dec 2020 ,Event-Driven Hyporheic Exchange during Single and Seasonal Rainfall in a Gaining Stream,WATER RESOURCES MANAGEMENT,"This study combined a reach-scale field survey and numerical modelling analysis to reveal the pattern of transient hyporheic exchange driven by rainfall events in the Zhongtian River, Southeast China. Field observations revealed hydrodynamic properties and flux variations in surface water (SW)/ groundwater (GW), suggesting that the regional groundwater recharged the study reach. A two-step numerical modelling procedure, including a hydraulic surface flow model and a groundwater flow model, was then used to interpret the transient hyporheic flow system. The hyporheic exchange exhibited strong temporal evolution in the study reach, as indicated by the rainfall event-driven hyporheic exchange. The reversal of the hydraulic gradient and transient hyporheic exchange were simulated using numerical simulation. Anisotropic hydraulic conductivity is the key to generating transient hyporheic exchange. A revised conceptual model was used to interpret the observed temporal patterns in hyporheic exchange. The seasonal rainfall events generate transient hyporheic exchange, and the pattern of transient hyporheic exchange indicates that transient hyporheic exchange appears only after an increased phase of the river stage but does not last long. The temporal pattern of hyporheic exchange can significantly affect the hydrodynamic exchange and the evolution of hydrology in the hyporheic zone for a gaining stream, and these results have important guiding significance for the comprehensive management of surface water and groundwater quantity and quality.Show less"
7,"Tewari, A",Feb 2022 ,Engineered hyporheic zones: design and applications in stream health restoration- a review,WATER SUPPLY,"Anthropogenic deterioration of streams and rivers have affected their surface-subsurface linkages. This has led to the degradation of hyporheic zones, a sensitive interface between stream channel and its surrounding sediments, responsible for transforming pollutants, natural solutes and supporting benthic communities. Several authors have reported the influence of stream restoration measures on hyporheic exchanges and have called for the inclusion of hyporheic zone restorations in stream management. Engineered Hyporheic Zones (EHZ) is the creation of artificial transition area due to induced hyporheic flows, brought about by some feature modifications done to the stream channel or its subsurface. These feature modifications and its implications have been investigated through lab experiments, outdoor flumes, modelling and field studies for several years. This paper attempts to summarize the endeavours made in the study of EHZ and its applications in water quality improvement and habitat restoration. A comprehensive review of upto date literature with specific focus on the influence of engineered structures on hyporheic exchanges is presented, followed by the comparison of preferences opted for different studies and their limitations. The paper ends with suggestive future scope in EHZ studies and its potential as a low cost alternative treatment technology for river restoration.Show less"
8,"Wondzell, SM",Oct 30 2011 ,The role of the hyporheic zone across stream networks,HYDROLOGICAL PROCESSES,"Many hyporheic papers state that the hyporheic zone is a critical component of stream ecosystems, and many of these papers focus on the biogeochemical effects of the hyporheic zone on stream solute loads. However, efforts to show such relationships have proven elusive, prompting several questions: Are the effects of the hyporheic zone on stream ecosystems so highly variable in place and time (or among streams) that a consistent relationship should not be expected? Or, is the hyporheic zone less important in stream ecosystems than is commonly expected? These questions were examined using data from existing groundwater modelling studies of hyporheic exchange flow at five sites in a fifth-order, mountainous stream network. The size of exchange flows, relative to stream discharge (Q(HEF) : Q), was large only in very small streams at low discharge (area approximate to 100 ha; Q < 10 l/s). At higher flows (flow exceedance probability > 0.7) and in all larger streams, QHEF : Q was small. These data show that biogeochemical processes in the hyporheic zone of small streams can substantially influence the stream's solute load, but these processes become hydrologically constrained at high discharge or in larger streams and rivers. The hyporheic zone may influence stream ecosystems in many ways, however, not just through biogeochemical processes that alter stream solute loads. For example, the hyporheic zone represents a unique habitat for some organisms, with patterns and amounts of upwelling and downwelling water determining the underlying physiochemical environment of the hyporheic zone. Similarly, hyporheic exchange creates distinct patches of downwelling and upwelling. Upwelling environments are of special interest, because upwelling water has the potential to be thermally or chemically distinct from stream water. Consequently, micro-environmental patches created by hyporheic exchange flows are likely to be important to biological and ecosystem processes, even if their impact on stream solute loads is small. Published in 2011 by John Wiley & Sons, Ltd.Show less"
9,"Huang, P",Oct 2022 ,Hyporheic Exchange in a Straight Stream With Alternate Bars,WATER RESOURCES RESEARCH,"Hyporheic exchange (HE) is essential to riverine ecosystem, water quality, and energy cycling in a stream due to its governing role in physicochemical and biological processes in hyporheic zone (HZ). Alternate bars, characterized by a repetitive sequence of diagonal bars with a pool-riffle bedform, are common geomorphic features that generally form in straight streams. Following similar laboratory and numerical methodology as Huang and Chui (2021, ) who investigated the HE induced by pool-riffle sequences, this study focused on the HE induced by alternate bars (i.e., geomorphic features on stream banks instead of streambed) where the influences of key factors were systematically examined. The results show that alternate bars strongly influence surface flow and induce significant hyporheic flows in both stream banks and streambed, whose patterns, magnitudes, and influential patterns of key factors could be similar to the HE induced by pool-riffle sequences. The HE flowrate increases linearly with discharge, bed slope, and bar spacing. However, influential patterns of bar width on HE vary, and the bar width changes the influential patterns of discharge and bed slope on HZ scale, highlighting the influence of bar width in the complex interactions among discharge, bed slope, and bar width. All indicators of HE characteristics generally increase with bar spacing and follow exponential relationships with groundwater flow. Findings in this study lay the foundation in research on riparian ecosystems and water quality in the streams with alternate bars and help guide the design of bars during river restorations.Show less"
