,First author,Year,Title,Journal,Abstract
0,"Chu, Y",May 2019 ,Hydrologically connected and isolated floodplains in channelized streams: impacts on plant communities under a temperate monsoonal climate,HYDROBIOLOGIA,"The aim of this study was to understand the changes of floodplain vegetation following the disruption of lateral connectivity from streams by levee construction under the temperate monsoonal conditions of South Korea. We compared the plant community structure and selected environmental variables in paired floodplains, one connected to the stream inside a levee and the other isolated by a levee. Cluster analysis of the vegetation identified ten plant communities and their associated indicator species. There were clear differences in communities between the connected floodplains and isolated floodplains. Pioneer and early-successional communities, which are resistant to flood disturbance, were found only in the connected floodplains. In contrast, diverse aquatic-macrophytic communities, adapted to long flood duration, and late-successional communities sensitive to flooding disturbance were found mainly in the isolated floodplains. -turnover was the main driver in species compositions in both types of floodplain. The isolated floodplains had a longer flood duration, and their soils had a finer texture, higher moisture content, and were more acidic compared tothe connected floodplains. Flood duration and topological elevation were identified as the most important environmental variables with respect to plant community composition. Our results suggest that reinstatement of lateral connectivity is necessary to restore the fluvial native vegetation in the isolated floodplains of a region with a monsoonal climate.Show less"
1,"Januchowski-Hartley, SR",Nov 1 2022 ,Supporting proactive planning for climate change adaptation and conservation using an attributed road-river structure dataset,JOURNAL OF ENVIRONMENTAL MANAGEMENT,"Freshwater species and their habitats, and transportation networks are at heightened risk from changing climate and are priorities for adaptation, with the sheer abundance and individuality of road-river structures compli-cating mitigation efforts. We present a new spatial dataset of road-river structures attributed as culverts, bridges, or fords, and use this along with data on gradient and stream order to estimate structure sensitivity and exposure in and out of special areas of conservation (SAC) and built-up areas to determine vulnerability to damage across river catchments in Wales, UK. We then assess hazard of flooding likelihood at the most vulnerable structures to determine those posing high risk of impact on roads and river-obligate species (fishes and mussels) whose persistence depends on aquatic habitat connectivity. Over 5% (624/11,680) of structures are high vulnerability and located where flooding hazard is highest, posing high risk of impact to roads and river-obligate species. We assess reliability of our approach through an on-ground survey in a river catchment supporting an SAC and more than 40% (n = 255) of high-risk structures, and show that of the subset surveyed > 50% had obvious physical degradation, streambank erosion, and scouring. Our findings help us to better understand which structures pose high-risk of impact to river-obligate species and humans with increased flooding likelihood.Show less"
2,"Zeng, YJ",2016 ,"Ecohydrological effects of stream-aquifer water interaction: a case study of the Heihe River basin, northwestern China",HYDROLOGY AND EARTH SYSTEM SCIENCES,"A scheme describing the process of stream-aquifer interaction was combined with the land model CLM4.5 to investigate the effects of stream water conveyance over riparian banks on ecological and hydrological processes. Two groups of simulations for five typical river cross sections in the middle reaches of the arid-zone Heihe River basin were conducted. The comparisons between the simulated results and the measurements from water wells, the FLUXNET station, and remote sensing data showed good performance of the coupled model. The simulated riparian groundwater table at a propagation distance of less than 1 km followed the intra-annual fluctuation of the river water level, and the correlation was excellent (R-2 = 0.9) between the river water level and the groundwater table at the distance 60 m from the river. The correlation rapidly decreased as distance increased. In response to the variability of the water table, soil moisture at deep layers also followed the variation of river water level all year, while soil moisture at the surface layer was more sensitive to the river water level in the drought season than in the wet season. With increased soil moisture, the average gross primary productivity and respiration of riparian vegetation within 300 m from the river in a typical section of the river increased by approximately 0.03 and 0.02 mg Ca m(-2) s(-1), respectively, in the growing season. Consequently, the net ecosystem exchange increased by approximately 0.01 mg C m(-2) s(-1), and the evapotranspiration increased by approximately 3 mm day(-1). Furthermore, the length of the growing season of riparian vegetation also increased by 2-3 months due to the sustaining water recharge from the river. Overall, the stream-aquifer water interaction plays an essential role in the controlling of riparian hydrological and ecological processes.Show less"
3,"Mulholland, PJ",May 1997 ,Evidence that hyporheic zones increase heterotrophic metabolism and phosphorus uptake in forest streams,LIMNOLOGY AND OCEANOGRAPHY,"We used nondisruptive, whole-stream methods to measure hydraulic characteristics, ecosystem metabolism, and phosphorus cycling in the west fork of Walker Branch (WE), Tennessee and in Hugh White Creek (HWC), North Carolina. Although similar in many of their hydrological and chemical characteristics, transient storage zone volume in HWC was relatively large (similar to 1.5 times that of the flowing water zone), whereas transient storage zone volume in WE was small (similar to 0.1 times that of the flowing water zone). Both streams were highly heterotrophic (gross primary production:total respiration ratios <0.1), although respiration rate was similar to 2.4 times greater in HWC than in WE. Phosphorus uptake rate was similar to 2.6 times, greater in HWC than in WE, and P uptake length was 5 times longer in WE than in HWC. Analysis of P-33:H-3 ratio profiles from (PO4)-P-33 and (H2O)-H-3 injection experiments indicated that P uptake within the transient storage zone accounted for similar to 43% of the total P uptake in HWC but was negligible in WE, explaining, in part, the difference in total P uptake rate between these streams. The higher rate of P uptake in the surface zone, shorter P uptake length, and larger ratio of P uptake:respiration in HWC compared with WE suggest that the microbial community in HWC exerts a greater demand for and has a greater affinity for streamwater P presumably as a result of a greater supply of labile organic matter and/or lower nutrient levels in HWC.Show less"
4,"Danner, EM",Dec 2012 ,River Temperature Forecasting: A Coupled-Modeling Framework for Management of River Habitat,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,"Humans have substantially altered the thermal regimes of freshwater habitats worldwide, with significant environmental consequences. There is a critical need for a comprehensive modeling framework for forecasting the downstream impacts of two of the most common anthropogenic structures that alter river water temperatures: 1) dams that selectively release water from thermally stratified reservoirs, and 2) power generating stations and industrial plants that use river water for once-through cooling. These facilities change the thermal dynamics of the downstream waters through a complex interaction of water release volume and temperature and the subsequent exchange with the environment downstream. In order to stay within the downstream temperature limits imposed by regulatory agencies, managers must monitor not just release volumes and temperatures, but also need to be able to forecast the thermal impacts of their day-to-day operations on habitat which may be hundreds of kilometers downstream. Here we describe a coupled modeling framework that links mesoscale weather and ecological models to generate inputs for a physically-based water temperature model for monitoring and forecasting river temperatures downstream from these facilities at fine spatiotemporal scales. We provide an example of how this modeling framework is being applied to a water allocation decision support system (DSS) for the management of Endangered Species Act (ESA) listed salmon species in the Sacramento River in California.Show less"
5,"Underwood, ZE",Feb 2016 ,"Population connectivity and genetic structure of burbot (Lota lota) populations in the Wind River Basin, Wyoming",HYDROBIOLOGIA,"Burbot (Lota lota) occur in the Wind River Basin in central Wyoming, USA, at the southwestern extreme of the species' native range in North America. The most stable and successful of these populations occur in six glacially carved mountain lakes on three different tributary streams and one large main stem impoundment (Boysen Reservoir) downstream from the tributary populations. Burbot are rarely found in connecting streams and rivers, which are relatively small and high gradient, with a variety of potential barriers to upstream movement of fish. We used high-throughput genomic sequence data for 11,197 SNPs to characterize the genetic diversity, population structure, and connectivity among burbot populations on the Wind River system. Fish from Boysen Reservoir and lower basin tributary populations were genetically differentiated from those in the upper basin tributary populations. In addition, fish within the same tributary streams fell within the same genetic clusters, suggesting there is movement of fish between lakes on the same tributaries but that populations within each tributary system are isolated and genetically distinct from other populations. Observed genetic differentiation corresponded to natural and anthropogenic barriers, highlighting the importance of barriers to fish population connectivity and gene flow in human-altered linked lake-stream habitats.Show less"
6,"Steffensen, KD",Jul 3 2014 ,Fish community response to floodplain inundation in a regulated river,JOURNAL OF FRESHWATER ECOLOGY,"Floodplain connectivity has been identified as an important element of river ecosystem function for enhancing biological productivity, yet most of the world's large rivers have been managed to reduce river-floodplain connectivity to protect human interests. Flow events in the Missouri River basin during the summers of 2010 and 2011 offered a unique opportunity to investigate the influence of floodplain connectivity on fish communities. The floods created aquatic habitats not generally available on the main stem and the magnitude and duration of the 2011 event have not occurred since the main-stem dams were closed. Therefore, the objectives were to: (1) document species use on available floodplain habitats and assess age-0 fish presence, (2) compare spatial and temporal distribution of fish species, and (3) evaluate fish community responses at different discharges. Age-0 fish dominated the fish community during the 2010 and 2011 floods, representing 90% and 94% of all fish collected each year. Species composition during the 2011 flood was different above and below the Platte and Missouri rivers confluence (ANOSIM; r = 0.211; p < 0.001) and between individual sites (r = 0.667; p < 0.001) but did not change temporally (r = 0.086; p = 0.244). Comparison of the age-0 fish community response to varying water levels also differed (r = 0.619; p = 0.038) annually. The effects of this flood on the fish community of the Missouri River initially appear to have been beneficial for the native fish community; however, continued research and evaluation will verify the flood's effects.Show less"
7,"Ruehl, C",Oct 30 2006 ,Differential gauging and tracer tests resolve seepage fluxes in a strongly-losing stream,JOURNAL OF HYDROLOGY,"The Pajaro River, central coastal California, consistently loses 0.2-0.4 m(3)/s of discharge along an 11.42-km experimental reach late in the water year, when discharge is <= 4.5 m(3)/s. Channel toss occurs throughout this reach, but is greatest in magnitude near the bottom of the reach. Water isotopic data and other observations suggest that channel loss results mainly from streambed seepage, as opposed to evapotranspiration. If it occurs throughout the year, the channel loss along this short stream reach could contribute 6-13 x 10(6) m(3) Of annual aquifer recharge, or similar to 20-40% of current sustainable basin yield. We performed a series of tracer injections along this reach to determine if hydrologic exchange occurs within this strongly-losing stream. We found that during periods of high channel loss, there were also comparable storage exchange fluxes and lateral inflow of tracer-free water. Within upper and lower parts of the experimental reach, storage exchange fluxes are about 10 times greater than lateral inflow. The former are associated with the movement of water between the main channel and surface or subsurface storage zones. In this system, it is likely that the tatter are primarily associated with spatially- or temporally-long subsurface flow paths within the shallow streambed, as opposed to inflow of ground water from deeper in the basin. Along both upper and lower parts of the experimental reach, lateral inflow tends to increase as channel discharge decreases. In contrast, storage exchange fluxes increase with decreasing discharge along the upper parts of the reach, but decrease with decreasing discharge along the Lower parts. Gauging and tracer test results suggest that subsurface storage exchange and loss may occur simultaneously, and that the lateral inflow of tracer-free water can be caused by long-scale subsurface flow as well as ground water making its first appearance in the channel. (c) 2006 Elsevier B.V. All rights reserved.Show less"
8,"Hubbard, KA",Nov 15 2010 ,Evaluating nitrate uptake in a Rocky Mountain stream using labelled N-15 and ambient nitrate chemistry,HYDROLOGICAL PROCESSES,"Background aqueous chemistry and N-15(nitrate) tracer injection methods were used to calculate in-stream nitrate uptake metrics at Red Canyon Creek, a third-order stream in the Rocky Mountains in the state of Wyoming, United States. 'Net' nitrate uptake lengths, which reflect both nitrate uptake and regeneration, and 'gross' nitrate uptake lengths, which exclude re-mineralization, were quantified separately from background nitrate chemistry and N-15 labelling tracer data, respectively. Gross nitrate uptake lengths, from tracer injections of N-15 labelled nitrate, ranged from 502 to 3140 m. Net nitrate uptake lengths, from background nitrate chemistry downstream of a point source, ranged from 1170 to 4330 m. Diurnal changes in uptake lengths suggest the importance of nitrate utilization by autotrophs in the stream and benthic zone. The differences between net and gross nitrate uptake lengths along lower reaches of Red Canyon Creek allowed us to estimate the nitrate regeneration rate, which was 0.056-0.080 mu mol m(-2) s(-1) during the day and 0.0062-0.0083 mu mol m(-2) s(-1) at night. Spatial patterns of streambed pore water chemistry indicate those areas of the hyporheic zone where denitrification was likely occurring. Permanent log dams generated stronger redox gradients in the hyporheic zone than areas with transient beaver dams. By combining isotopically labelled nitrate additions, estimates of uptake from background aqueous nitrate chemistry and characterization of redox conditions in the hyporheic zone, we were able to determine the nitrate regeneration rate and the redox processes responsible for nitrogen cycling in the hyporheic zone. Copyright. (C) 2010 John Wiley & Sons, Ltd.Show less"
9,"Du, XZ",Feb 2022 ,Investigating the impacts of glacier melt on stream temperature in a cold-region watershed: Coupling a glacier melt model with a hydrological model,JOURNAL OF HYDROLOGY,"Stream temperature is a significant indicator for biodiversity and ecosystem health of stream ecosystem. The impacts of glacier melt processes on stream temperature, such as the cooling effect, have not been explicitly considered in process-based models, which limit model capability in simulating stream temperature in glacierized cold regions. We coupled a temperature index-based glacier melt model with the SWAT equilibrium temperature model to overcome this limitation. The coupled model was tested and applied in the upper Athabasca River basin in western Canada to simulate daily streamflow and stream temperature. It showed a good performance for stream temperature simulation with percent bias (PBIAS) less than +/- 5% and Nash-Sutcliffe efficiency (NSE) and coefficient of determination (R-2) values greater than 0.85. The impact of glacier melt runoff on streamflow and stream temperature simulation was investigated by turning the melt model on and off. The results illustrate that the coupled model accurately reproduces the impacts of glacier melt by simulating higher streamflow and lower stream temperature during the melt season. In particular, the progressive reduction in the cooling effect of glacier melt runoff on stream temperature from headwater to downstream was well represented. Finally, the role of glacier melt runoff affecting stream temperature under climate change was assessed by the scenario simulations. This analysis revealed that an increase in glacier melt runoff in the near future would alleviate the average and peak stream temperature increase during the melt season, while a decrease in glacier melt runoff in the distant future would ultimately aggravate the stream temperature increase. Therefore, the impact of glacier melt runoff should be explicitly considered in process-based models to accurately model stream temperature and predict future climate change impact on the thermal regime in the glacierized watersheds. The model coupling framework developed in this study could be a useful tool for simulating stream temperature in glacierized watersheds.Show less"
