,First author,Year,Title,Journal,Abstract
0,"Mojarrad, BB",Jul 2019 ,The Effect of Stream Discharge on Hyporheic Exchange,WATER,"Streambed morphology, streamflow dynamics, and the heterogeneity of streambed sediments critically controls the interaction between surface water and groundwater. The present study investigated the impact of different flow regimes on hyporheic exchange in a boreal stream in northern Sweden using experimental and numerical approaches. Low-, base-, and high-flow discharges were simulated by regulating the streamflow upstream in the study area, and temperature was used as the natural tracer to monitor the impact of the different flow discharges on hyporheic exchange fluxes in stretches of stream featuring gaining and losing conditions. A numerical model was developed using geomorphological and hydrological properties of the stream and was then used to perform a detailed analysis of the subsurface water flow. Additionally, the impact of heterogeneity in sediment permeability on hyporheic exchange fluxes was investigated. Both the experimental and modelling results show that temporally increasing flow resulted in a larger (deeper) extent of the hyporheic zone as well as longer hyporheic flow residence times. However, the result of the numerical analysis is strongly controlled by heterogeneity in sediment permeability. In particular, for homogeneous sediments, the fragmentation of upwelling length substantially varies with streamflow dynamics due to the contribution of deeper fluxes.Show less"
1,"Zhang, JL",Sep 2018 ,"Seasonal variability of hyporheic water exchange of the Weihe River in Shaanxi Province, China",ECOLOGICAL INDICATORS,"Interactions between surface water and groundwater play a major role in hydrological processes. Understanding the seasonal variations of the water exchange is important to clear drivers of water transferring in a catchment. However, the seasonal variations of water exchange have been limited by the resolution of methods and the experimental problems. In this paper, the Weihe River, in Shaanxi Province, China was chosen, as a case study area to access the seasonal variability of water exchange in the hyporheic zone (HZ). Five testing sites were in the main channel of the river, and seasonal field data were collected from fall 2012 to summer 2014. The temperature profiles and heat convection-diffusion equation were applied to analyze the hyporheic water exchange pattern (the type of movement) and its magnitude, as well as characterizing the seasonal variability of the water exchange features. The results indicate that the patterns and magnitudes of water exchange in the hyporheic zone vary significantly in seasons and test sites. The water exchange general in the fall season (71.5 mm/d) is larger than in other seasons (i.e., spring 54.14 mm/d, summer 56.19 mm/d and winter 23.26 mm/d). This study provides the guidelines for the water resources management in different seasons.Show less"
2,"Boano, F",Nov 2010 ,Effect of streamflow stochasticity on bedform-driven hyporheic exchange,ADVANCES IN WATER RESOURCES,"The interactions between the stream and the geomorphologic units that compose the stream channel result in an exchange of water, heat, and chemicals that is an important component of the flows of energy and nutrients in the river ecosystem. This exchange is characterized by complex spatial and temporal dynamics that depend on the characteristics of the stream flow and morphology. At present, many studies have addressed the development of spatial patterns of hyporheic exchange that are induced by many geomorphological factors at different scales. However, much less is known about the temporal evolution of the surface-subsurface exchange in response to the dynamics of the stream discharge. In order to investigate this problem, the present work analyzes the influence of streamflow variability on the hyporheic exchange induced by fluvial bedforms. A stochastic approach is employed to generate streamflow series whose statistical properties are representative of streams with different hydrological regimes. The resulting exchange fluxes and travel times are then computed, and the relationships between the streamflow regime and the dynamics of the exchange flux and travel times are investigated. The results show that the mean stream discharge can be used to estimate the average features of the temporal dynamics of hyporheic exchange. Moreover, exchange fluxes and residence times distributions exhibit significant fluctuations, which are tightly related to the coefficient of variation of the streamflow hydrograph. (C) 2010 Elsevier Ltd. All rights reserved.Show less"
3,"Grant, SB",Sep 2018 ,Modeling the Effects of Turbulence on Hyporheic Exchange and Local-to-Global Nutrient Processing in Streams,WATER RESOURCES RESEARCH,"New experimental techniques are allowing, for the first time, direct visualization of mass and momentum transport across the sediment-water interface in streams. These experimental insights are catalyzing a renaissance in our understanding of the role stream turbulence plays in a host of critical ecosystem services, including nutrient cycling. In this commentary, we briefly review the nature of stream turbulence and its role in hyporheic exchange and nutrient cycling in streams. A simple process-based model, borrowed from biochemical engineering, provides the link between empirical relationships for grain-scale turbulent mixing and nutrient processing at reach, catchment, continental, and global scales.Show less"
4,"Liu, SN",May 2020 ,Optimal In-Stream Structure Design through Considering Nitrogen Removal in Hyporheic Zone,WATER,"The hyporheic zone (HZ), the region beneath or alongside a streambed, can play a vital role in a stream ecosystem. Previous studies have examined the impacts of in-stream structures on the HZ and river restoration; however, studies on optimizing the design of in-stream structures are still lacking. Therefore, this study aims to propose a method for optimizing the design of in-stream structures (e.g., weirs) through comprehensively considering both nitrogen removal amount (NRA) and nitrogen removal ratio (NRR) in the HZ based on numerical modelling. The Hydrologic Engineering Center's River Analysis System (HEC-RAS) and COMSOL Multiphysics are employed for surface water and hyporheic flow simulations, respectively, and these two models are coupled by the hydraulic head along the surface of the streambed. The NRA and NRR are both closely related with residence time (RT), while the NRA is also influenced by hyporheic flux. Using the model outputs under different scenarios, regression equations for estimating the relevant variables (e.g., the maximum upstream distance in the subsurface flow influenced by the weir, the RT, and the hyporheic flux) are proposed. Then, the cumulative NRA (CNRA) and NRR can be calculated, and an objective function is formulated as the product of the normalized CNRA and NRR. The results show that the optimal height of the weir can be obtained based on the proposed method, and the validation shows the good general performance of this method. Sensitivity analysis indicates that the optimal height generally can be sensitive to the river discharge, i.e., the optimal height increases when the river discharge increases and vice versa. In addition, it is observed that, in the case of the optimal height, hyporheic flux increases when the slope increases while the influence of depth to bedrock on hyporheic flux is not significant. This study enhances our understanding of the optimal in-stream structure design, and potentially benefits river restoration in the face of continual degradation caused by human activities.Show less"
5,"Boulton, AJ",Mar 2010 ,Ecology and management of the hyporheic zone: stream-groundwater interactions of running waters and their floodplains,JOURNAL OF THE NORTH AMERICAN BENTHOLOGICAL SOCIETY,"Over the last 25 y, stream ecosystem theory has expanded to include explicitly the vertical dimension Of surface-groundwater linkages via the hyporheic zone and below alluvial floodplains Hydrological exchange between the stream and hyporheic zone mediates transport of products from the biogeochemical activities within the sediments Hot-spots of primary productivity in the Surface stream often result from upwelling nutrient-rich water Conversely, downwelling Surface water Supplies organic matter and dissolved O-2 to hyporheic invertebrates and microbes, enhancing hyporheic productivity. Many of the papers seminal to conceptual and empirical advances in hyporheic research have been published in J-NABS, reflecting stream benthologists' awareness of the relevance of processes and biota in the hyporheic zone However, major research gaps remain One is the need for further empirical data to test the predictions of several current conceptual frameworks that hypothesize conditions under which the hyporheic zone might be expected to contribute most to surface stream metabolism, especially in large rivers with shallow alluvial aquifers A second is how to apply research findings about the functional significance of the hyporheic zone to river restoration and conservation Many activities that restore or protect surface biota and habitats probably benefit hyporheic processes and fauna as well, but this prediction should be tested. Last, hyporheic exchange and the biogeochemical processes within the sediments occur across multiple hierarchical spatial scales, but we are vet to understand fully these interactions or to extrapolate Successfully across scales. J-NABS should continue to play a significant role in publishing research on the hyporheic zone and extend the scope to include applications in river and floodplain management and restorationShow less"
6,"Anderson, JK",Oct 15 2005 ,"Patterns in stream longitudinal profiles and implications for hyporheic exchange flow at the H.J. Andrews Experimental Forest, Oregon, USA",HYDROLOGICAL PROCESSES,"There is a need to identify measurable characteristics of stream channel morphology that vary predictably throughout stream networks and that influence patterns of hyporheic exchange flow in mountain streams. In this paper we characterize stream longitudinal profiles according to channel unit spacing and the concavity of the water surface profile. We demonstrate that: (1) the spacing between zones of upwelling and downwelling in the beds of mountain streams is closely related to channel unit spacing; (2) the magnitude of the vertical hydraulic gradients (VHGs) driving hyporheic exchange flow increase with increasing water surface concavity, measured at specific points along the longitudinal profile; (3) channel unit spacing and water surface concavity are useful metrics for predicting how patterns in hyporheic exchange vary amongst headwater and mid-order streams. We use regression models to describe changes in channel unit spacing and concavity in longitudinal profiles for 12 randomly selected stream reaches spanning 62 km(2) in the H.J. Andrews Experimental Forest in Oregon. Channel unit spacing increased significantly, whereas average water surface concavity (AWSC) decreased significantly with increasing basin area. Piezometer transects installed longitudinally in a subset of stream reaches were used to measure VHG in the hyporheic zone, and to determine the location of upwelling and downwelling zones. Predictions for median pool length and median distance between steps in piezometer reaches bracketed the median distance separating zones of upwelling in the stream bed. VHG in individual piezometers increased with increasing water surface concavity at individual points in the longitudinal profile along piezometer transects. Absolute values of VHG, averaged throughout piezometer transects, increased with increasing AWSC, indicating increased potential for hyporheic exchange flow. These findings suggest that average hyporheic flow path lengths increase-and the potential for hyporheic exchange flow in stream reaches decreases-along the continuum from headwater to mid-order mountain streams. Copyright (c) 2005 John Wiley & Sons, Ltd.Show less"
7,"Zhang, GT",Apr 2017 ,Effect of bank curvatures on hyporheic water exchange at meter scale,HYDROLOGY RESEARCH,"The micro-topography feature of a riverine system is a controlling attribute to induce the change of patterns and magnitudes of hyporheic water exchange. The study aims to determine how hyporheic water exchange is affected by the bank curvatures of test points at meter scale. A one-dimensional heat steady-state transport model was applied to determine patterns and magnitudes of vertical hyporheic water exchange in January and July 2015. The bank curvatures were calculated based on the curvature formula. The results demonstrate that vertical water exchange patterns of all test points were upwards during the two test periods, and the higher vertical fluxes mostly occurred in January 2015. Large curvatures for either sides of convex banks in the two periods resulted in higher vertical water exchange fluxes, and the significantly higher vertical fluxes occurred near the apex of bends. Additionally, a flow pattern from river bank discharging into stream was derived during the campaign in July 2015, and significantly higher fluxes were obtained along the straight bank where more riparian vegetation was adjacent to the bank/water interface. It can be suggested that the bank curvatures and riparian vegetation are considered the crucial attributes influencing hyporheic water exchange.Show less"
8,"Adu, JT",Feb 2021 ,Analytical solution of hyporheic exchange in natural rivers with non-point source pollution loads,JOURNAL OF HYDROLOGY,"Issues of pollution pervade the eco-environment, including water sources, resulting from constant pollutant release into river channels from varying sources. The presence of hyporheic zones in rivers play a role in the fate of pollutants in water systems. This paper studies pollutant transport in a natural river with hyporheic zone exchange and non-point source inflows. A non-point source, hyporheic exchange, Hybrid Cells in Series model is proposed and derived analytically. The proposed model is simulated under varying time delays between the hyporheic zone and the overflow channel. The Breakthrough curves produced from the simulations are in good agreement with field tracer test results, as presented in most studies. The model adequately captures the elongated arrival and trailing tails of field data breakthrough profiles. The proposed model's overall performance shows that the model adequately predicts pollutants' transport and fate along a natural river.Show less"
9,"Fox, A",May 16 2018 ,Interactions Between Suspended Kaolinite Deposition and Hyporheic Exchange Flux Under Losing and Gaining Flow Conditions,GEOPHYSICAL RESEARCH LETTERS,"Fine particle deposition and streambed clogging affect many ecological and biogeochemical processes, but little is known about the effects of groundwater flow into and out of rivers on clogging. We evaluated the effects of losing and gaining flow on the deposition of suspended kaolinite clay particles in a sand streambed and the resulting changes in rates and patterns of hyporheic exchange flux (HEF). Observations of clay deposition from the water column, clay accumulation in the streambed sediments, and water exchange with the bed demonstrated that clay deposition in the bed substantially reduced both HEF and the size of the hyporheic zone. Clay deposition and HEF were strongly coupled, leading to rapid clogging in areas of water and clay influx into the bed. Local clogging diverted exchanged water laterally, producing clay deposit layers that reduced vertical hyporheic flow and favored horizontal flow. Under gaining conditions, HEF was spatially constrained by upwelling water, which focused clay deposition in a small region on the upstream side of each bed form. Because the area of inflow into the bed was smallest under gaining conditions, local clogging required less clay mass under gaining conditions than neutral or losing conditions. These results indicate that losing and gaining flow conditions need to be considered in assessments of hyporheic exchange, fine particle dynamics in streams, and streambed clogging and restoration.Show less"
