,First author,Year,Title,Journal,Abstract
0,"Fox, A",Mar 2014 ,Impact of losing and gaining streamflow conditions on hyporheic exchange fluxes induced by dune- shaped bed forms,WATER RESOURCES RESEARCH,"The exchange of water between the surface and subsurface environments plays a crucial role in hydrological, biogeochemical, and ecological processes. The exchange of water is driven by the local morphology of the streambed (hyporheic exchange) and the regional forcing of a large-scale hydraulic gradient, which results in losing or gaining flow conditions. We measured the effects of losing and gaining flow conditions on hyporheic exchange fluxes in a sandy streambed using a novel laboratory flume system (640 cm long and 30 cm wide) under a combination of average overlying velocities and losing/gaining fluxes. Hyporheic exchange fluxes were analyzed based on a new conceptual framework. This combination of experimental observations and modeling revealed that hyporheic exchange fluxes under losing and gaining flow conditions are similar. Because interfacial transport increases proportionally to the square of the overlying velocity and linearly with increasing fluxes of losing and gaining conditions in the sand bed, the hyporheic exchange flux becomes smaller when the losing or gaining flux increases. Thus, losing and gaining flow conditions become the dominant mechanisms of water exchange at a certain flux, which depends on the competitive interaction between the overlying velocity in the stream and the losing/gaining fluxes.Show less"
1,"Febria, CM",May 2012 ,Bacterial community dynamics in the hyporheic zone of an intermittent stream,ISME JOURNAL,"The dynamics of in situ bacterial communities in the hyporheic zone of an intermittent stream were described in high spatiotemporal detail. We assessed community dynamics in stream sediments and interstitial pore water over a two-year period using terminal-restriction fragment length polymorphism. Here, we show that sediments remained saturated despite months of drought and limited hydrologic connectivity. The intermittency of stream surface water affected interstitial pore water communities more than hyporheic sediment communities. Seasonal changes in bacterial community composition was significantly associated with water intermittency, phosphate concentrations, temperature, nitrate and dissolved organic carbon (DOC) concentrations. During periods of low- to no-surface water, communities changed from being rich in operational taxonomic units (OTUs) in isolated surface pools, to a few OTUs overall, including an overall decline in both common and rare taxa. Individual OTUs were compared between porewater and sediments. A total of 19% of identified OTUs existed in both porewater and sediment samples, suggesting that bacteria use hyporheic sediments as a type of refuge from dessication, transported through hydrologically connected pore spaces. Stream intermittency impacted bacterial diversity on rapid timescales (that is, within days), below-ground and in the hyporheic zone. Owing to the coupling of intermittent streams to the surrounding watershed, we stress the importance of understanding connectivity at the pore scale, consequences for below-ground and above-ground biodiversity and nutrient processing, and across both short- and long-time periods (that is, days to months to years). The ISME Journal (2012) 6, 1078-1088; doi:10.1038/ismej.2011.173; published online 8 December 2011Show less"
2,"Hill, AR",Sep 1998 ,Hyporheic zone hydrology and nitrogen dynamics in relation to the streambed topography of a N-rich stream,BIOGEOCHEMISTRY,"The influence of riffle-pool units on hyporheic zone hydrology and nitrogen dynamics was investigated in Brougham Creek, a N-rich agricultural stream in Ontario, Canada. Subsurface hydraulic gradients, differences in background stream and groundwater concentrations of conservative ions, and the movement of a bromide tracer indicated the downwelling of stream water at the head of riffles and upwelling in riffle-pool transitions under base flow conditions. Channel water also flowed laterally into the floodplain at the upstream end of riffles and followed a subsurface concentric flow path for distances of up to 20 m before returning to the stream at the transition from riffles to pools. Differences in observed vs predicted concentrations based on background chloride patterns indicated that the hyporheic zone was a sink for nitrate and a source for ammonium. The removal of nitrate in the streambed was confirmed by the loss of nitrate in relation to co-injected bromide in areas of downwelling stream water in two riffles. Average stream water nitrate-N concentrations of 1.0 mg/L were often depleted to <0.005 mg/L near the sediment-water interface. Consequently, an extensive volume of the hyporheic zone in the streambed and floodplain had a large unused potential for nitrate removal. Conceptual models based mainly on studies of streams with low nutrient concentrations have emphasized the extent of surface-subsurface exchanges and water residence times in the hyporheic zone as important controls on stream nutrient retention. In contrast, we suggest that nitrate retention in N-rich streams is influenced more by the size of surface water storage zones which increase the residence time of channel water in contact with the major sites of rapid nitrate depletion adjacent to the sediment-water interface.Show less"
3,"Schaper, JL",Nov 6 2018 ,Hyporheic Exchange Controls Fate of Trace Organic Compounds in an Urban Stream,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"First-order half-lives for 26 trace organic (TrOCs) were determined in the hyporheic zone (HZ) and along a 3 km reach of a first-order stream in m South Australia during both dry and wet seasons. Two salt in-stream tracer experiments were conducted and evaluated using a transient storage model to characterize seasonal differences in stream residence time and transient storage. Lagrangian and time-integrated surface water sampling were conducted to calculated half-lives in the surface water. Half-lives in the were calculated using porewater samples obtained from a modified mini-point sampler and hyporheic residence times measured via active heat-pulse sensing. Half of the investigated TrOCs (e.g., oxazepam, olmesartan, candesartan) were not significantly removed along both the investigated river stretch and the sampled hyporheic flow paths. The remaining TrOCs (e.g., metformin, guanylurea, valsartan) were found to be significantly removed in the HZ and along the river stretch with relative removals in the HZ correlating to reach-scale relative removals. Using the modeled transport parameters, it was estimated that wet season reach-scale removal of TrOCs was predominately caused by removal in the HZ when the intensity of hyporheic exchange was also higher. Factors that increase HZ exchange are thus likely to promote in-stream reactivity of TrOCs.Show less"
4,"Gooseff, MN",Jun 30 2003 ,Determining long time-scale hyporheic zone flow paths in Antarctic streams,HYDROLOGICAL PROCESSES,"In the McMurdo Dry Valleys of Antarctica, glaciers are the source of meltwater during the austral summer, and the streams and adjacent hyporheic zones constitute the entire physical watershed; there are no hillslope processes in these systems. Hyporheic zones can extend several metres from each side of the stream, and are up to 70 cm deep, corresponding to a lateral cross-section as large as 12 m(2), and water resides in the subsurface year around. In this study, we differentiate between the near-stream hyporheic zone, which can be characterized with stream tracer experiments, and the extended hyporheic zone, which has a longer time-scale of exchange. We sampled stream water from Green Creek and from the adjacent saturated alluvium for stable isotopes of D and O-18 to assess the significance and extent of stream-water exchange between the streams and extended hyporheic zones over long time-scales (days to weeks). Our results show that water residing in the extended hyporheic zone is much more isotopically enriched (up to 11parts per thousand D and 2-2parts per thousand O-18) than stream water. This result suggests a long residence time within the extended hyporheic zone, during which fractionation has occurred owing to summer evaporation and winter sublimation of hyporheic water. We found less enriched water in the extended hyporheic zone later in the flow season, suggesting that stream water may be exchanged into and out of this zone, on the time-scale of weeks to months. The transient storage model OTIS was used to characterize the exchange of stream water with the extended hyporheic zone. Model results yield exchange rates (a) generally an order magnitude lower (10(-5) s(-1)) than those determined using stream-tracer techniques on the same stream. In light of previous studies in these streams, these results suggest that the hyporheic zones in Antarctic streams have near-stream zones of rapid stream-water exchange, where 'fast' biogeochemical reactions may influence water chemistry, and extended hyporheic zones, in which slower biogeochemical reaction rates may affect stream-water chemistry at longer time-scales. Copyright (C) 2003 John Wiley Sons, Ltd.Show less"
5,"Gordon, RP",Apr 2013 ,Spatial patterns of hyporheic exchange and biogeochemical cycling around cross-vane restoration structures: Implications for stream restoration design,WATER RESOURCES RESEARCH,"Natural channel design restoration projects in streams often include the construction of cross-vanes, which are stone, dam-like structures that span the active channel. Vertical hyporheic exchange flux (HEF) and redox-sensitive solutes were measured in the streambed around four cross-vanes with different morphologies. Observed patterns of HEF and redox conditions are not dominated by a single, downstream-directed hyporheic flow cell beneath cross-vanes. Instead, spatial patterns of moderate (<0.4 m d1) upwelling and downwelling are distributed in smaller cells around pool and riffle bed forms upstream and downstream of structures. Patterns of biogeochemical cycling are controlled by dissolved oxygen concentrations and resulting redox conditions, and are also oriented around secondary bed forms. Strong downwelling into the hyporheic zone (0.53.5 m d1) was observed immediately upstream of structures, but was limited to an area 12 m from the cross-vane; these hyporheic flow paths likely rejoin the stream at the base of cross-vanes after residence times too short to alter nitrate concentrations or accumulate reaction products. Total hyporheic exchange volumes are approximate to 0.4% of stream discharge in restored reaches of 4555 m. Results show that shallow hyporheic flow and associated biogeochemical cycling near cross-vanes is primarily controlled by secondary bed forms created or augmented by the cross-vane, rather than by the cross-vane itself. This study suggests that cross-vane restoration structures benefit the stream ecosystem by creating heterogeneous patches of varying HEF and redox conditions in the hyporheic zone, rather than by processing large amounts of nutrients to alter in-stream water chemistry.Show less"
6,"Hester, ET",Mar 15 2008 ,In-stream geomorphic structures as drivers of hyporheic exchange,WATER RESOURCES RESEARCH,"Common in-stream geomorphic structures such as debris dams and steps can drive hyporheic exchange in streams. Exchange is important for ecological stream function, and restoring function is a goal of many stream restoration projects, yet the connection between in-stream geomorphic form, hydrogeologic setting, and hyporheic exchange remains inadequately characterized. We used the models HEC-RAS, MODFLOW, and MODPATH to simulate coupled surface and subsurface hydraulics in a gaining stream containing a single in-stream geomorphic structure and to systematically evaluate the impact of fundamental characteristics of the structure and its hydrogeologic setting on induced exchange. We also conducted a field study to support model results. Model results indicated that structure size, background groundwater discharge rate, and sediment hydraulic conductivity are the most important factors determining the magnitude of induced hyporheic exchange, followed by geomorphic structure type, depth to bedrock, and channel slope. Model results indicated channel-spanning structures were more effective at driving hyporheic flow than were partially spanning structures, and weirs were more effective than were steps. Across most structure types, downwelling flux rate increased linearly with structure size, yet hyporheic residence time exhibited nonlinear behavior, increasing quickly with size at low structure sizes and declining thereafter. Important trends in model results were observed at the field site and also interpreted using simple hydraulic theory, thereby supporting the modeling approach and clarifying underlying processes.Show less"
7,"McCluskey, A",11th International Symposium on Ecohydraulics,ADVECTIVE HYPORHEIC EXCHANGE AT MULTIPLE SCALES,,
8,"Luo, ZL",Jun 2018 ,"Effect of human activity intensity on stream structure and connectivity in Shaying River Basin, China",WATER SCIENCE AND TECHNOLOGY-WATER SUPPLY,"In order to quantify the relationship between human activity intensity and the evolution of stream structure and connectivity, the characteristics of spatial distribution and temporal evolution of stream structure and connectivity in different periods were studied by using river structure parameters and landscape ecology methods. The results indicate the following. (1) The mainstream trend of stream system, with the stream development coefficient decreased by 18.35% and 22.50% for the second- and third-level of stream, is obvious. (2) Human activity intensity has a significant impact on the change of stream structure and connectivity. Under the background of economy domination, the stronger human intervention is, the simpler streamstructure will be, and the poorer streamconnectivity will be. (3) From the view of time series, it is considered that human activities are the main reasons for affecting the change of stream structure and connectivity in the short term, while the natural factors have little effect. (4) The length of low-level streams is more affected by human activities than that of the high-level streams, but water surface ratio is opposite. This study can provide a reference for coordinating the contradiction between socio-economic development and protection of stream systems.Show less"
9,"Cozzetto, K",Feb 2006 ,"Experimental investigations into processes controlling stream and hyporheic temperatures, Fryxell Basin, Antarctica",ADVANCES IN WATER RESOURCES,"Glacial meltwater streams in the McMurdo Dry Valleys, Antarctica exhibit daily cycles in temperature with maxima frequently reaching 10-15 degrees C, often 10 degrees C above air temperatures. Hydrologic and biogeochemical processes occurring in these streams and their hyporheic zones strongly influence the flux of water, solutes, and sediment to the ice-covered lakes on the valley bottoms. The purpose of this study was to identify the dominant processes controlling water temperature in these polar desert streams and to investigate in particular the role of hyporheic exchange. In order to do this, we analyzed stream temperature patterns on basin-wide, longitudinal, and reach scales. In the basin-wide study, we examined stream temperature monitoring data for seven streams in the Lake Fryxell Basin. For the longitudinal study, we measured temperatures at seven sites along a 5-km length of Von Guerard Stream.Maximum temperatures in the Fryxell Basin streams ranged from 8 to 15 degrees C. Daily temperature changes in the streams averaged 6-9 degrees C. Stream temperature patterns showed strong diel cycles peaking at roughly the same time throughout the lake basin as well as along the longitudinal gradient of Von Guerard Stream. Further, temperature patterns closely matched the associated net shortwave radiation patterns. Von Guerard Stream experienced its greatest amount of warming, 3-6 degrees C, in a playa region and cooled below snowfields. Temperatures in several streams around Lake Fryxell converged on similar values for a given day as did temperatures in downstream reaches of Von Guerard Stream not influenced by snowfields suggesting that at a certain point instream warming and cooling processes balance one another. The reach-scale investigation involved conducting two dual-injection conservative tracer experiments at mid-day in a 143-m reach of Von Guerard Stream instrumented with temperature and specific conductance probes. In one experiment, snow was added to the stream to suppress the temperature maximum. Chloride data from monitoring wells installed in the streambed showed that streamwater was infiltrating into the streambed and was reaching the frozen boundary. Temperatures in the hyporheic zone were always cooler than temperatures in the stream. OTIS-P modeling of tracer experiment data indicated that significant hyporheic exchange occurred in both experiments. Reach and cross-sectional heat budgets were established with data obtained from the tracer experiments and from a nearby meteorological station. The budgets showed that net radiation accounted for 99% of the warming taking place in the experimental reach. This result, together with the streams' shallow depths and hence rapid response to meteorological conditions, explains the close linkage between stream temperature and net shortwave radiation patterns. Cross-sectional heat budgets also indicated that evaporation, convection, conduction, and hyporheic exchange contributed to 30%, 25-31%, 19-37%, and 6-21%, respectively, of the non-radiative heat losses in the experimental reach. Thus these processes all worked in conjunction to limit stream temperatures in the Dry Valleys' highly exposed environment. This contrasts with other streams in which convection and conduction may play a warming role. The cooling impact of hyporheic exchange was greater in a losing reach than in a gaining one, and increased hyporheic exchange may have lessened the contribution of conduction to the thermal budgets by decreasing streambed temperature gradients. The cooling contributions of evaporation and convection increased with stream temperature and may thus play a role in constraining stream temperature maxima. Finally, our data indicate that streams act as vectors of heat in the Lake Fryxell basin, not only warming the hyporheic zone and eroding the frozen boundary underlying the streams but also accumulating and carrying heat downstream, sending a thermal wave into the lake once a day. (C) 2005 Elsevier Ltd. All rights reserved.Show less"
