,First author,Year,Title,Journal,Abstract
0,"Buddendorf, WB",Mar 10 2019 ,Integration of juvenile habitat quality and river connectivity models to understand and prioritise the management of barriers for Atlantic salmon populations across spatial scales,SCIENCE OF THE TOTAL ENVIRONMENT,"Diadromous fish populations are strongly affected by in-stream barriers that cause river network fragmentation, constraining productivity or preventing completion of their lifecycle. Removal or reduction of barrier impacts is a restoration measure associated with unambiguous benefits. Management of barriers is therefore often prioritised above other restoration actions. Barrier management is prioritised at local and national scales depending on funding. However, barrier prioritisation is potentially sub-optimal because existing tools do not consider habitat quality. Furthermore, effects of partial barriers (those passable under certain conditions) are uncertain, depending on location and potential cumulative effects.A framework is presented for assessing effects of impassable manmade barriers (IMBs) on longitudinal river network connectivity (percentage of upstream habitat accessible from the river mouth) for Atlantic salmon across spatial scales, using Scotland as an example. The framework integrates juvenile habitat quality and network connectivity models to (1) provide information necessary for local and national prioritisation of barriers, and (2) assess potential effects of passable manmade barriers (PMBs) within a sensitivity framework.If only IMBs are considered, high levels of longitudinal connectivity are observed across most of Scotland's rivers. Barrier prioritisation is sensitive to habitat weighting: not accounting for habitat quality can lead to over-or underestimating the importance of IMBs. Prioritisation is also highly sensitive to the passability of PMBs: if passability drops to <97% (combined up-and downstream passability), the mean effect of PMBs becomes greater than IMBs at the national level. Moreover, impacts on catchment connectivity, and thus production (number of juvenile salmon produced by the river), could be severe, suggesting a better understanding of the passability of PMBs is important for future management of migration barriers. The presented framework can be transferred to other catchments, regions, or countries where necessary data are available, making it a valuable tool to the broader restoration community. Crown Copyright (C) 2018 Published by Elsevier B.V. All rights reserved.Show less"
1,"Kim, H",Aug 1 2018 ,Combining pyrosequencing and isotopic approaches to assess denitrification in a hyporheic zone,SCIENCE OF THE TOTAL ENVIRONMENT,"Hyporheic zones are considered hot spots for numerically vast and phylogenetically diverse microbial communities. However, biogeochemical effects of hyporheic zones have rarely been investigated in detail because of the difficulty in accurately measuring denitrification in these zones. To date, little is known about the hydroecology of hyporheic zones. The effect of changes in hydraulic conditions on the community variations of indigenous microorganisms and water quality was examined based on the depth of the hyporheic zone. In particular, we report on the use of the pyrosequencing technique to elucidate denitrifying bacteria (DNB) community profiles combined with the stable isotope composition of nitrate and hydrological patterns in the hyporheic zones to reveal whether denitrification occurs. delta N-15-NO3 and delta O-18-NO3 values of nitrate were analyzed to evaluate the transformation processes of nitrate in upwelling and downwelling areas and mixed zones. The isotope values indicated different origins of water in upwelling and downwelling zones and that denitrification occurred predominantly in the upwelling areas. Analyses of microbial communities in the hyporheic zone showed that the new genera, species, and isotope data were associated with the hydrological uniqueness of the hyporheic zones. The 16S rRNA sequences were determined and phylogenetic analysis revealed that the DNB communities distributed and gathered the genus Comamonas denitrificans within the mixing patterns of the hyporheic zones and that the relative scarcity of these microbes in these zones was caused by the lack of appropriate substrates. The delineation of the surface water-groundwater mixing zone was quantitatively determined by systematically combining the hydrological and heat transfer analyses and by comparing denitrifying bacteria communities and N isotope data. This study showed that pyrosequencing and isotopic approaches are useful for evaluating the transformation processes of nitrate at the upwelling and downwelling points of a hyporheic zone. (C) 2018 Elsevier B.V. All rights reserved.Show less"
2,"Palumbo-Roe, B",Aug 2017 ,Limitations on the role of the hyporheic zone in chromium natural attenuation in a contaminated urban stream,APPLIED GEOCHEMISTRY,"The urban hyporheic zone may offer natural attenuation potential for contaminants. This potential is contaminant-specific and may be spatially and temporally variable. The aim of this study was the assessment of the natural attenuation potential of the hyporheic zone of an urban stream receiving hexavalent chromium (Cr)-rich effluents from the historical land disposal of chromite ore processing residue (COPR) in Glasgow, Scotland. The evidence based approach involved the use of a network of multilevel piezometers for best capturing potential anoxic field conditions and fine-scale spatial gradients in solute concentrations of surface water and porewater. In-situ porewater sampling was integrated with sediment sampling and reach-scale monitoring of stream water quality. The results show a sharp decrease of total dissolved (filtered <0.45 gm) Cr concentrations at the surface water sediment boundary in all profiles, from Cr mean values of 1100 mu g l(-1) in surface water to 5 mu g l(-1) in porewater. Chromium speciation analysis indicates that no Cr(VI) was detectable in the neutral pH, moderately reducing porewater, while it was the dominant species in surface water. Evidence of historical COPR detrital grains contributed to the total Cr concentrations (size fraction <150 mu m) up to 8800 mg kg(-1) in the streambed sediment. The abundance in the porewater of Fe (mean value = 1700 mu g l(-1)), mainly as Fe(II), a natural electron donor for Cr(VI) reduction to Cr(III), indicates a high natural attenuation potential of the hyporheic zone for downwelling dissolved Cr, through Cr(VI) reduction to Cr(III) and the formation of Cr(III) solids of low solubility. Authigenic Cr-rich rims on particles also documented active Cr precipitation from solution in the fine sediments. Large short-term changes of stream stage and stream water composition were not reflected in the hyporheic conservative (chloride) and reactive solute composition. This result indicates only limited surface water infiltration and suggests that small advective exchange might limit the effectiveness of the hyporheic zone for enhancing Cr surface water quality at the reach-scale. This is supported by further evidence from preliminary surface water quality synoptic sampling which shows only moderate to low downstream decrease in surface water Cr concentrations. The surface water investigation needs to be supported by combined water quality-flow monitoring and to be extended to a wider range of temporal and spatial scales to corroborate the reach-scale findings. (C) 2017 British Geological Survey, A component institute of NERC. Published by Elsevier Ltd.Show less"
3,"Nicoll, T",Jan 15 2017 ,"Within-catchment variability in landscape connectivity measures in the Garang catchment, upper Yellow River",GEOMORPHOLOGY,"The degree of landscape connection has wide-ranging implications for sediment availability, frequency of transport, and the nature of sediment storage within a basin. Two methodological approaches for assessing landscape connectivity are applied within the Garang subcatchment of the upper Yellow River. A GIS-based geomorphometric index was calculated for the catchment and compared to a methodology linking interpretation of satellite imagery and field mapping of sediment storage to slope threshold analysis. Landscapes of the Garang catchment are highly contrasting and can be separated into three zones: i) a highly disconnected upper catchment of low-relief with large inactive sediment stores; ii) a transitional zone where present landscape dynamics are controlled in large part by past incisional processes in the form of large alluvial fan/terrace deposits; and iii) a highly connected and highly dissected landscape within the lower catchment that has little accommodation space for sediment storage. The geomorphometric index shows general agreement with the patterns in landscape connectivity observed through imagery and field investigations. However, it estimates similar levels of connectivity in landscapes with observed (dis)connectivity, reflecting limitations of the calculation. While rapidly calculated geomorphometric indices of landscape connectivity provide useful appraisals of relative within-catchment variability in systems such as the Garang catchment, caution is urged in conducting broader-scale analyses using the same tools. Findings from this study highlight the importance of field-informed appraisals of landscape dynamics, site-specific characteristics and the imprint of historical (evolutionary) context in making such comparative assessments. (C) 2016 Elsevier B.V. All rights reserved.Show less"
4,"Gay, A",Jan 2016 ,Application of an index of sediment connectivity in a lowland area,JOURNAL OF SOILS AND SEDIMENTS,"Sediment connectivity at the landscape scale has gained interest in the last few decades. Distributed approaches, such as topographic indices, are widely used to evaluate this connectivity. However, most of the research efforts are concentrated in mountainous areas while little work has been done in lowland areas where evidence of high connectivity has been reported. The objectives of this study are as follows: (i) to integrate landscape infiltration/runoff properties in the assessment of connectivity to account for lowland processes and (ii) to apply this approach to a large territory with both mountainous and lowland areas.The topographic index of connectivity (IC) of Borselli et al. (2008) was computed for the Loire-Brittany River Basin (> 10(5) km(2)). A distributed parameter (IDPR) that reflects landscape infiltration and saturation properties due to underlying geological formation characteristics is introduced. We integrated this parameter in a revised index (IC (revised) ) as an indicator of landscape hydrologic connectivity. Results at the pixel scale are aggregated at the watershed scale.Two maps of connectivity are produced, considering the initial IC and the revised form (IC (revised) ). As expected, the IC gives the highest connectivity in the steepest areas and does not reflect the existing connectivity in lowland areas. On the contrary, the IC (revised) computed in this study profoundly modifies the sediment connectivity values. These changes are evenly distributed over the entire territory and affected 51.5 % of the watersheds. As a result, we obtained a better correlation between calculated connectivity and the observed drainage density (which reflects the actual connections between hillslopes and rivers) in areas where slopes are gentle (< 7 %).Topographic indices do not reflect the real sediment connectivity in lowland areas, but their adaptation by considering runoff processes of such areas is possible. The IC (revised) presents an interesting perspective to define other highly connected areas at the country scale, as 17 % of the French territory is characterized by very gentle slopes with high runoff capacity.Show less"
5,"Sanchez-Perez, JM",2013 ,Role of the hyporheic heterotrophic biofilm on transformation and toxicity of pesticides,ANNALES DE LIMNOLOGIE-INTERNATIONAL JOURNAL OF LIMNOLOGY,"The role of heterotrophic biofilm of water-sediment interface in detoxification processes was tested in abiotic and biotic conditions under laboratory conditions. Three toxicants, a herbicide (Diuron), a fungicide (Dimethomorph) and an insecticide (Chlorpyrifos-ethyl) have been tested in water percolating into columns reproducing hyporheic sediment. The detoxification processes were tested by comparing the water quality after 18 days of percolation with and without heterotrophic biofilm. Tested concentrations were 30 mu g.L-1 of Diuron diluted in 0.1% dimethyl sulfoxide (DMSO), 2 mu g.L-1 of Dimethomorph and 0.1 mu g.L-1 of Chlorpyrifos-ethyl. To characterise the detoxification efficiency of the system, we performed genotoxicity bioassays in amphibian larvae and rotifers and measured the respiration and denitrification of sediments. Although the presence of biofilm increased the production of N-(3,4 dichloropheny1)-N-(methyl)-urea, a metabolite of diuron, the toxicity did not decrease irrespective of the bioassay. In the presence of biofilm, Dimethomorph concentrations decreased compared with abiotic conditions, from 2 mu g.L-1 to 0.4 mu g.L-1 after 18 days of percolation. For both Dimethomorph and Chlorpyrifos-ethyl additions, assessment of detoxification level by the biofilm depended on the test used: detoxification effect was found with amphibian larvae bioassay and no detoxification was observed with the rotifer test. Heterotrophic biofilm exerts a major influence in the biochemical transformation of contaminants such as pesticides, suggesting that the interface between running water and sediment plays a role in self-purification of stream reaches.Show less"
6,"Lee, HS",Dec 2013 ,A configuration scheme for connectivity-aware mobile P2P networks for efficient mobile cloud-based video streaming services,CLUSTER COMPUTING-THE JOURNAL OF NETWORKS SOFTWARE TOOLS AND APPLICATIONS,"Mobile cloud-based video streaming services cannot be provided seamlessly when network traffic increases sharply in congested areas such as colleges, universities, and downtown at specific times. This paper proposes a configuration scheme for connectivity-aware P2P networks which can reduce network traffic of cloud-based streaming servers through sharing of streaming video by utilizing information on connectivity status of mobile devices, and which can improve the quality of mobile cloud-based video streaming services by considering mobility of mobile devices and QoS which have not been considered in existing P2P schemes. Our proposed scheme reduces the amount of server traffic and the disconnection times of mobile devices significantly, compared to the non-P2P scheme and the AODV scheme. It also increases considerably the number of mobile devices to which a cloud-based streaming server can provide video streaming services simultaneously, compared to the two schemes.Show less"
7,"Lisenby, PE",Jul 2 2020 ,River sensitivity and sediment connectivity as tools for assessing future geomorphic channel behavior,INTERNATIONAL JOURNAL OF RIVER BASIN MANAGEMENT,"The science of geomorphology is increasingly used to inform river management efforts; however, the complexity of fluvial systems makes predictions of future channel adjustment difficult at best. The geomorphic concepts of landform sensitivity and sediment connectivity are well suited to aid river managers in assessing the probability and variability of river channel responses. This can be especially helpful in planning for impacts of future climate change or changes in management activity. River sensitivity and sediment connectivity datasets provide a necessary reach-in-catchment perspective to inform geomorphic interpretations of river behaviour. Such interpretations constitute a first step towards providing the contextual geomorphic understanding necessary to establish expectations of future channel behaviour. In this paper, we use geomorphic interpretations based on river sensitivity and sediment connectivity datasets to describe the historical trajectory and future adjustment possibilities for four channel reaches in the Lockyer Valley, southeast Queensland (SEQ). We apply our interpretations to three different scenarios of future climate and river management conditions to constrain what forms of geomorphic adjustment are possible for resilient-disconnected, resilient-connected, sensitive-connected, and sensitive-disconnected channels. Using scenario-building exercises to forecast possibilities of river adjustment can aid river managers by establishing expectations of future channel behaviour. This information can then be fed into the decision-making process regarding where to prioritize management actions as part of catchment action planning that works with, not against, the natural behaviour of riverine environments.Show less"
8,"TREMOLIERES, M",Mar 26 1993 ,THE EXCHANGE PROCESS BETWEEN RIVER AND GROUNDWATER ON THE CENTRAL ALSACE FLOODPLAIN (EASTERN FRANCE) .1. THE CASE OF THE CANALISED RIVER RHINE,HYDROBIOLOGIA,"The recent canalisation (in the nineteen sixties) of the upper Rhine has modified the exchange processes between the river and its groundwater in the floodplain of Alsace. The Rhine seeps through its gravelly bed and in this way feeds the nearby groundwater table by means of the so-called 'Rhine filtrates'. Using a few groundwater stream examples, this paper presents the characterization and localisation of these infiltrations. The Rhine filtrates are characterized by a high level of chloride and a low level of nitrate, these compounds being hydrological tracers, specific for the Alsatian floodplain (chloride resulting from contamination by the potash mines in the south of Alsace). They are also defined by high levels of phosphate and mercury (very localized injection). Phosphate is responsible for eutrophication which is observable in the appearance of specific aquatic macrophyte communities. Groundwater contamination by mercury is reflected by its accumulation in the bryophyte Fontinalis antipyretica sampled in groundwater streams. Thus aquatic vegetation, and more particularly the distribution of macrophyte communities, is used as an ecological descriptor of the exchange between the Rhine and its groundwater. The maximum injection of Rhine filtrates occurs between two areas of stillwater (hydroelectric dams), where the Rhine dominates its plain and where the substrate is constituted of coarse gravels.Show less"
9,"Dohman, JM",Oct 2021 ,Three-Dimensional Subsurface Flow Path Controls on Flow Permanence,WATER RESOURCES RESEARCH,"Intermittent streams currently constitute >50% of the global river network, and the number of intermittent streams is expected to increase due to changes in land use and climate. Surface flows are known to expand and contract within the headwater channel network due to changes in the water table driven by climate, often changing seasonally. However, the underlying causes of disconnections and reconnections throughout the stream network remain poorly understood and may reflect subsurface flow capacity. We assess how 3D subsurface flowpaths control local surface flows at Gibson Jack Creek in the Rocky Mountains, Idaho, USA. Water table dynamics, hydraulic gradients, and hyporheic exchange were monitored along a 200-m section of the stream throughout the seasonal recession in WY2018. Shallow lateral hillslope-riparian-stream connectivity was more frequent in transects spanning perennially flowing stream reaches than intermittent reaches. During low-flow periods, larger losing vertical hydraulic gradients were observed in paired piezometers in intermittent reaches than in adjacent perennial reaches. Contrary to dominant conceptual models, longitudinal measurements of hydrologic exchange in both intermittent and perennial reaches were seasonally variable except for one perennial reach that showed consistent significant gains. Observed drying dynamics, as well as subsurface pathways, were highly variable even over short distances (30 m). Flow probability and subsurface flow capacity at upstream locations can be assessed with an outlet hydrograph and upstream flow measurements. Accurate characterization of subsurface storage, discharge, and connection is critical to understanding the drivers of drying cycles in intermittent streams and their likely responses to future change.Show less"
