,First author,Year,Title,Journal,Abstract
0,"Zimmer, MA",Mar 2018 ,"Lateral, Vertical, and Longitudinal Source Area Connectivity Drive Runoff and Carbon Export Across Watershed Scales",WATER RESOURCES RESEARCH,"Watersheds are three-dimensional hydrologic systems where the longitudinal expansion/contraction of stream networks, vertical connection/disconnection between shallow and deep groundwater systems, and lateral connectivity of these water sources to streams mediate runoff production and nutrient export. The connectivity of runoff source areas during both baseflow and stormflow conditions and their combined influence on biogeochemical fluxes remain poorly understood. Here we focused on a set of 3.3 and 48.4 ha nested watersheds (North Carolina, USA). These watersheds comprise ephemeral and intermittent runoff-producing headwaters and perennial runoff-producing lowlands. Within these landscape elements, we characterized the timing and magnitude of precipitation, runoff, and runoff-generating flow paths. The active surface drainage network (ASDN) reflected connectivity to, and contributions from, source areas that differed under baseflow and stormflow conditions. The baseflow-associated ASDN expanded and contracted seasonally, driven by the rise and fall of the seasonal water table. Superimposed on this were event-activated source area contributions driven by connectivity to surficial and shallow subsurface flow paths. Frequently activated shallow flow paths also caused increased in-stream dissolved organic carbon (DOC) concentrations with increases in runoff across both watershed scales. The spread and variability within this DOC-runoff relationship was driven by a seasonal depletion of DOC from continual shallow subsurface flow path activation and subsequent replenishment from autumn litterfall. Our findings suggest that hydrobiogeochemical signals at larger watershed outlets can be driven by the expansion, contraction, and connection of lateral, longitudinal, and vertical source areas with distinct runoff generation processes.Show less"
1,"Teitelbaum, Y",Feb 28 2022 ,A Novel Framework for Simulating Particle Deposition With Moving Bedforms,GEOPHYSICAL RESEARCH LETTERS,"Previous modeling studies of hyporheic exchange induced by moving bedforms have used a moving reference frame, typically corresponding to an individual moving bedform. However, this approach is not suitable for simulating the exchange and accumulation of immobile fine particles beneath moving bedforms, which commonly occurs in sand-bed streams, as both moving and stationary features must be considered. Here we present a novel simulation framework that may represent arbitrarily shaped, generally aperiodic mobile bedforms within a stationary reference frame. We combine this approach with particle tracking to successfully reproduce observations of clay deposition in sand beds, and the resulting development of a low-conductivity layer near the scour zone. We find that increased bedform celerity and filtration both lead to a shallower depth of clay deposition and a more compact deposition layer. While increased filtration causes more clay to deposit, increased celerity reduces deposition by flattening hyporheic exchange flowpaths.Show less"
2,"Jarvie, HP",Dec 4 2018 ,Coupling High-Frequency Stream Metabolism and Nutrient Monitoring to Explore Biogeochemical Controls on Downstream Nitrate Delivery,ENVIRONMENTAL SCIENCE & TECHNOLOGY,"Instream biogeochemical process measurements are often short-term and localized. Here we use in situ sensors to quantify the net effects of biogeochemical processes on seasonal patterns in baseflow nitrate retention at the river-reach scale. Dual-station high-frequency in situ nitrate measurements, were coupled with high-frequency measurements of stream metabolism and dissolved inorganic carbon, in a tributary of the Buffalo National River, Arkansas. Nitrate assimilation was calculated from net primary production, and combined with mass-balance measurements, to estimate net nitrification and denitrification. The combined net effects of these instream processes (assimilation, denitrification, and nitrification) removed >30-90% of the baseflow nitrate load along a 6.5 km reach. Assimilation of nitrate by photoautotrophs during spring and early summer was buffered by net nitrification. Net nitrification peaked during the spring. After midsummer, there was a pronounced switch from assimilatory nitrate uptake to denitrification. There was clear synchronicity between the switch from nitrate assimilation to denitrification, a reduction in river baseflows, and a shift in stream metabolism from autotrophy to heterotrophy. The results show how instream nitrate retention and downstream delivery is driven by seasonal shifts in metabolic pathways; and how continuous in situ stream sensor networks offer new opportunities for quantifying the role of stream biota in the dynamics, fate, and transport of nitrogen in fluvial systems.Show less"
3,"Li, NJ",International Symposium on Project Management,Shaw River Hydropower Station CDM Development and Creating National Carbon Exchanges Study,,
4,"Dodds, PS",Jan 2001 ,Geometry of river networks. III. Characterization of component connectivity,PHYSICAL REVIEW E,"Essential to understanding the overall structure of river networks is a knowledge of their detailed architecture. Here we explore the presence of randomness in river network structure and the details of its consequences. We first show that an averaged view of network architecture is provided by a proposed self-similarity statement about the scaling of drainage density, a local measure of stream concentration. This scaling of drainage density is shown to imply Tokunaga's law, a description of the scaling of side branch abundance along a given stream, as well as a scaling law for stream lengths. We then consider fluctuations in drainage density and consequently the numbers of side branches. Data are analyzed for the Mississippi River basin and a model of random directed networks. Numbers of side streams are found to follow exponential distributions, as are intertributary distances along streams. Finally, we derive a joint variation of side stream abundance with stream length, affording a full description of fluctuations in network structure. Fluctuations in side stream numbers are shown to be a direct result of fluctuations in stream lengths. This is the last paper in a series of three on the geometry of river networks.Show less"
5,"Garcea, FE",Jul 2018 ,Task- and domain-specific modulation of functional connectivity in the ventral and dorsal object-processing pathways,BRAIN STRUCTURE & FUNCTION,"A whole-brain network of regions collectively supports the ability to recognize and use objects-the Tool Processing Network. Little is known about how functional interactions within the Tool Processing Network are modulated in a task-dependent manner. We designed an fMRI experiment in which participants were required to either generate object pantomimes or to carry out a picture matching task over the same images of tools, while holding all aspects of stimulus presentation constant across the tasks. The Tool Processing Network was defined with an independent functional localizer, and functional connectivity within the network was measured during the pantomime and picture matching tasks. Relative to tool picture matching, tool pantomiming led to an increase in functional connectivity between ventral stream regions and left parietal and frontal-motor areas; in contrast, the matching task was associated with an increase in functional connectivity among regions in ventral temporo-occipital cortex, and between ventral temporal regions and the left inferior parietal lobule. Graph-theory analyses over the functional connectivity data indicated that the left premotor cortex and left lateral occipital complex were hub-like (exhibited high betweenness centrality) during tool pantomiming, while ventral stream regions (left medial fusiform gyrus and left posterior middle temporal gyrus) were hub-like during the picture matching task. These results demonstrate task-specific modulation of functional interactions among a common set of regions, and indicate dynamic coupling of anatomically remote regions in task-dependent manner.Show less"
6,"Spurgeon, JJ",Sep 2018 ,Spatial structure of large-river fish populations across main-stem and tributary habitats,RIVER RESEARCH AND APPLICATIONS,"The spatial variability in demographic parameters represents fundamental information for conservation and management of large-river fish populations. We assessed demographic processes including survival and movement across macroscale habitats in a large-river network using 2 candidate large-river species with contrasting life history strategies. We used mark-recapture data and a multistate model framework to estimate survival and transition probabilities between main-stem and tributary habitats for both channel catfish and shovelnose sturgeon. Annual survival for channel catfish was similar in main-stem and tributary habitats (range in S=0.47-0.58). Annual survival for shovelnose sturgeon was less in the tributary (S=0.68) compared with the main stem (S=0.83). The probability of movement among macroscale habitats differed between species. However, the greatest probability of movement occurred from the tributary to the main-stem for both channel catfish (=0.42) and shovelnose sturgeon (=0.27). Movement between main-stem and tributary rivers may be a prominent characteristic for both channel catfish and shovelnose sturgeon and could influence population demographic rates and abundance across systems. Riverine fish populations are likely structured across multiple salient scalesincluding tributary and main-stem habitats. Consideration of connectivity across tributary and main-stem habitats with respect to species' life history strategy and life stage may better integrate a systems' perspective for conservation and management of large-river fish populations.Show less"
7,"Tsartsali, EE",Jun 2022 ,Impact of resolution on the atmosphere-ocean coupling along the Gulf Stream in global high resolution models,CLIMATE DYNAMICS,"We have investigated the horizontal resolution dependence of the ocean-atmosphere coupling along the Gulf Stream, of simulations made by six Global Climate Models according to the HighResMIP protocol, and compared it with reanalysis and remote sensing observations. Two ocean-atmosphere interaction mechanisms are explored in detail: The Vertical Mixing Mechanism (VMM) associated with the intensification of downward momentum transfer, and the Pressure Adjustment Mechanism (PAM) associated with secondary circulations driven by pressure gradients. Both VMM and PAM are found to be active even in the eddy-parameterized models. However, increasing ocean and/or atmosphere resolution leads to enhanced ocean-atmosphere coupling and improved agreement with reanalysis and observations. Our results indicate that while one part of the stronger air-sea coupling is attributable to the refinement of the oceanic component to eddy-permitting, optimal results are obtained only by further increase of the atmosphere resolution too. The use of the eddy-resolving model show weaker or same coupling strength over the eddy-permitting resolution. We conclude that at least eddy-permiting ocean resolution and comparable atmosphere resolution are required for a reliable ocean-atmosphere coupling along the Gulf Stream.Show less"
8,"van de Wolfshaar, KE",Sep 2011 ,"Linking Flow Regime, Floodplain Lake Connectivity and Fish Catch in a Large River-Floodplain System, the Volga-Akhtuba Floodplain (Russian Federation)",ECOSYSTEMS,"River-floodplain systems are amongst the most productive-but often severely impacted-aquatic systems worldwide. We explored the ecological response of fish to flow regime in a large river-floodplain system by studying the relationships between (1) discharge and inundated floodplain area, with a focus on spatial and temporal patterns in floodplain lake connectivity, and (2) flood volume and fisheries catch. Our results demonstrate a non-linear relationship between discharge and floodplain inundation with considerable hysteresis due to differences in inundation and drainage rate. Inundation extent was mostly determined by flood volume, not peak discharge. We found that the more isolated lakes (that is, lakes with a shorter connection duration to the river) are located at higher local elevation and at larger hydrological distance from the main rivers: geographical distance to the river appears a poor predictor of lake isolation. Although year-to-year fish catches in the floodplain were significantly larger with larger flood volumes in the floodplain, they were not in the main river, suggesting that mechanisms that increase catch, such as increased floodplain access or increased somatic growth, are stimulated by flooding in the floodplain, but not in the river. Fish species that profit from flooding belong to different feeding guilds, suggesting that all trophic levels may benefit from flooding. We found indications that the ecological functioning of floodplains is not limited to its temporary availability as habitat. Refugia can be present within the floodplain itself, which should be considered in the management of large rivers and their floodplain.Show less"
9,"Joo, H",Apr 2021 ,Stream gauge network grouping analysis using community detection,STOCHASTIC ENVIRONMENTAL RESEARCH AND RISK ASSESSMENT,"Stream gauging stations are important in hydrology and water science for obtaining water-related information, such as stage and discharge. However, for efficient operation and management, a more accurate grouping method is needed, which should be based on the interrelationships between stream gauging stations. This study presents a grouping method that employs community detection based on complex networks. The proposed grouping method was compared with the cluster analysis approach, which is based on statistics, to verify its adaptability. To achieve this goal, 39 stream gauging stations in the Yeongsan River basin of South Korea were investigated. The numbers of groups (clusters) in the study were two, four, six, and eight, which were determined to be suitable by fusion coefficient analysis. Ward's method was employed for cluster analysis, and multilevel modularity optimization was applied for community detection. A higher level of cohesion between stream gauging stations was observed in the community detection method at the basin scale and the stream link scale within the basin than in the cluster analysis. This suggests that community detection is more effective than cluster analysis in terms of hydrologic similarity, persistence, and connectivity. As such, these findings could be applied to grouping methods for efficient operation and maintenance of stream gauging stations.Show less"
