,First author,Year,Title,Journal,Abstract
0,"Gubaidullin, AA",All-Russian Conference with the School for Young Scientists on Thermophysics and Physical Hydrodynamics (TPH),Acoustic streaming with heat exchange,,
1,"Raeymaekers, JAM",Aug 2008 ,Modeling genetic connectivity in sticklebacks as a guideline for river restoration,EVOLUTIONARY APPLICATIONS,"Estimating genetic connectivity in disturbed riverine landscapes is of key importance for river restoration. However, few species of the disturbed riverine fauna may provide a detailed and basin-wide picture of the human impact on the population genetics of riverine organisms. Here we used the most abundant native fish, the three-spined stickleback (Gasterosteus aculeatus L.), to detect the geographical determinants of genetic connectivity in the eastern part of the Scheldt basin in Belgium. Anthropogenic structures came out as the strongest determinant of population structure, when evaluated against a geographically well-documented baseline model accounting for natural effects. These barriers not only affected genetic diversity, but they also controlled the balance between gene flow and genetic drift, and therefore may crucially disrupt the population structure of sticklebacks. Landscape models explained a high percentage of variation (allelic richness: adjusted R(2) = 0.78; pairwise F(ST): adjusted R(2) = 0.60), and likely apply to other species as well. River restoration and conservation genetics may highly benefit from riverine landscape genetics, including model building, the detection of outlier populations, and a specific test for the geographical factors controlling the balance between gene flow and genetic drift.Show less"
2,"Hart, DR",Jul 1999 ,Relationships between hydraulic parameters in a small stream under varying flow and seasonal conditions,HYDROLOGICAL PROCESSES,"Twenty conservative tracer injections were carried, out in the same reach of a small woodland stream in order to determine how variation in discharge and leaf accumulation affect stream hydraulic parameters. The injections were made at various discharge rates ranging from 2.6 to 40 l/s. Five of the injections were made during late autumn, when there were large accumulations of leaves in the stream. Estimates of hydraulic parameters were made by fitting a transient storage solute transport model to conservative tracer concentration profiles. Velocity increased almost linearly with increasing discharge, indicating a decline in the Darcy friction factor. Dispersion also increased with increasing discharge, especially for the lower flow injections. The relative size of the storage zone was small (similar to 0.1). There was no definable relationship between discharge and the relative storage zone size, but the rates of exchange between the storage zone and the main channel increased markedly with increasing discharge. The presence of large accumulations of leaves had a clear effect on the hydraulic characteristics of the stream, producing much higher friction factors, larger storage zone sizes and lower velocity than would have been predicted by discharge alone. Copyright (C) 1999 John Wiley & Sons, Ltd.Show less"
3,"Poeppl, RE",Sep 2019 ,Combining Soil Erosion Modeling with Connectivity Analyses to Assess Lateral Fine Sediment Input into Agricultural Streams,WATER,"Soil erosion causes severe on- and off-site effects, including loss of organic matter, reductions in soil depth, sedimentation of reservoirs, eutrophication of water bodies, and clogging and smothering of spawning habitats. The involved sediment source-mobilization-delivery process is complex in space and time, depending on a multiplicity of factors that determine lateral sediment connectivity in catchment systems. Shortcomings of soil erosion models and connectivity approaches call for methodical improvement when it comes to assess lateral sediment connectivity in agricultural catchments. This study aims to (i) apply and evaluate different approaches, i.e., Index of Connectivity (IC), the Geospatial Interface for Water Erosion Prediction Project (GeoWEPP) soil erosion model, field mapping and (ii) test a connectivity-adapted version of GeoWEPP (i.e., ""GeoWEPP-C"") in the context of detecting hot-spots for soil erosion and lateral fine sediment entry points to the drainage network in a medium-sized (138 km(2)) agricultural catchment in Austria, further discussing their applicability in sediment management in agricultural catchments. The results revealed that (a) GeoWEPP is able to detect sub-catchments with high amount of soil erosion/sediment yield that represent manageable units in the context of soil erosion research and catchment management; (b) the combination of GeoWEPP modeling and field-based connectivity mapping is suitable for the delineation of lateral (i.e., field to stream) fine sediment connectivity hotspots; (c) the IC is a useful tool for a rapid Geographic Information System (GIS)-based assessment of structural connectivity. However, the IC showed significant limitations for agricultural catchments and functional aspects of connectivity; (d) the process-based GeoWEPP-C model can be seen as a methodical improvement when it comes to the assessment of lateral sediment connectivity in agricultural catchments.Show less"
4,"Wei, S",Aug 2022 ,A distributed domain model coupling open channel flow and groundwater flow to quantify the impact of lateral hydrologic exchange on hydrograph,JOURNAL OF HYDROLOGY,"Hydrologic exchange flows (HEFs) of river-aquifer systems are known to affect water flow, but the quantitative influences of lateral HEFs and the riparian zone's hydraulic conductivity (K) distribution on stream fluxes remain obscure under varying hydrologic conditions. To fill this knowledge gap, this study proposed a physical based, distributed domain, coupled (open channel and groundwater) flow model (DDCM) to quantify the effect of lateral HEFs on hydrograph characteristics, including especially the peak discharge and tailing decay which are practically important. Numerical experiments showed that (1) the interaction between the lateral HEFs and river hydrodynamics reduced the peak discharge and flood flow rates, (2) a heterogeneous K field of the riparian zone generated multi-rate HEFs (which then changed flow response) represented by the hydrographs with various declining rates (varying from exponential to power-law), significantly expanding the flow process, and (3) the probability density function of K also affected the tailing and peak of the hydrograph. A preliminary test showed that the DDCM captured the overall pattern of hydrographs observed from a catchment in the Wadi Ahin West, Oman. This study, therefore, provided a model-based quantification of the mechanisms and factors of the lateral HEFs affecting the hydrograph pattern in flood events, and further applications are needed to test the applicability of the DDCM in capturing real-world hydrographs affected by the lateral HEFs.Show less"
5,"Tian, NX",Dec 2022 ,"Evaluation and Optimization of Hydrological Connectivity Based on Graph Theory: A Case Study in Dongliao River Basin, China",WATER,"Hydrological connectivity affects the material cycling and energy transfer of ecosystems and is an important indicator for assessing the function of aquatic ecosystems. Therefore, clarification of hydrologic connectivity and its optimization methods is essential for basin water resources management and other problems; however, most of the current research is focused on intermittently flooded areas, especially in terms of optimization, and on hydrological regulation within mature water structures, while research on hydrological connectivity in dry, low rainfall plain areas remains scarce. Based on the graph and binary water cycle theories, this study assessed and hierarchically optimized the structural hydrological connectivity of the Dongliao River Basin (DRB), integrating artificial and natural connectivity, and explored the hydrological connectivity optimization method in the arid plain region at the basin scale to increase connectivity pathways. The spatial analysis and evaluation of hydrological connectivity was also carried out based on the results of the hierarchical optimization, and provided three scenarios for the construction of hydrological connectivity projects in the basin. The hierarchical optimization yielded a total of 230 new water connectivity paths, and the overall hydrological connectivity increased from 5.07 to 7.64. Our results suggest a large spatial correlation in hydrological flow obstruction in the DRB. The center of gravity of circulation obstruction shifted to the south after optimization for different levels of connectivity. With the increase in the optimization level of hydrological connectivity, the national Moran index rose and then fell. The magnitude of the increase in hydrological connectivity effects varied at different optimization levels, and there were sudden points' increase points. From an application point of view, Scenario 1 is necessary and the most cost effective is Scenario 2, which provides a scientific basis for guiding the construction of future ecological projects in the DRB.Show less"
6,"Shuai, P",Sep 2017 ,"Denitrification in the banks of fluctuating rivers: The effects of river stage amplitude, sediment hydraulic conductivity and dispersivity, and ambient groundwater flow",WATER RESOURCES RESEARCH,"Hyporheic exchange induced by periodic river fluctuations leads to important biogeochemical processes, particularly nitrogen cycling, in riparian zones (RZs) where chemically distinct surface water and groundwater mix. We developed a two-dimensional coupled flow, reactive transport model to study the role of bank storage induced by river fluctuations on removing river-borne nitrate. Sensitivity analyses were conducted to quantify the effects of river amplitude, sediment hydraulic conductivity and dispersivity, and ambient groundwater flow on nitrate removal rate. The simulations showed that nitrification occurred in the shallower zone adjacent to the bank where oxic river water and groundwater interacted while denitrification occurred deeper into the aquifer and in the riverbed sediments where oxygen was depleted. River fluctuations greatly increased the amount of nitrate being removed; the nitrate removal rate increased as river amplitude increased. Similarly, increasing hydraulic conductivity increased overall nitrate removal since it expanded the denitrifying zone but decreased efficiency. In contrast, increasing sediment dispersivity increased the removal efficiency of nitrate because it promoted mixing between electron acceptors and donors. The presence and direction of ambient groundwater flow had a significant impact on nitrate removal rate when compared to neutral conditions. A losing river showed a larger nitrate removal rate, whereas a gaining river showed a smaller nitrate removal rate. Our results demonstrated that daily river fluctuations created denitrification hot spots within the RZ that would not otherwise exist under naturally neutral or gaining conditions.Show less"
7,"Botter, G",Aug 2020 ,The Stream Length Duration Curve: A Tool for Characterizing the Time Variability of the Flowing Stream Length,WATER RESOURCES RESEARCH,"In spite of the importance of stream network dynamics for hydrology, ecology, and biogeochemistry, there is limited availability of analytical tools suitable for characterizing the temporal variability of the active fraction of river networks. To fill this gap, we introduce the concept of Stream Length Duration Curve (SLDC), the inverse of the exceedance probability of the total length of active streams. SLDCs summarize efficiently the effect of hydrological variability on the length of the flowing streams under a variety of settings. A set of stochastic network models is developed to link the features of the local hydrological status of the network nodes with the shape of the SLDC. We show that the mean network length is dictated by the mean persistency of the nodes, whereas the shape of the SLDC is driven by the spatial distribution of the local persistencies and their network-scale spatial correlation. Ten field surveys performed in 2018 were used to estimate the empirical SLDC of the Valfredda river (Italy), which was found to be steep and regular-indicating a pronounced sensitivity of the active stream length to the underlying hydrological conditions. Available observations also suggest that the activation of temporary reaches during network expansion is hierarchical, from the most to the least persistent stretches. Under these circumstances, the SLDC corresponds to the spatial Cumulative Distribution Function of the nodes persistencies. The study provides a sound theoretical basis for the analyses of network dynamics in temporary rivers.Show less"
8,"Saleh, F",Apr 11 2011 ,Modeling the impact of in-stream water level fluctuations on stream-aquifer interactions at the regional scale,JOURNAL OF HYDROLOGY,"The main objective of this study is to provide a realistic simulation of river stage in regional river networks in order to improve stream-aquifer interactions and better assess stream discharge and hydraulic head in aquifer units.The study focuses on the Oise basin (a 17,000 km(2) sub-basin of the Seine River basin, in Northern France). An upscaling method is proposed to benefit from high resolution hydraulic modeling at local scale to improve the simulation of river stages at regional scale. The methodology is based on simulation of the main rivers with a 1D Saint-Venant approach, from which functional stage-discharge relationships, are derived and projected onto each grid-cell of the regional model.At regional scale, the rating curves are used as boundary conditions and allow to calculate river stage, which is then used to calculate the exchanges between aquifer units and river. The approach is efficient to better simulate water pathways and stream-aquifer interactions at regional scale with low computing cost.The model was used to quantify stream to aquifer exchanges, that are in average 39 mm yr(-1) for aquifer to stream fluxes and 2 mm yr(-1) for stream to aquifer fluxes, mainly due to storage in aquifer units during storm events. (C) 2011 Elsevier B.V. All rights reserved.Show less"
9,"Sunjidmaa, N",Sep 1 2022 ,Carbon limitation may override fine-sediment induced alterations of hyporheic nitrogen and phosphorus dynamics,SCIENCE OF THE TOTAL ENVIRONMENT,
