,First author,Year,Title,Journal,Abstract
0,"Mugnai, R",Jul 3 2019 ,Morphological traits and vertical distribution of hyporheic chironomid larvae in Atlantic Forest streams,TROPICAL ZOOLOGY,"Hyporheic zone is an active ecotone constituted by the interstitial spaces between the particles of the riverbed. The use of morphological traits can be useful to detect organisms distribution patterns in these areas. Information concerning hyporheic communities are scarce as well on chironomid vertical distribution. Fauna samples from the hyporheic zone were collected at three depths and in four microhabitats. Eighteen genera were recorded and 13 morphological traits were identified. The results indicate that the distribution patterns of hyporheic chironomid taxa vary according to depth and microhabitat. Spatial preferences for riffles habitats are evident, and the vertical distribution is correlated with morphological traits like body size, pseudopods and mentum. Faunal abundance and richness decreased with depth and the vertical distribution influenced the chironomid morphological traits. We conclude that the use of morphological trait can introduce new useful information about the distribution of hyporheic fauna.Show less"
1,"Phelps, QE",Jan 2015 ,Temporary connectivity: the relative benefits of large river floodplain inundation in the lower Mississippi River,RESTORATION ECOLOGY,"Studies have demonstrated the importance of the synergistic relationship between large rivers and adjacent floodplain connectivity. The majority of large rivers and their associated floodplain have been isolated through a series of expansive levee systems. Thus, evaluations of the relative importance of floodplain connectivity are limited due to the aforementioned anthropogenic perturbations. However, persistent elevated river levels during spring 2011 at the confluence of the Mississippi River and Ohio River prompted the U.S. Army Corps of Engineers to create large gaps in the levee system producing an expansive floodplain (i.e. the New Madrid Floodway). Specifically, the New Madrid Floodway (approximately 475 km(2)) in southeast Missouri was created to divert part of the Mississippi River flow during catastrophic floods and thus alleviate flood risk on nearby population centers. Given the historic flooding of 2011, the floodway was opened and provided an unprecedented opportunity to evaluate the influence of floodplain inundation on fish species diversity, relative abundance, and growth. We sampled the floodplain and the adjacent river at three stratified random locations with replication biweekly from the commencement of inundation (late May) through early October. Overall, we found that species diversity, relative abundance, and growth were higher in the floodplain than the main river. Our data support previous examinations, including those outside North America, that suggest floodplain inundation may be important for riverine fishes. Given these apparent advantages of floodplain inundation, restoration efforts should balance benefits of floodplain inundation while safeguarding priority needs of humans.Show less"
2,"Jin, GQ",Jan 2021 ,The effect of density-driven flow on the transport of high-concentration solutes in the hyporheic zone,HYDROLOGICAL PROCESSES,"In this study, both laboratory experiments and numerical simulations were conducted to investigate the effect of density-driven flow on the transport of high-concentration pollutants in the hyporheic zone. The results show that the density gradient can change the flow of pore water and the strong density-driven flow can lead to an unstable flow, which increases the effect of preferential flow and thus causes the appearance of solute fingers in the hyporheic zone. Notably, these solute fingers become more obvious with the increase of depth. The appearance of solute fingers depends on the relative strength of the pumping exchange and density gradient, which are represented by the dimensionless number M* and N* respectively. Finger flows appear near the interface when M* is less than 0.5 N*. This study may contribute to better understanding the transport and destination of solutes and thus may provide some insights into the assessment on pollution incidents.Show less"
3,"Kim, C",Jan 1 2018 ,Semi-continuous capacitive deionization using multi-channel flow stream and ion exchange membranes,DESALINATION,"Capacitive deionization (CDI) is a promising desalination process, but conventional static electrode CDI operates by sequentially cycling through charging and discharging to produce fresh and concentrated water, respectively. However, an effective continuous operation is desirable for optimized system operation. Here, we report a semi continuous desalination process with a novel modified CDI cell architecture using a multi-channel flow stream and ion exchange membranes (MC-MCDI). This MC-MCDI consists of two channels including side and middle channels with a pair of cation and anion ion exchange membranes where the feed streams can be separately distributed without mixing. The MC-MCDI design allows semi-continuous production of clean water since the separated middle and side channels are alternately desalinated and regenerated: one channel is being desalinated while the other channel is regenerated. Therefore, the cell can produce clean water during both charging and discharging, enabling semi-continuous operation. In addition, with the benefit from similar cell configuration with membrane CDI, the MC-MCDI design exhibits a high salt adsorption capacity (SAC) of 22 +/- 2 mg/g and charge efficiency of 90 +/- 2% at middle and side channels during charging and discharging with reverse voltage operation (cell voltage of + 1.2 V vs.- 1.2 V).Show less"
4,"Marchi, L",Jun 10 2019 ,Channel control works and sediment connectivity in the European Alps,SCIENCE OF THE TOTAL ENVIRONMENT,"The need for reducing erosion and sediment transport. and protecting human settlements has urged the construction of channel control works in mountain streams. Such works include different structures, the check dams being probably the most widespread and archetypical. The performance of channel control works in mountain streams has usually been evaluated based on their effectiveness in stabilizing the channels and the adjacent hillslopes, and in retaining sediment. The widespread presence of channel control works in mountain streams of various regions, however, has also a significant impact on hillslope-channel coupling and on sediment transfer across the channel system. Taking into account the impact of channel control works on sediment connectivity at the catchment scale has remarkable importance for planning new control structures and managing the existing ones and, more in general, for sediment management in mountain catchments. In this paper, we consider the channel control works within the conceptual framework of sediment connectivity and related terminology, and we analyze the spatial and temporal scales of the interactions between channel control works and sediment coupling-decoupling. Some examples from the Italian Alps outline the impact of check dams and other hydraulic structures on sediment connectivity and show the potential of geomorphometry in assessing such impacts. The overall effect of control works on sediment connectivity consists of an alteration of the sediment cascade with a decrease in the efficiency of sediment transfer. Sediment is partly retained behind grade-control dams within the catchment or in sediment traps equipped with retention check dams near the alluvial fan apex. These works contribute to decouple the alluvial fans from the upslope catchment. On the contrary, channel bed lining on alluvial fans favors sediment transfer to the receiving river, but this effect usually involves small amounts of sediment not retained by the check dams built upstream. (C) 2019 Elsevier B.V. All rights reserved.Show less"
5,"Jiang, Y",3rd International Conference on Environmental Science and Information Application Technology (ESIAT),GIS Stream Network Analysis for Huaihe River Basin of China,,
6,"Xiao, HB",Jul 2022 ,Physical structure and rainfall controls on subsurface hydrological connectivity in hillslope-riparian-stream continuums,CATENA,"The hydrological connectivity of hillslope-riparian-stream (HRS) continuums is crucial for runoff generation and solute transport. The achievement of water resource protection and water quality improvement requires a systematic understanding of the structure and rainfall controls on HRS connectivity. Herein, two HRS continuums with different soil depths and slopes (HRS-1: thin soil depth and steep slope; HRS-2: thick soil depth and gentle slope) were established. We monitored the soil moisture from the surface to the soil-bedrock interface at 15 min intervals from March to June 2021. The HRS connectivity was analyzed based on soil saturation conditions, and partial least squares regression (PLSR) was used to reveal the relationships between rainfall and HRS connectivity. The results showed that the time required to establish hydrological connectivity in HRS-1 was shorter than that in HRS-2, which indicated that the contribution to runoff of the HRS continuum with a thin soil depth and steep slope was dominant during the early stage of rainstorm. As rainfall intensity increased, the required time was shortened exponentially due to the changes in hydrological connectivity patterns. In addition, the higher connectivity strength (i.e., the magnitude of HRS connectivity) was observed in the HRS-2 than that in the HRS-1 during heavy rainfall events. The PLSR analysis showed that rainfall amount, 30 min maximum rainfall intensity, 15 min maximum rainfall intensity, and rainfall duration were important controls affecting connectivity strength. Rainfall amount and peak rainfall intensity exerted more important effects than did antecedent soil moisture on the connectivity strength. Furthermore, there was a clear rainfall threshold for HRS connectivity, from 14.8 mm in HRS-1 to 21.1 mm in HRS-2. The increased soil depth and reduced slope enhanced the rainfall threshold of HRS connectivity. Our results indicate that the physical structure of the HRS continuum exerts a primary control on the rainfall threshold.Show less"
7,"Clyne, JB",Feb 2022 ,Groundwater-stream connectivity from minutes to months across United States basins as revealed by spectral analysis,HYDROLOGICAL PROCESSES,"Stream corridors are dynamic places where streams and aquifers are connected and interact to various degrees, depending on geology, climate, stream morphology, and water use. Water table fluctuations propagate through the unconfined aquifer and are linked with changes in solute export to streams and biogeochemical transformations in floodplain soils. Through publicly available USGS data, this study aims to better understand the behaviour of stream-groundwater connectivity and water table fluctuations by analysing continuous time series of water levels from 17 pairs of stream gauges and nearby (<100 m) groundwater monitoring wells. Sites are located within 8 of 18 major hydrologic units (HUC-2) across the contiguous United States and span a variety of stream sizes, climates, and land use practises. More than 50% of sites have a water table that remains within 3 m of the land surface year-round. Energy spectral densities and cross-wavelet transformations generally reveal strong coherence between the water table and stream stage over daily to monthly periods. The transfer function, which describes relative variations between the water table and stream stage, shows that 10 of 17 sites are more stream-dominated at daily and monthly frequencies, meaning that water level fluctuations are greater in the stream and propagate into the aquifer. Only 1 of 17 sites is more groundwater-dominated at daily and monthly frequencies, meaning that water level fluctuations are greater in the aquifer. This study shows the utility of frequency-domain analysis for revealing specific timescales of stream-aquifer interaction.Show less"
8,"Van Looy, K",Feb 10 2014 ,Integrated modelling of functional and structural connectivity of river corridors for European otter recovery,ECOLOGICAL MODELLING,"Connectivity may be structural, based on adjacency of landscape features, or functional, based on how that adjacency translates to movement of organisms. We present a modelling approach that elucidates both aspects of connectivity to identify vital corridors and conservation priorities in a river network. For the dendritic network structure of river systems, at first a graph theoretic structure is developed to model the river network at the segment scale. To derive functional connectivity, a Bayesian hierarchical modelling of species dispersal is applied to infer the influence of riparian corridor characteristics to the species colonization.The integration of the functional and structural component is realized with a graph-theoretic connectivity measure. With this approach, the European otter colonization of the Loire river basin over 25 years is modelled on the basis of large datasets on riparian corridor land use and hydromorphological characteristics of a 17,000 km river network. Channel straightening and riparian forest fragmentation are determined to be key elements to the functional connectivity. Road infrastructure is distinguished as a critical habitat factor, but not so much an obstacle for the species movement in the riparian corridor. Integration of the Bayesian model posterior colonization probability in the integrated connectivity analysis reveals the importance of the river network density to the otter colonization and locates conservation priorities mainly in the lower parts of the river basin.Synthesis and applications: Both functional and structural connectivity are essential elements in the contexts of ecological network identification for species conservation and recovery. We successfully developed an integrated modelling of both components of connectivity that highlighted the importance of the downstream basin for a well-connected ecological network for the otter. (C) 2013 Elsevier B.V. All rights reserved.Show less"
9,"Triska, FJ",Feb 2007 ,DIN retention-transport through four hydrologically connected zones in a headwater catchment of the Upper Mississippi River,JOURNAL OF THE AMERICAN WATER RESOURCES ASSOCIATION,"Dissolved inorganic nitrogen (DIN) retention-transport through a headwater catchment was synthesized from studies encompassing four distinct hydrologic zones of the Shingobee River Headwaters near the origin of the Mississippi River. The hydrologic zones included: (1) hillslope ground water (ridge to bankside riparian); (2) alluvial riparian ground water; (3) ground water discharged through subchannel sediments (hyporheic zone); and (4) channel surface water. During subsurface hillslope transport through Zone 1, DIN, primarily nitrate, decreased from similar to 3 mg-N/l to < 0.1 mg-N/l. Ambient seasonal nitrate:chloride ratios in hillslope flow paths indicated both dilution and biotic processing caused nitrate loss. Biologically available organic carbon controlled biotic nitrate retention during hillslope transport. In the alluvial riparian zone (Zone 2) biologically available organic carbon controlled nitrate depletion although processing of both ambient and amended nitrate was faster during the summer than winter. In the hyporheic zone (Zone 3) and stream surface water (Zone 4) DIN retention was primarily controlled by temperature. Perfusion core studies using hyporheic sediment indicated sufficient organic carbon in bed sediments to retain ground water DIN via coupled nitrification-denitrification. Numerical simulations of seasonal hyporheic sediment nitrification-denitrification rates from perfusion cores adequately predicted surface water ammonium but not nitrate when compared to 5 years of monthly field data (1989-93). Mass balance studies in stream surface water indicated proportionally higher summer than winter N retention. Watershed DIN retention was effective during summer under the current land use of intermittently grazed pasture. However, more intensive land use such as row crop agriculture would decrease nitrate retention efficiency and increase loads to surface water. Understanding DIN retention capacity throughout the system, including special channel features such as sloughs, wetlands and floodplains that provide surface water-ground water connectivity, will be required to develop effective nitrate management strategies.Show less"
