,First author,Year,Title,Journal,Abstract,wos_link,fulltext_link
0,"Chabela, LP",Aug 2019 ,"Relationship between Peak Stage, Storm Duration, and Bank Storage along a Meandering Stream",WATER,"Groundwater and surface water are often studied as different systems; however, one commonly affects the other. Bank storage, the temporary storage and release of stream water in adjacent aquifers, can contribute a considerable amount of discharge to a river and can be a component in the transport and fate of a contaminant. Studies document the effects of increasing stage and increasing storm duration; however, these controls are often investigated separately. This project examined which factor, peak stage or storm duration, was more influential on the bank-storage process. The study focused on a small reach of a third-order, meandering, perennial stream. A 3-D, transient-state numerical model (MODFLOW) was created of the study site, and 36 simulations were run at various peak stages and storm durations. Peak stage and storm durations, while both influential, affected different areas of the bank-storage process. Peak stage was statistically more influential in controlling the maximum volume of bank storage (3.6x) and the volume of the storage that remained in the system at 100 h (1.1x). Longer storm duration generated a slower return of water, thus increasing the retention of bank storage. Parafluvial exchange was an important factor in bank storage along a meandering stream, suggesting that at least 2-D, ideally 3-D, models need to be employed in evaluating bank storage.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000484561500161,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B1688%26rft.atitle%3DRelationship%2Bbetween%2BPeak%2BStage%252C%2BStorm%2BDuration%252C%2Band%2BBank%2BStorage%2Balong%2Ba%2BMeandering%2BStream%26rft.aufirst%3DLucas%2BP.%26rft.auinit%3DLP%26rft.aulast%3DChabela%26rft.date%3D2019%26rft_id%3Dinfo%3Adoi%2F10.3390%252Fw11081688%26rft.eissn%3D2073-4441%26rft.genre%3Darticle%26rft.issue%3D8%26rft.jtitle%3DWATER%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DWATER-SUI%26rft.volume%3D11%26rft.au%3DChabela%252C%2BLP%26rft.au%3DPeterson%252C%2BEW&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=WATER&SrcPubType=MD_FORMAT
1,"Kelleher, C",Feb 28 2012 ,Investigating controls on the thermal sensitivity of Pennsylvania streams,HYDROLOGICAL PROCESSES,"Stream temperature, an important measure of ecosystem health, is expected to be altered by future changes in climate and land use, potentially leading to shifts in habitat distribution for aquatic organisms dependent on particular temperature regimes. To assess the sensitivity of stream temperature to change in a region where such a shift has the potential to occur, we examine the variability of and controls on the direct relationship between air and water temperature across the state of Pennsylvania. We characterized the relationship between air and stream temperature via linear and nonlinear regression for 57 sites across Pennsylvania at daily and weekly timescales. Model fit (r2) improved for 92% (daily) and 65% (weekly) of sites for nonlinear versus linear relationships. Fit for weekly versus daily regression analysis improved by 0.08 for linear and 0.06 for nonlinear regression relationships. To investigate the mechanisms controlling stream temperature sensitivity to environmental change, we define thermal sensitivity as the sensitivity of stream temperature of a given site to change in air temperature, quantified as the slope of the regression line between air and stream temperature. Air temperature accounted for 6095% of the daily variation in stream temperature for sites at or above a Strahler stream order (SO) of 3, with thermal sensitivities ranging from low (0.02) to high (0.93). The sensitivity of stream temperature to air temperature is primarily controlled by stream size (SO) and baseflow contribution. Together, SO and baseflow index explained 43% of the variance in thermal sensitivity across the state, and 59% within the Susquehanna River Basin. In small streams, baseflow contribution was the major determinant of thermal sensitivity, with increasing baseflow contributions resulting in decreasing sensitivity values. In large streams, thermal sensitivity increased with stream size, as a function of accumulated heat throughout the stream network. Copyright (c) 2011 John Wiley & Sons, Ltd.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000300698100013,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DInvestigating%2Bcontrols%2Bon%2Bthe%2Bthermal%2Bsensitivity%2Bof%2BPennsylvania%2Bstreams%26rft.aufirst%3DC.%26rft.auinit%3DC%26rft.aulast%3DKelleher%26rft.date%3D2012%26rft_id%3Dinfo%3Adoi%2F10.1002%252Fhyp.8186%26rft.eissn%3D1099-1085%26rft.epage%3D785%26rft.genre%3Darticle%26rft.issn%3D0885-6087%26rft.issue%3D5%26rft.jtitle%3DHYDROLOGICAL%2BPROCESSES%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D771-785%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D771%26rft.stitle%3DHYDROL%2BPROCESS%26rft.volume%3D26%26rft.au%3DKelleher%252C%2BC%26rft.au%3DWagener%252C%2BT%26rft.au%3DMarshall%252C%2BL&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=HYDROLOGICAL+PROCESSES&SrcPubType=MD_FORMAT
2,"Hoellein, TJ",Nov 2012 ,EFFECTS OF BENTHIC HABITAT RESTORATION ON NUTRIENT UPTAKE AND ECOSYSTEM METABOLISM IN THREE HEADWATER STREAMS,RIVER RESEARCH AND APPLICATIONS,"The assemblage of stream habitat types can drive biofilm composition and activity in headwater streams, thereby influencing rates of ecosystem function. However, the influence of human-induced alterations to the distribution of benthic habitat such as construction, land-use changes and restoration on biofilm-mediated processes has not been well studied. We measured nutrient uptake of ammonium, nitrate and phosphate, as well as gross primary production and community respiration in three streams in Michigan, USA, each with an upstream reference and a downstream restored reach. The restoration included a 10-m sediment trap, paired with 4060?m of gravel and boulder added downstream and designed to retain sediment, stabilize banks and provide spawning habitat for trout. We sampled four times in the six stream reaches from May 2006 to September 2007. Across streams, restored reaches reflected the structural manipulation with increased predominance of coarse inorganic sediments, higher gas exchange rate and increased transient storage. However, nutrient uptake and community respiration rates were different between reaches at only one site. The ecosystem response by this stream was driven by the large differences in coarse inorganic habitat between reference and restored reaches. We conclude that restorations of benthic habitat which are visually conspicuous, such as creation of settling pools and gravel-filled reaches, did not universally affect stream ecosystem function. Initial conditions and magnitude of change may be key factors to consider in explaining functional responses, and predicting the influence of habitat restoration on ecosystem function remains a challenge. Copyright (C) 2011 John Wiley & Sons, Ltd.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000310162200010,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DEFFECTS%2BOF%2BBENTHIC%2BHABITAT%2BRESTORATION%2BON%2BNUTRIENT%2BUPTAKE%2BAND%2BECOSYSTEM%2BMETABOLISM%2BIN%2BTHREE%2BHEADWATER%2BSTREAMS%26rft.aufirst%3DT.%2BJ.%26rft.auinit%3DTJ%26rft.aulast%3DHoellein%26rft.date%3D2012%26rft_id%3Dinfo%3Adoi%2F10.1002%252Frra.1547%26rft.epage%3D1461%26rft.genre%3Darticle%26rft.issn%3D1535-1459%26rft.issue%3D9%26rft.jtitle%3DRIVER%2BRESEARCH%2BAND%2BAPPLICATIONS%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D1451-1461%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D1451%26rft.stitle%3DRIVER%2BRES%2BAPPL%26rft.volume%3D28%26rft.au%3DHoellein%252C%2BTJ%26rft.au%3DTank%252C%2BJL%26rft.au%3DLamberti%252C%2BGA&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=RIVER+RESEARCH+AND+APPLICATIONS&SrcPubType=MD_FORMAT
3,"Kim, H",Jun 2014 ,Factors Controlling Sediment Denitrification Rates in Grassland and Forest Streams,TERRESTRIAL ATMOSPHERIC AND OCEANIC SCIENCES,"Sediment denitrification is an important nitrate (NO3-) removal process from agricultural streams. The direct and indirect factors that control denitrification rates in tributary sediments can vary depending on the types of agricultural activities and vegetation. Our research investigated (1) tributary sediment denitrification rates in a grassland stream affected by pasture ecosystems and a forest stream affected by N fertilization; and (2) the environmental factors that determine denitrification rates in tributary sediments. The denitrification enzyme activity (DEA) in grassland stream sediments is positively correlated with precipitation likely due to the increased nutrient exchange rates between stream water and sediments, and was higher than in forest stream sediments, leading to a decrease in NO3- concentration ([NO3-]) in stream sediments. The DEA in riparian sediments was regulated by carbon concentrations and did not contribute to NO3- removal from the riparian sediment in grassland and forest streams. Thus, environmental factors affected by different types of agricultural activities and vegetation might regulate denitrification rates and [NO3-] in agricultural stream ecosystems.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000336884000011,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DFactors%2BControlling%2BSediment%2BDenitrification%2BRates%2Bin%2BGrassland%2Band%2BForest%2BStreams%26rft.aufirst%3DHaryun%26rft.auinit%3DH%26rft.aulast%3DKim%26rft.date%3D2014%26rft_id%3Dinfo%3Adoi%2F10.3319%252FTAO.2014.01.09.01%2528Hy%2529%26rft.epage%3D470%26rft.genre%3Darticle%26rft.issn%3D1017-0839%26rft.issue%3D3%26rft.jtitle%3DTERRESTRIAL%2BATMOSPHERIC%2BAND%2BOCEANIC%2BSCIENCES%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D463-470%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D463%26rft.stitle%3DTERR%2BATMOS%2BOCEAN%2BSCI%26rft.volume%3D25&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=TERRESTRIAL+ATMOSPHERIC+AND+OCEANIC+SCIENCES&SrcPubType=MD_FORMAT
4,"Roh, P",May 2019 ,"Information stream mapping: Mapping, analysing and improving the efficiency of information streams in manufacturing value streams",CIRP JOURNAL OF MANUFACTURING SCIENCE AND TECHNOLOGY,"Inaccurate, incomplete and late information limits the capability and efficiency of production systems. In this paper, a structured approach is proposed for analysing and improving information streams to mitigate this problem. The improvement of information streams is especially demanding as production environments increase in complexity, for example due to higher product variety, more complex products, and accordingly, more sophisticated manufacturing processes. A novel method is introduced that enables an analysis similar to value stream mapping, but particularly for information streams in a production environment. The proposed approach improves information streams by mapping and analysing the characteristics of them. Therefore, five performance indicators are developed to comparably assess the current state of information streams. The approach was tested and validated on a shop floor of a producer of sanitary products. The validation shows that the proposed information stream mapping method could efficiently highlight improvement potentials of information streams on the shop floor and thus the ability of the method to improve the overall productivity. In a first application it is shown that the taken measures are expected to reduce the lead time from five days to four hours. In a second application, the personal cost of a tool exchange is reduced by 8%. (C) 2019 CIRP.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000472055600001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DInformation%2Bstream%2Bmapping%253A%2BMapping%252C%2Banalysing%2Band%2Bimproving%2Bthe%2Befficiency%2Bof%2Binformation%2Bstreams%2Bin%2Bmanufacturing%2Bvalue%2Bstreams%26rft.aufirst%3DPhilip%26rft.auinit%3DP%26rft.aulast%3DRoh%26rft.date%3D2019%26rft_id%3Dinfo%3Adoi%2F10.1016%252Fj.cirpj.2019.04.004%26rft.epage%3D13%26rft.genre%3Darticle%26rft.issn%3D1755-5817%26rft.jtitle%3DCIRP%2BJOURNAL%2BOF%2BMANUFACTURING%2BSCIENCE%2BAND%2BTECHNOLOGY%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D1-13%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D1%26rft.stitle%3DCIRP%2BJ%2BMANUF%2BSCI%2BTEC%26rft.volume%3D25%26rft.au%3DRoh%252C%2BP%26rft.au%3DKunz%252C%2BA%26rft.au%3DWegener%252C%2BK&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=CIRP+JOURNAL+OF+MANUFACTURING+SCIENCE+AND+TECHNOLOGY&SrcPubType=MD_FORMAT
5,"Daye, M",Oct 2013 ,Preconcentration of Total Mercury from River Water by Anion Exchange Mechanism,ANALYTICAL SCIENCES,"A simple and cheap analytical technique was developed for the measurement of total mercury in river water samples using inductively coupled plasma-mass spectrometry (ICP-MS). It is based on the direct complexation of mercury ions using iodide and a cationic surfactant in water for its subsequent solid-phase extraction. Mercury ions are retained on the silica phase as ion pairs in the presence of iodide ions and dodecyltrimethylammonium bromide. Parameters having influential influence on the retention of Hg(II) were investigated: sample flowrate, eluent type, sample volume, iodide and surfactant concentrations. The retained mercury ions are stripped off from silica phase using 10 mL of 8 mol L-1 HNO3 and quantified by ICP-MS. An enrichment factor of 50 was achieved with a maximum adsorption capacity of 718 mu g Hg(II) g(-1). The limit of detection of Hg(II) was 8 pg mL(-1). The developed method was applied for the determination of total mercury in river and tap-water samples.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000326258800004,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DPreconcentration%2Bof%2BTotal%2BMercury%2Bfrom%2BRiver%2BWater%2Bby%2BAnion%2BExchange%2BMechanism%26rft.aufirst%3DMirna%26rft.auinit%3DM%26rft.aulast%3DDaye%26rft.date%3D2013%26rft_id%3Dinfo%3Adoi%2F10.2116%252Fanalsci.29.955%26rft.eissn%3D1348-2246%26rft.epage%3D961%26rft.genre%3Darticle%26rft.issn%3D0910-6340%26rft.issue%3D10%26rft.jtitle%3DANALYTICAL%2BSCIENCES%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D955-961%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D955%26rft.stitle%3DANAL%2BSCI%26rft.volume%3D29%26rft.au%3DDaye%252C%2BM%26rft.au%3DOuddane%252C%2BB%26rft.au%3DHamze%252C%2BM&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=ANALYTICAL+SCIENCES&SrcPubType=MD_FORMAT
6,"Ngo, H",Feb 2023 ,Reconstruction of the 1374 Rhine river flood event around Cologne region using 1D-2D coupled hydraulic modelling approach,JOURNAL OF HYDROLOGY,"Reconstructions of the most severe historic flood events contribute to improved quantification of design dis-charges corresponding to large return periods. Reducing the uncertainty of design discharges has a great sig-nificance in constructing proper flood defences to protect the hinterland from future flooding. However, reconstructions of the peak discharges of such historic flood events are generally associated with large un-certainties, which arise from the accuracy of the historic topography, hydraulic roughness of the river channels and floodplains, and the historic hydrograph shape. This study sets up a one dimensional-two dimensional (1D-2D) coupled hydraulic model, stretching from the upstream of Bonn at Remagen to downstream of Dusseldorf, Germany, with the length of 113 km to reconstruct the maximum discharge of the 1374 flood event (Qmax,1374), which is considered to be the largest flood of the last millennium in the Lower Rhine catchment. An uncertainty analysis was performed by adopting different river bed levels and roughness values in order to estimate the influence of these uncertainties on the reconstructed peak discharge. The upstream discharge wave was varied corresponding to a wide range of peak discharges from 12,000 to 24,000 m3/s. The resulting Qmax,1374 was determined of between 14,400 and 18,500 m3/s, were then used in a flood frequency analysis to determine the design discharges corresponding to different return periods. Compared to the design discharge computed with previous estimations of the 1374 peak discharge, we found a significant reduction of 2,000 m3/s in the design discharge corresponding to a 100,000 year return period, which is the maximum safety standard adopted in the Dutch water policy for some downstream dike sections.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000915585800001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B129039%26rft.atitle%3DReconstruction%2Bof%2Bthe%2B1374%2BRhine%2Briver%2Bflood%2Bevent%2Baround%2BCologne%2Bregion%2Busing%2B1D-2D%2Bcoupled%2Bhydraulic%2Bmodelling%2Bapproach%26rft.aufirst%3DHieu%26rft.auinit%3DH%26rft.aulast%3DNgo%26rft.date%3D2023%26rft_id%3Dinfo%3Adoi%2F10.1016%252Fj.jhydrol.2022.129039%26rft.eissn%3D1879-2707%26rft.genre%3Darticle%26rft.issn%3D0022-1694%26rft.jtitle%3DJOURNAL%2BOF%2BHYDROLOGY%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.part%3DC%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DJ%2BHYDROL%26rft.volume%3D617%26rft.au%3DNgo%252C%2BH%26rft.au%3DBomers%252C%2BA%26rft.au%3DHerget%252C%2BJ&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=JOURNAL+OF+HYDROLOGY&SrcPubType=MD_FORMAT
7,"Wang, YC",Dec 2018 ,Geocode-Based Aquatic Habitats in Hierarchical System of the Yellow River Basin,JOURNAL OF ENVIRONMENTAL INFORMATICS,"Riverine systems are primary habitats for aquatic species. Great efforts have been made to understand interaction between aquatic organism and various environmental factors in specific reaches of a river, yet little was known about how to identify habitats in river networks. In this paper, a comprehensive approach was proposed for identification of aquatic habitats in hierarchical river systems in terms of integrated geocodes synthesized through over-layer of multiple factors such as geologic periods, climatic conditions, water sources, geomorphic characteristics and river patterns. Using this approach in the Yellow River Basin over an area of 758,600 km(2), six groups of aquatic habitats were classified by clustering of 85 geocodes, and 313 sub-habitats were further identified by considering both surface composition (e.g., lithological features and soil texture) and topographic property (e.g., elevation and slope) in the loess geomorphic regions. Consequently, the contribution of the headwater streams to diversity of aquatic habitats among rivers and mid-sized rivers to the diversity within a river has been revealed by coupling of the geocode-based habitats and the river networks. The present study is of significance to efficient capture of habitat diversity and better understanding of biodiversity in rivers of different stream orders.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000453588200002,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DGeocode-Based%2BAquatic%2BHabitats%2Bin%2BHierarchical%2BSystem%2Bof%2Bthe%2BYellow%2BRiver%2BBasin%26rft.aufirst%3DY.%2BC.%26rft.auinit%3DYC%26rft.aulast%3DWang%26rft.date%3D2018%26rft_id%3Dinfo%3Adoi%2F10.3808%252Fjei.201800386%26rft.eissn%3D1684-8799%26rft.epage%3D81%26rft.genre%3Darticle%26rft.issn%3D1726-2135%26rft.issue%3D2%26rft.jtitle%3DJOURNAL%2BOF%2BENVIRONMENTAL%2BINFORMATICS%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D69-81%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D69%26rft.stitle%3DJ%2BENVIRON%2BINFORM%26rft.volume%3D32%26rft.au%3DWang%252C%2BYC%26rft.au%3DGao%252C%2BXW%26rft.au%3DNi%252C%2BJR&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=JOURNAL+OF+ENVIRONMENTAL+INFORMATICS&SrcPubType=MD_FORMAT
8,"Zaramella, M",Jul 2016 ,Assessment of transient storage exchange and advection-dispersion mechanisms from concentration signatures along breakthrough curves,JOURNAL OF HYDROLOGY,"Solute transport in rivers is controlled by surface flow hydrodynamics and by transient storage in dead zones, pockets of vegetation and hyporheic sediments where mass exchange and retention are governed by complex mechanisms. The physics of these processes are generally investigated by optimization of transient storage models (TSMs) to experimental data often yielding inconsistent and equifinal parameter sets. Uncertainty on parameters estimation is found to depend not only on the rates of exchange between the stream and storage zones, the stream-water velocity and the stream reach length according to the experimental Damkohler number (DaI), but also on the relative significance between transient storage and longitudinal dispersion on breakthrough curves (BTCs). An optimization strategy was developed and applied to an experimental dataset obtained from tracer tests in a small lowland river, analyzing BTCs generated through tracer injections under different conditions. The method supplies a tool to estimate model parameters from observed data through the analysis of the relative parameter significance. To analyze model performance a double compartment TSM was optimized by a regular fit procedure based on simple root mean square error minimization and by a fit based on a relative significance analysis of mechanism signatures. As a result consistent longitudinal dispersion and transient storage parameters were obtained when the signature targeted optimization was used. (C) 2016 Elsevier B.V. All rights reserved.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000378360600063,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DAssessment%2Bof%2Btransient%2Bstorage%2Bexchange%2Band%2Badvection-dispersion%2Bmechanisms%2Bfrom%2Bconcentration%2Bsignatures%2Balong%2Bbreakthrough%2Bcurves%26rft.aufirst%3DM.%26rft.auinit%3DM%26rft.aulast%3DZaramella%26rft.date%3D2016%26rft_id%3Dinfo%3Adoi%2F10.1016%252Fj.jhydrol.2016.05.004%26rft.eissn%3D1879-2707%26rft.epage%3D801%26rft.genre%3Darticle%26rft.issn%3D0022-1694%26rft.jtitle%3DJOURNAL%2BOF%2BHYDROLOGY%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D794-801%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D794%26rft.stitle%3DJ%2BHYDROL%26rft.volume%3D538%26rft.au%3DZaramella%252C%2BM%26rft.au%3DMarion%252C%2BA%26rft.au%3DNutzmann%252C%2BG&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=JOURNAL+OF+HYDROLOGY&SrcPubType=MD_FORMAT
9,"Wang, YT",Jul 2017 ,Salinity Variability and Water Exchange in Interconnected Estuaries,ESTUARIES AND COASTS,"A high-resolution coastal ocean model is used to investigate salinity variability and water exchange in a complex coastal system off the southern U.S. characterized by three adjacent sounds that are interconnected by a network of channels, creeks, and intertidal areas. Model results are generally highly correlated with observations from the Georgia Coastal Ecosystem Long Term Ecological Research (GCE-LTER) program, revealing a high degree of salinity variability at the Altamaha River and Doboy Sound, decreasing sharply toward Sapelo Sound. A Lagrangian particle tracking method is used to investigate local residence time and connectivity in the system. Local residence time is highly variable, increasing with distance from the Altamaha River and decreasing with river flow, revealing that discharge plays a dominant role on transport processes and estuary-shelf exchange. The Altamaha River and Doboy Sound are connected to each other in all seasons, with exchange occurring both via coastal and estuarine pathways. While particles released at the Altamaha and Doboy rarely reach Sapelo Sound, particles released at Sapelo Sound and the creeks surrounding its main channel can reach the entire estuarine system.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000402100700001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DSalinity%2BVariability%2Band%2BWater%2BExchange%2Bin%2BInterconnected%2BEstuaries%26rft.aufirst%3DYuntao%26rft.auinit%3DYT%26rft.aulast%3DWang%26rft.date%3D2017%26rft_id%3Dinfo%3Adoi%2F10.1007%252Fs12237-016-0195-9%26rft.eissn%3D1559-2731%26rft.epage%3D929%26rft.genre%3Darticle%26rft.issn%3D1559-2723%26rft.issue%3D4%26rft.jtitle%3DESTUARIES%2BAND%2BCOASTS%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D917-929%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D917%26rft.stitle%3DESTUAR%2BCOAST%26rft.volume%3D40%26rft.au%3DWang%252C%2BYT%26rft.au%3DCastelao%252C%2BRM%26rft.au%3DDi%2BIorio%252C%2BD&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0F39CQkoq36ezeoq0VhJwFH&SrcJTitle=ESTUARIES+AND+COASTS&SrcPubType=MD_FORMAT
