,First author,Year,Title,Journal,Abstract,wos_link,fulltext_link
0,"Silveri, L",Dec 11 2008 ,Feeding habits of Perlodidae (Plecoptera) in the hyporheic habitats of Alpine streams (Trentino-NE Italy),ENTOMOLOGICA FENNICA,"Toltal of 75 nymphs of Dictyogenus fontium, Perlodes intricatus and Isoperla (cf) rivulorum and 22 juvemle Perlodinae were collected in hyporheic habitats of the Noce Bianco watershed (Trentino, NE Italy). The identification of their life stages allowed considerations regarding their presence in the hyporheos, mainly used as a refuge habitat, particularly during vulnerable phases of their life cycle (neanid stage and pre-imaginal phase). This function is possible, given the more stable environmental conditions and the minor predatory pressures in this habitat. The gut content analyses of the three species assigned them to the engulfers-carnivorous functional feeding group, with slight resource partitions between the two largest species. P intricatus appears to feed on less mobile and fleshy preys while D. fontium prefers more sclerotized and active preys. The results indicate that the hyporheos acts not only as a refuge area but also as a trophic habitat for some Perlodidae species.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000262081300006,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DFeeding%2Bhabits%2Bof%2BPerlodidae%2B%2528Plecoptera%2529%2Bin%2Bthe%2Bhyporheic%2Bhabitats%2Bof%2BAlpine%2Bstreams%2B%2528Trentino-NE%2BItaly%2529%26rft.aufirst%3DLuana%26rft.auinit%3DL%26rft.aulast%3DSilveri%26rft.date%3D2008%26rft_id%3Dinfo%3Adoi%2F10.33338%252Fef.84433%26rft.epage%3D183%26rft.genre%3Darticle%26rft.issn%3D0785-8760%26rft.issue%3D3%26rft.jtitle%3DENTOMOLOGICA%2BFENNICA%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D176-183%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D176%26rft.stitle%3DENTOMOL%2BFENNICA%26rft.volume%3D19%26rft.au%3DSilveri%252C%2BL%26rft.au%3Dde%2BFigueroa%252C%2BJMT%26rft.au%3DMaiolini%252C%2BB&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=ENTOMOLOGICA+FENNICA&SrcPubType=MD_FORMAT
1,"Brosten, TR",Oct-dec 2006 ,Profiles of temporal thaw depths beneath two arctic stream types using ground-penetrating radar,PERMAFROST AND PERIGLACIAL PROCESSES,"Thaw depths beneath arctic streams may have significant impact on the seasonal development of hyporheic zone hydraulics. To investigate thaw progression over the 2004 summer season we acquired a series of ground-penetrating radar (GPR) profiles at five sites from May-September, using 100, 200 and 400 MHz antennas. We selected sites with the objective of including stream reaches that span a range of geomorphologic conditions on Alaska's North Slope. Thaw depths interpreted from GPR data were constrained by both recorded subsurface temperature profiles and by pressing a metal probe through the active layer to the point of refusal. We found that low-energy stream environments react much more slowly to seasonal solar input and maintain thaw thicknesses longer throughout the late season whereas thaw depths increase rapidly within high-energy streams at the beginning of the season and decrease over the late season period. Copyright (C) 2006 John Wiley & Sons, Ltd.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000243043200005,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DProfiles%2Bof%2Btemporal%2Bthaw%2Bdepths%2Bbeneath%2Btwo%2Barctic%2Bstream%2Btypes%2Busing%2Bground-penetrating%2Bradar%26rft.aufirst%3DTroy%2BR.%26rft.auinit%3DTR%26rft.aulast%3DBrosten%26rft.date%3D2006%26rft_id%3Dinfo%3Adoi%2F10.1002%252Fppp.566%26rft.eissn%3D1099-1530%26rft.epage%3D355%26rft.genre%3Darticle%26rft.issn%3D1045-6740%26rft.issue%3D4%26rft.jtitle%3DPERMAFROST%2BAND%2BPERIGLACIAL%2BPROCESSES%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D341-355%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D341%26rft.stitle%3DPERMAFROST%2BPERIGLAC%26rft.volume%3D17%26rft.au%3DBrosten%252C%2BTR%26rft.au%3DBradford%252C%2BJH%26rft.au%3DBowden%252C%2BWB&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=PERMAFROST+AND+PERIGLACIAL+PROCESSES&SrcPubType=MD_FORMAT
2,"Rosenberry, DO",Jul 15 2009 ,Effects of sediment transport and seepage direction on hydraulic properties at the sediment-water interface of hyporheic settings,JOURNAL OF HYDROLOGY,"Relations between seepage flux and hydraulic properties are difficult to quantify in fluvial settings because of the difficulty in measuring these variables in situ. Tests conducted in a 1.5-m diameter by 1.5-m tall sediment-filled tank indicate that hydraulic gradient increased and hydraulic conductivity (K) decreased following the onset of downward seepage but both parameters were little changed following the onset of upward seepage. Reductions in K during downward seepage were more pronounced when surface-water current was sufficient to mobilize sediment on the bed. Averaged ratios of K determined during upward seepage to K determined during downward seepage (K-up/K-down) through a sand-and-gravel bed increased from 1.4 to 1.7 with increasing surface-water velocity, and decreased to slightly greater than I when the sediment bed became fully mobile. K-up/K-down for tests conducted with a silt veneer on the bed surface was greater than 2 for all but the fastest surface-water velocities. Substantial reductions in K also were associated with a silt floc that formed on the bed surface during and following test runs. Although the silt floc was typically less than 0.5 mm in thickness, most of the hydraulic gradient was distributed across this thin layer. K of the thin silt floc was reduced by two to three orders of magnitude relative to the underlying sediment. Directional bias in K and relation between K and surface-water velocity require the presence or absence of a layer of lower-K sediment at or near the bed surface, without which no reduction in K and corresponding increase in hydraulic gradient can occur at the bed surface. The lack of prior observation of the consistent bias in K associated with seepage direction is somewhat surprising given the numerous studies where K has been measured in fluvial settings, but may be explained by the small value of the bias relative to the typical uncertainty associated with field determinations of K. If shown to exist in field settings. this bias and its relation to fluvial processes will be relevant to many studies conducted in hyporheic settings that require determination of fluxes across the sediment-water interface. Published by Elsevier B.V.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000268406400009,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DEffects%2Bof%2Bsediment%2Btransport%2Band%2Bseepage%2Bdirection%2Bon%2Bhydraulic%2Bproperties%2Bat%2Bthe%2Bsediment-water%2Binterface%2Bof%2Bhyporheic%2Bsettings%26rft.aufirst%3DDonald%2BO.%26rft.auinit%3DDO%26rft.aulast%3DRosenberry%26rft.date%3D2009%26rft_id%3Dinfo%3Adoi%2F10.1016%252Fj.jhydrol.2009.04.030%26rft.eissn%3D1879-2707%26rft.epage%3D391%26rft.genre%3Darticle%26rft.issn%3D0022-1694%26rft.issue%3D3-4%26rft.jtitle%3DJOURNAL%2BOF%2BHYDROLOGY%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D377-391%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D377%26rft.stitle%3DJ%2BHYDROL%26rft.volume%3D373%26rft.au%3DRosenberry%252C%2BDO%26rft.au%3DPitlick%252C%2BJ&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=JOURNAL+OF+HYDROLOGY&SrcPubType=MD_FORMAT
3,"Piper, LR",Jan 2017 ,Colimitation and the coupling of N and P uptake kinetics in oligotrophic mountain streams,BIOGEOCHEMISTRY,"Ecosystem element cycles can be tightly linked by both abiotic and biotic processes. Evidence for multi-element limitation (i.e., colimitation) of a variety of ecosystem processes is growing rapidly, yet our ability to quantify patterns of coupled nutrient dynamics at the ecosystem level has been hindered by logistical and methodological constraints. Here we quantify coupled nitrogen and phosphorus uptake kinetics in three oligotrophic mountain streams by using novel experimental techniques that quantify colimitation dynamics across a range of nutrient concentrations and stoichiometries. We show that relative demand for NO3-N and PO4-P varied across streams, but that short term availability of one nutrient consistently resulted in elevated, but variable, uptake of the other nutrient at all sites. We used temporally offset, pulsed nutrient additions to parameterize dual-nutrient Michaelis-Menten uptake surface models that represent NO3-N and PO4-P uptake at any given concentration or dissolved NO3-N:PO4-P stoichiometry. Our results indicated that the uptake of N and P were strongly enhanced in the presence of the other nutrient. Surface models quantitatively reflect patterns of colimitation and multi-element demand in streams, and should allow for parameterization of more realistic stream network models that explicitly account for interactions among element cycles.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000394351700010,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DColimitation%2Band%2Bthe%2Bcoupling%2Bof%2BN%2Band%2BP%2Buptake%2Bkinetics%2Bin%2Boligotrophic%2Bmountain%2Bstreams%26rft.aufirst%3DLeslie%2BR.%26rft.auinit%3DLR%26rft.aulast%3DPiper%26rft.date%3D2017%26rft_id%3Dinfo%3Adoi%2F10.1007%252Fs10533-017-0294-0%26rft.eissn%3D1573-515X%26rft.epage%3D184%26rft.genre%3Darticle%26rft.issn%3D0168-2563%26rft.issue%3D1-2%26rft.jtitle%3DBIOGEOCHEMISTRY%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D165-184%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D165%26rft.stitle%3DBIOGEOCHEMISTRY%26rft.volume%3D132%26rft.au%3DPiper%252C%2BLR%26rft.au%3DCross%252C%2BWF%26rft.au%3DMcGlynn%252C%2BBL&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=BIOGEOCHEMISTRY&SrcPubType=MD_FORMAT
4,"Chenoweth, J",Dec 1999 ,Effective multi-jurisdictional river basin management - Data collection and exchange in the Murray-Darling and Mekong River basins,WATER INTERNATIONAL,"Hydrologic data collection is an important aspect of multi-jurisdictional river basin management. The Murray-Darling Basin Commission in Australia, and the Mekong River Commission in southeast Asia, are structured similarly and have established similarly structured monitoring networks. The efficiency and effectiveness of these two networks differ however. The reasons for the differences are examined, and it is concluded that contrasting socio-economic development provides only part of the explanation. The technical capacity of each organisation's member states, the extent each organisation depends on its own databases and the developmental stage of each organisation itself are also critically important.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000084814000011,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DEffective%2Bmulti-jurisdictional%2Briver%2Bbasin%2Bmanagement%2B-%2BData%2Bcollection%2Band%2Bexchange%2Bin%2Bthe%2BMurray-Darling%2Band%2BMekong%2BRiver%2Bbasins%26rft.aufirst%3DJ%26rft.auinit%3DJ%26rft.aulast%3DChenoweth%26rft.date%3D1999%26rft_id%3Dinfo%3Adoi%2F10.1080%252F02508069908692190%26rft.epage%3D376%26rft.genre%3Darticle%26rft.issn%3D0250-8060%26rft.issue%3D4%26rft.jtitle%3DWATER%2BINTERNATIONAL%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D368-376%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D368%26rft.stitle%3DWATER%2BINT%26rft.volume%3D24&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=WATER+INTERNATIONAL&SrcPubType=MD_FORMAT
5,"Zhao, YP",Jan 2023 ,Streaming Potential in Gas Phase Discrete Unsaturated Pore,ELECTRONICS,"The seismoelectric effect of porous media is the main basis for seismoelectric logging. At present, most of the studies on the seismoelectric effect in unsaturated porous media adopt the model of pores with continuous distribution of gas and liquid. There is a lack of theoretical research on the micro mechanism of the seismoelectric effect of unsaturated porous media with discrete gas phase, and the existing studies do not consider the effect of the electric double layer at the gas-liquid interface on the seismoelectric effect. Based on the capillary model, this work adopted the gas phase discrete model, combined the electric double layer theory and the seepage principle, considered the effect of electric double layer at the pore wall and the gas-liquid interface, and studied the micro principle of the seismoelectric effect of unsaturated porous media. Firstly, we studied the variation of gas-water two-phase flow pattern with saturation in unsaturated pores, then proposed the equivalent principle of series circuits, deduced the effective streaming current and conductance of a pore containing multiple bubbles, and then deduced the streaming potential coupling coefficient in the unsaturated pores. We also studied the effect of pore parameters such as saturation, pore size, bubble spacing, pore fluid viscosity, and salinity on the streaming potential coupling coefficient. The results show that the streaming potential coupling coefficient first increases and then decreases with the decrease in saturation, which is the same as the trend measured in Allegre's experiment, and provide a theoretical explanation for the non-monotonic change in the coupling coefficient with saturation in unsaturated porous media.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000908955400001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B72%26rft.atitle%3DStreaming%2BPotential%2Bin%2BGas%2BPhase%2BDiscrete%2BUnsaturated%2BPore%26rft.aufirst%3DYongpeng%26rft.auinit%3DYP%26rft.aulast%3DZhao%26rft.date%3D2023%26rft_id%3Dinfo%3Adoi%2F10.3390%252Felectronics12010072%26rft.eissn%3D2079-9292%26rft.genre%3Darticle%26rft.issue%3D1%26rft.jtitle%3DELECTRONICS%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DELECTRONICS-SWITZ%26rft.volume%3D12%26rft.au%3DZhao%252C%2BYP%26rft.au%3DSun%252C%2BXY%26rft.au%3DNie%252C%2BZP&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=ELECTRONICS&SrcPubType=MD_FORMAT
6,"Cerepi, A",Jul 2017 ,Streaming potential coupling coefficient in unsaturated carbonate rocks,GEOPHYSICAL JOURNAL INTERNATIONAL,"The seismoelectric and self-potential methods are showing promises to characterize both the vadose zone of the Earth, hydrocarbon reservoirs and CO2 sequestration. That said, the dependence of a key parameter, the streaming coupling coefficient, with the saturation remains highly debated. We explore here the relationship between the streaming potential coupling coefficient, the electrical resistivity, the capillary pressure curves and the permeability in two saturated and partially saturated carbonate rocks characterized by distinct textures. We investigate a limestone from the Paris basin (the Brauvilliers limestone) and a dolostone from the Aquitain basin (sample labeled LS2), both in France. The two core samples are characterized in terms of their porosity and intrinsic formation factor. A new core flooding system is used to measure simultaneously and, for the first time, both the relative permeability, the resistivity index and the streaming potential coupling coefficient in steady-state two-phase flow conditions as a function of the saturation with CO2 or N-2. The results are compared with a recently developed theoretical model, which can accommodate either the Brooks and Corey model or the van Genuchten model for the capillary pressure curves. This model is predicting a set of relationships between the streaming potential coupling coefficient, the relative permeability and the second Archie's exponent. We found a good agreement between the model based on the van Genuchten approach and experimental data, but still we could not fit all the curves with the same value of the pore size index. or van Genuchten exponent mv especially for the relative permeability.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000409281300021,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DStreaming%2Bpotential%2Bcoupling%2Bcoefficient%2Bin%2Bunsaturated%2Bcarbonate%2Brocks%26rft.aufirst%3DA.%26rft.auinit%3DA%26rft.aulast%3DCerepi%26rft.date%3D2017%26rft_id%3Dinfo%3Adoi%2F10.1093%252Fgji%252Fggx162%26rft.eissn%3D1365-246X%26rft.epage%3D302%26rft.genre%3Darticle%26rft.issn%3D0956-540X%26rft.issue%3D1%26rft.jtitle%3DGEOPHYSICAL%2BJOURNAL%2BINTERNATIONAL%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D291-302%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D291%26rft.stitle%3DGEOPHYS%2BJ%2BINT%26rft.volume%3D210%26rft.au%3DCerepi%252C%2BA%26rft.au%3DCherubini%252C%2BA%26rft.au%3DRevil%252C%2BA&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=GEOPHYSICAL+JOURNAL+INTERNATIONAL&SrcPubType=MD_FORMAT
7,"Oh, YH",Feb 2021 ,Identifying and quantifying groundwater inflow to a stream using Rn-220 and Rn-222 as natural tracers,JOURNAL OF HYDROLOGY-REGIONAL STUDIES,"Study region: Noseong Stream watershed in Nonsan, Chuncheongnam-do, South Korea.Study focus: This study aims to identify and quantify groundwater inflow to a stream based on the spatial and temporal distributions of Rn-220 and Rn-222 activities in stream water and groundwater. Groundwater-stream water exchange fluxes were estimated on the basis of Rn-222 mass balance approaches under losing and gaining stream conditions, and groundwater inflow type was identified using a spatial survey of Rn-220 in stream water.New hydrological insights for the region: The Rn-222 activities at 20 stations along the stream during four sampling campaigns were higher at high altitudes than low altitudes, regardless of the season. At two sections, which appeared to be gaining systems, the groundwater inflow rates were estimated to be 6.5 x 10(2) and 4.0 x 10(2) m(3) d(-1). At another stream section, where groundwater inflow to the stream and stream water leakage into groundwater may alternatingly occur, the groundwater inflow and stream water leakage were 1.5 x 10(2) and 2.5 x 10(4) m(3) d(-1), respectively. A spatial survey of Rn-220 along the stream indicates that groundwater may dominantly discharge to the stream water as point sources rather than diffuse seepage.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000612991900006,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B100773%26rft.atitle%3DIdentifying%2Band%2Bquantifying%2Bgroundwater%2Binflow%2Bto%2Ba%2Bstream%2Busing%2BRn-220%2Band%2BRn-222%2Bas%2Bnatural%2Btracers%26rft.aufirst%3DYong%2BHwa%26rft.auinit%3DYH%26rft.aulast%3DOh%26rft.date%3D2021%26rft_id%3Dinfo%3Adoi%2F10.1016%252Fj.ejrh.2021.100773%26rft.eissn%3D2214-5818%26rft.genre%3Darticle%26rft.jtitle%3DJOURNAL%2BOF%2BHYDROLOGY-REGIONAL%2BSTUDIES%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DJ%2BHYDROL-REG%2BSTUD%26rft.volume%3D33%26rft.au%3DOh%252C%2BYH%26rft.au%3DKoh%252C%2BDC%26rft.au%3DHa%252C%2BK&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=JOURNAL+OF+HYDROLOGY-REGIONAL+STUDIES&SrcPubType=MD_FORMAT
8,"Wondzell, SM",Mar 2015 ,Groundwater-surface-water interactions: perspectives on the development of the science over the last 20 years,FRESHWATER SCIENCE,"Freshwater Science published a special series of papers on groundwater-surface-water (GW-SW) interactions in this issue (2015), marking the anniversary of an earlier special series of papers on the hyporheic zone published in 1993. In this concluding paper, I compare the 2 special series of papers and use this comparison to examine the development of the science in the years between 1993 and 2015. The 1993 papers marked the beginning of a period of exponential growth in the study of, and publication of, papers on GW-SW interactions. The 1993 papers tended to be forward looking, proposing conceptual models of GW-SW interactions across stream networks and identifying critical gaps. The 2015 special series of papers contrasts sharply with that of 1993. Broad issue papers are mostly lacking from the current special series. Instead, the special series is dominated by papers focusing on process-based or descriptive studies using empirical approaches. This difference probably stems from major methodological advancements over the past 2 decades that make it possible to study GW-SW interactions with ever greater detail and, thus, allows more complete understanding of specific processes. In contrast, the authors of the 1993 special series were acutely aware of the paucity of GW-SW studies and, thus, posed their conceptual models as hypotheses. Surprisingly, these hypotheses have not been rigorously tested in the decades since their publication. Perhaps it is time to re-examine such broad conceptual models. There remains a critical need for a holistic understanding of how GW-SW interactions vary among streams types and sizes and with changes in discharge among seasons or over storm events and how these GW-SW interactions influence stream ecosystem processes.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000349995000028,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DGroundwater-surface-water%2Binteractions%253A%2Bperspectives%2Bon%2Bthe%2Bdevelopment%2Bof%2Bthe%2Bscience%2Bover%2Bthe%2Blast%2B20%2Byears%26rft.aufirst%3DSteven%2BM.%26rft.auinit%3DSM%26rft.aulast%3DWondzell%26rft.date%3D2015%26rft_id%3Dinfo%3Adoi%2F10.1086%252F679665%26rft.eissn%3D2161-9565%26rft.epage%3D376%26rft.genre%3Darticle%26rft.issn%3D2161-9549%26rft.issue%3D1%26rft.jtitle%3DFRESHWATER%2BSCIENCE%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D368-376%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D368%26rft.stitle%3DFRESHW%2BSCI%26rft.volume%3D34&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=FRESHWATER+SCIENCE&SrcPubType=MD_FORMAT
9,"Hartman, MD",Jan 24 2007 ,"Application of a coupled ecosystem-chemical equilibrium model, DayCent-Chem, to stream and soil chemistry in a Rocky Mountain watershed",ECOLOGICAL MODELLING,"Atmospheric deposition of sulfur and nitrogen species have the potential to acidify terrestrial and aquatic ecosystems, but nitrate and ammonium are also critical nutrients for plant and microbial productivity. Both the ecological response and the hydrochemical response to atmospheric deposition are of interest to regulatory and land management agencies. We developed a non-spatial biogeochemical model to simulate soil and surface water chemistry by linking the daily version of the CENTURY ecosystem model (DayCent) with a low temperature aqueous geochemical model, PHREEQC. The coupled model, DayCent-Chem, simulates the daily dynamics of plant production, soil organic matter, cation exchange, mineral weathering, elution, stream discharge, and solute concentrations in soil water and stream flow. By aerially weighting the contributions of separate bedrock/talus and tundra simulations, the model was able to replicate the measured seasonal and annual stream chemistry for most solutes for Andrews Creek in Loch Vale watershed, Rocky Mountain National Park. Simulated soil chemistry, net primary production, live biomass, and soil organic matter for forest and tundra matched well with measurements. This model is appropriate for accurately describing ecosystem and surface water chemical response to atmospheric deposition and climate change. (c) 2006 Elsevier B.V. All rights reserved.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000243601100019,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DApplication%2Bof%2Ba%2Bcoupled%2Becosystem-chemical%2Bequilibrium%2Bmodel%252C%2BDayCent-Chem%252C%2Bto%2Bstream%2Band%2Bsoil%2Bchemistry%2Bin%2Ba%2BRocky%2BMountain%2Bwatershed%26rft.aufirst%3DMelannie%2BD.%26rft.auinit%3DMD%26rft.aulast%3DHartman%26rft.date%3D2007%26rft_id%3Dinfo%3Adoi%2F10.1016%252Fj.ecolmodel.2006.09.001%26rft.epage%3D510%26rft.genre%3Darticle%26rft.issn%3D0304-3800%26rft.issue%3D3-4%26rft.jtitle%3DECOLOGICAL%2BMODELLING%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D493-510%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D493%26rft.stitle%3DECOL%2BMODEL%26rft.volume%3D200%26rft.au%3DHartman%252C%2BMD%26rft.au%3DBaron%252C%2BJS%26rft.au%3DOjima%252C%2BDS&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0A84zRrfeQWL39e2KcJixyK&SrcJTitle=ECOLOGICAL+MODELLING&SrcPubType=MD_FORMAT
