,First author,Year,Title,Journal,Abstract,wos_link,fulltext_link
0,"Drouin, G",Mar 2021 ,Pollutant Dissipation at the Sediment-Water Interface: A Robust Discrete Continuum Numerical Model and Recirculating Laboratory Experiments,WATER RESOURCES RESEARCH,"Pollutant exchange in the hyporheic zone is a major process controlling its degradation in river systems. Knowledge of mass transfer processes at the sediment-water interface (SWI) remains scarce. Accurate predictive modeling of flow driving pollutant fluxes at the SWI is currently limited. We examined mass exchange at the SWI by combining laboratory tracer experiments and the development of a flow reactive transport (FRT) model. NaCl and Foron Blue 291 tracers were used as surrogates of conservative and moderately sorptive organic pollutants, respectively. Tracer experiments in the bench-scale river channel reproduced the influence of overlying water velocities, the source of the pollutant, and its sorption capacity on pollutant exchange. A methodological framework to calibrate the FRT model against experiments was developed. Good agreement between the experimental and numerical results confirmed the robustness of the experimental setup and numerical model. The pollutant origin, either from the sediment or the overlying water, did not affect the pollutant exchange rates. The exchange rates were quasi-proportional to the overlying water velocity. The sediment bed caused retention of more than half of the initially injected mass of Foron Blue 291. The moderately sorptive tracer partitioning retarded the equilibrium up to six times compared with the conservative tracer NaCl. Numerical tests, including both overlying and vertical velocities, showed that the latter is the main factor controlling pollutant exchange at the SWI. Altogether, the model allows capturing interactions between pollutant transport and partitioning to the rivers sediment, paving the way for systematic investigations of pollutant behavior in rivers.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000635680800043,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2Be2020WR028932%26rft.atitle%3DPollutant%2BDissipation%2Bat%2Bthe%2BSediment-Water%2BInterface%253A%2BA%2BRobust%2BDiscrete%2BContinuum%2BNumerical%2BModel%2Band%2BRecirculating%2BLaboratory%2BExperiments%26rft.aufirst%3DGuillaume%26rft.auinit%3DG%26rft.aulast%3DDrouin%26rft.date%3D2021%26rft_id%3Dinfo%3Adoi%2F10.1029%252F2020WR028932%26rft.eissn%3D1944-7973%26rft.genre%3Darticle%26rft.issn%3D0043-1397%26rft.issue%3D3%26rft.jtitle%3DWATER%2BRESOURCES%2BRESEARCH%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DWATER%2BRESOUR%2BRES%26rft.volume%3D57%26rft.au%3DDrouin%252C%2BG%26rft.au%3DFahs%252C%2BM%26rft.au%3DPayraudeau%252C%2BS&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=WATER+RESOURCES+RESEARCH&SrcPubType=MD_FORMAT
1,"van Genuchten, MT",Sep 2013 ,Exact analytical solutions for contaminant transport in rivers 2. Transient storage and decay chain solutions,JOURNAL OF HYDROLOGY AND HYDROMECHANICS,"Contaminant transport processes in streams, rivers, and other surface water bodies can be analyzed or predicted using the advection-dispersion equation and related transport models. In part 1 of this two-part series we presented a large number of one-and multi-dimensional analytical solutions of the standard equilibrium advection-dispersion equation (ADE) with and without terms accounting for zero-order production and first-order decay. The solutions are extended in the current part 2 to advective-dispersive transport with simultaneous first-order mass exchange between the stream or river and zones with dead water (transient storage models), and to problems involving longitudinal advective-dispersive transport with simultaneous diffusion in fluvial sediments or near-stream subsurface regions comprising a hyporheic zone. Part 2 also provides solutions for one-dimensional advective-dispersive transport of contaminants subject to consecutive decay chain reactions.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000324116300010,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DExact%2Banalytical%2Bsolutions%2Bfor%2Bcontaminant%2Btransport%2Bin%2Brivers%2B2.%2BTransient%2Bstorage%2Band%2Bdecay%2Bchain%2Bsolutions%26rft.aufirst%3DMartinus%2BTh.%26rft.auinit%3DMT%26rft.aulast%3Dvan%2BGenuchten%26rft.date%3D2013%26rft_id%3Dinfo%3Adoi%2F10.2478%252Fjohh-2013-0032%26rft.epage%3D259%26rft.genre%3Darticle%26rft.issn%3D0042-790X%26rft.issue%3D3%26rft.jtitle%3DJOURNAL%2BOF%2BHYDROLOGY%2BAND%2BHYDROMECHANICS%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D250-259%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D250%26rft.stitle%3DJ%2BHYDROL%2BHYDROMECH%26rft.volume%3D61%26rft.au%3Dvan%2BGenuchten%252C%2BMT%26rft.au%3DLeij%252C%2BFJ%26rft.au%3DPontedeiro%252C%2BEM&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=JOURNAL+OF+HYDROLOGY+AND+HYDROMECHANICS&SrcPubType=MD_FORMAT
2,"Fytilis, N",Nov 2013 ,Coupling self-organizing maps with a Naive Bayesian classifier : Stream classification studies using multiple assessment data,WATER RESOURCES RESEARCH,"Organizing or clustering data into natural groups is one of the most fundamental aspects of understanding and mining information. The recent explosion in sensor networks and data storage associated with hydrological monitoring has created a huge potential for automating data analysis and classification of large, high-dimensional data sets. In this work, we develop a new classification tool that couples a Naive Bayesian classifier with a neural network clustering algorithm (i.e., Kohonen Self-Organizing Map (SOM)). The combined Bayesian-SOM algorithm reduces classification error by leveraging the Bayesian's ability to accommodate parameter uncertainty with the SOM's ability to reduce high-dimensional data to lower dimensions. The resulting algorithm is data-driven, nonparametric and is as computationally efficient as a Naive Bayesian classifier due to its parallel architecture. We apply, evaluate and test the Bayesian-SOM network using two real-world hydrological data sets. The first uses genetic data to classify the state of disease in native fish populations in the upper Madison River, MT, USA. The second uses stream geomorphic and water quality data measured at similar to 2500 Vermont stream reaches to predict habitat conditions. The new classification tool has substantial benefits over traditional classification methods due to its ability to dynamically update prior information, assess the uncertainty/confidence of the posterior probability values, and visualize both the input data and resulting probabilistic clusters onto two-dimensional maps to better assess nonlinear mappings between the two.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000328683800042,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B7747-7762%26rft.atitle%3DCoupling%2Bself-organizing%2Bmaps%2Bwith%2Ba%2BNaive%2BBayesian%2Bclassifier%2B%253A%2BStream%2Bclassification%2Bstudies%2Busing%2Bmultiple%2Bassessment%2Bdata%26rft.aufirst%3DNikolaos%26rft.auinit%3DN%26rft.aulast%3DFytilis%26rft.date%3D2013%26rft_id%3Dinfo%3Adoi%2F10.1002%252F2012WR013422%26rft.eissn%3D1944-7973%26rft.epage%3D7762%26rft.genre%3Darticle%26rft.issn%3D0043-1397%26rft.issue%3D11%26rft.jtitle%3DWATER%2BRESOURCES%2BRESEARCH%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D7747-7762%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D7747%26rft.stitle%3DWATER%2BRESOUR%2BRES%26rft.volume%3D49%26rft.au%3DFytilis%252C%2BN%26rft.au%3DRizzo%252C%2BDM&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=WATER+RESOURCES+RESEARCH&SrcPubType=MD_FORMAT
3,"Ayotunde, EO",Dec 2011 ,"HEAVY METAL PROFILE OF CROSS RIVER : CROSS RIVER STATE, NIGERIA: USING BIOINDICATORS",INDIAN JOURNAL OF ANIMAL RESEARCH,"The heavy metals profile (Zn, Cu, Fe, Co, Pb, Cd and Cr) in water, sediments and fish was assessed using Atomic Absorption Spectrophotometer at Cross River, Cross River State, Nigeria. The heavy metals profile was observed in the order of Sediments > Fish > Water and Ikom Station I > Obubra Station II > Ekori Station III > Ikot Okpora Station IV > Ikot Offiong Station V > Calabar Station VI respectively. Most of the heavy metals were below the maximum allowable levels set by the WHO, FEPA, and USEPA except Zinc with mean concentration of 0.099 +/- 0.00404 mu g.g(-1) which is above recommended limit of 0.0766 mu g.g(-1) of USEPA in the sediment at Ikom. This implies that the waste assimilation capacity of the river is high, a phenomenon that could be ascribed to dilution, sedimentation and continuous water exchange. This is an indication that an urban and industrial waste discharged into the Cross River has a significant effect on the ecological balance of the river. Thus fish species from the Cross River harvested are safe for human consumption.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000298503900001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DHEAVY%2BMETAL%2BPROFILE%2BOF%2BCROSS%2BRIVER%2B%253A%2BCROSS%2BRIVER%2BSTATE%252C%2BNIGERIA%253A%2BUSING%2BBIOINDICATORS%26rft.aufirst%3DE.%2BO.%26rft.auinit%3DEO%26rft.aulast%3DAyotunde%26rft.date%3D2011%26rft.epage%3D246%26rft.genre%3Darticle%26rft.issn%3D0367-6722%26rft.issue%3D4%26rft.jtitle%3DINDIAN%2BJOURNAL%2BOF%2BANIMAL%2BRESEARCH%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D232-246%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D232%26rft.stitle%3DINDIAN%2BJ%2BANIM%2BRES%26rft.volume%3D45%26rft.au%3DAyotunde%252C%2BEO%26rft.au%3DOffem%252C%2BBO%26rft.au%3DAda%252C%2BFB&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=INDIAN+JOURNAL+OF+ANIMAL+RESEARCH&SrcPubType=MD_FORMAT
4,"Philipsen, LJ",Nov 2022 ,Riparian recruitment persists after damming: Environmental flows and coupled colonization of cottonwoods and willows following floods along a dryland river,RIVER RESEARCH AND APPLICATIONS,"For riparian woodlands, occasional floods provide geomorphic disturbance that creates barren colonization sites, and river stage patterns that enable seedling establishment. To investigate impacts from river damming and instream flow regulation on these processes, we studied the lower Red Deer River in the semi-arid region of Alberta, Canada. Dickson Dam was implemented in 1983 and although major flood peaks in June 2005 and June 2013 were attenuated by about one-quarter, substantial seedling establishment of plains cottonwoods (Populus deltoides) was observed. Cross-sectional transects in 2014 and 2015 revealed the reproductively mature cottonwood band from 2005, while the 2013 colonization was limited to low elevations of 0.3-1.3 m above the base river stage. Seedling numbers and the elevational ranges were probably reduced by abrupt (>4 cm/day) river stage reductions in July 2005 and in July 2013. In addition to direct seedling establishment on barren sandbars, we observed ""coupled colonization"" with cottonwood recruitment within sparse patches of sandbar willows (Salix exigua). The flood-tolerant willows stabilize the bars and increase aggradation through sediment trapping. Thus, cottonwood colonization persisted after damming, indicating that the pattern of downstream flow regulation was important, rather than damming per se. To sustain riparian recruitment along regulated rivers in dry regions, we recommend: (1) that floods be allowed as feasible, (2) higher river stages during seed dispersal, (3) flow ramping (gradual summer recession) for seedling survival, (4) sufficient growing season flows to avoid drought-induced mortality, and (5) that willows be encouraged as well as cottonwoods.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000835854500001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DRiparian%2Brecruitment%2Bpersists%2Bafter%2Bdamming%253A%2BEnvironmental%2Bflows%2Band%2Bcoupled%2Bcolonization%2Bof%2Bcottonwoods%2Band%2Bwillows%2Bfollowing%2Bfloods%2Balong%2Ba%2Bdryland%2Briver%26rft.aufirst%3DLaurens%2BJ.%26rft.auinit%3DLJ%26rft.aulast%3DPhilipsen%26rft.date%3D2022%26rft_id%3Dinfo%3Adoi%2F10.1002%252Frra.4030%26rft.eissn%3D1535-1467%26rft.epage%3D1653%26rft.genre%3Darticle%26rft.issn%3D1535-1459%26rft.issue%3D9%26rft.jtitle%3DRIVER%2BRESEARCH%2BAND%2BAPPLICATIONS%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D1642-1653%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D1642%26rft.stitle%3DRIVER%2BRES%2BAPPL%26rft.volume%3D38%26rft.au%3DPhilipsen%252C%2BLJ%26rft.au%3DRood%252C%2BSB&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=RIVER+RESEARCH+AND+APPLICATIONS&SrcPubType=MD_FORMAT
5,"ZWICK, P",Jun 1992 ,STREAM HABITAT FRAGMENTATION - A THREAT TO BIODIVERSITY,BIODIVERSITY AND CONSERVATION,"Biodiversity is undisturbed rhithral streams in central Europe is high, with about 1000 resident metazoan species; over 600 insect species occur in the Fulda river (Germany). Longitudinal downstream shift of dominance from rheobiontic to rheophilous and finally to ubiquituos rheoxenic taxa in the potamal is described. Present downstream importance of ubiquituous species probably results from replacement of original potamal communities, present faunas being surrogates. Species losses through human impact are well documented for fish. The case of Plecoptera (10 potamal species either altogether extinct, extinct in Central Europe or extremely endangered) suggests that potamal invertebrates suffered as severe losses as did fish.Human impact on major rivers was so severe also because they occur at distances beyond average dispersal capacity of the fauna, i.e. are widely separate ecological islands, with known risk of species losses. In contrast, faunal exchange between adjacent headwater streams in mountains with intact stream nets is easy, certainly for amphibious insects. However, damage to rhithral streams is becoming increasingly frequent. This fragments stream nets, turning also upper parts of drainage systems into ecological islands, with danger of extinctions. Rhithral biodiversity is thought to be much more endangered by human impact than is presently recognized.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:A1992JQ67100002,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DSTREAM%2BHABITAT%2BFRAGMENTATION%2B-%2BA%2BTHREAT%2BTO%2BBIODIVERSITY%26rft.aufirst%3DP%26rft.auinit%3DP%26rft.aulast%3DZWICK%26rft.date%3D1992%26rft_id%3Dinfo%3Adoi%2F10.1007%252FBF00731036%26rft.epage%3D97%26rft.genre%3Darticle%26rft.issn%3D0960-3115%26rft.issue%3D2%26rft.jtitle%3DBIODIVERSITY%2BAND%2BCONSERVATION%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D80-97%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D80%26rft.stitle%3DBIODIVERS%2BCONSERV%26rft.volume%3D1&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=BIODIVERSITY+AND+CONSERVATION&SrcPubType=MD_FORMAT
6,"Semiromi, MT",Mar 2019 ,"Analysis of spatio-temporal variability of surface-groundwater interactions in the Gharehsoo river basin, Iran, using a coupled SWAT-MODFLOW model",ENVIRONMENTAL EARTH SCIENCES,"Although groundwater and surface water are often treated as individual water compartments in hydrological cycle studies, they essentially originate from one source. Such a split approach restricts the optimal usages of these water resources in several water management applications. The present study aims to shed light on the complex interaction of surface-groundwater interactions in terms of groundwater recharge from drainage network towards the adjacent aquafer and conversely, groundwater discharge from the aquifer towards the drainage network in the Gharehsoo River Basin (GRB), with the enclosed Ardabil aquifer, located in northwest Iran. To that end, the Soil and Water Assessment Tool (SWAT), as the surface hydrological model was fully coupled with the latest version of the Modular Three-Dimensional Finite-Difference Groundwater Flow (MODFLOW-NWT) (Newton-Raphson Technique to improve the solutions of unconfined groundwater-flow problems). The total study period, i.e. 1978-2012 was split into two intervals for calibration (1988-2012) and validation (1978-1987). To facilitate and expedite the calibration of the coupled model, first we calibrated SWAT and MODFLOW-NWT independently against the observed streamflow and groundwater head time series, respectively. Afterwards, we recalibrated the coupled model SWAT-MODFLOW. To link these two models, the surface and sub-surface water flow components are exchanged between the Disaggregated Hydrological Response Units (DHRUs) of SWAT with the MODFLOW-NWT' grid cells. In addition, three more flow components are sequentially exchanged: the deep percolation from SWAT to MODFLOW-NWT, baseflow/groundwater discharge from MODFLOW-NWT to SWAT, and the river heads from SWAT to MODFLOW-NWT. The results of the application show that the coupled model satisfactorily, quantified by R(2)0.5, simulates streamflow and particularly, groundwater heads. In fact, both observations and simulations indicate that, owing to an ongoing overexploitation of the aquifer, heads havebeen decreased steadily over the studied period which has led to a parallel decline of the groundwater storage. Moreover, the analysis of the stream-aquifer exchange flows indicates that groundwater discharge towards the stream-network (effluent conditions) is orders of magnitude higher than the opposite process (influent conditions). In addition, findings reveal that many of the tributaries across the GRB have shifted from a perennial regime to ephemeral/intermittent system over the past decades. The provided and well-tested coupled model would be a viable asset to assess a wide range of plausible scenarios to identify most effective and practical water resource management schemes to recover the severely depleted surface water and groundwater resources of the GRB.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000460690200001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.artnum%3DARTN%2B201%26rft.atitle%3DAnalysis%2Bof%2Bspatio-temporal%2Bvariability%2Bof%2Bsurface-groundwater%2Binteractions%2Bin%2Bthe%2BGharehsoo%2Briver%2Bbasin%252C%2BIran%252C%2Busing%2Ba%2Bcoupled%2BSWAT-MODFLOW%2Bmodel%26rft.aufirst%3DMajid%2BTaie%26rft.auinit%3DMT%26rft.aulast%3DSemiromi%26rft.date%3D2019%26rft_id%3Dinfo%3Adoi%2F10.1007%252Fs12665-019-8206-3%26rft.eissn%3D1866-6299%26rft.genre%3Darticle%26rft.issn%3D1866-6280%26rft.issue%3D6%26rft.jtitle%3DENVIRONMENTAL%2BEARTH%2BSCIENCES%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.stitle%3DENVIRON%2BEARTH%2BSCI%26rft.volume%3D78%26rft.au%3DSemiromi%252C%2BMT%26rft.au%3DKoch%252C%2BM&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=ENVIRONMENTAL+EARTH+SCIENCES&SrcPubType=MD_FORMAT
7,"Pan, BZ",2009 ,FACTORS INFLUENCING CHLOROPHYLL A CONCENTRATION IN THE YANGTZE-CONNECTED LAKES,FRESENIUS ENVIRONMENTAL BULLETIN,"To determine the environmental factors influencing C, phytoplankton chlorophyll a (Ch1 a), field investigations 4 were conducted in three river-connected lakes (Dongting Lake, Poyang Lake and Shijiu Lake) of the Yangtze floodplain in 2004. Results showed that the average Chi a concentration in these lakes ranged from 2.98 to 3.65 mg m(-3). The major factors influencing Chl a in lentic and lotic regions were total phosphorus (TP) and water velocity (U), respectively. Multiple relationships including total nitrogen (log(10)TN) and water depth (log(10)Z) were established. Further analyses found that the absolute Chi a and slope of log(10)Chl a=f (log(10)TP) in the river-connected lakes were obviously lower than those in the river-isolated lakes. This suggests the river-lake connectivity can significantly modify relationship between TP and chlorophyll a concentration.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000272581800017,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DFACTORS%2BINFLUENCING%2BCHLOROPHYLL%2BA%2BCONCENTRATION%2BIN%2BTHE%2BYANGTZE-CONNECTED%2BLAKES%26rft.aufirst%3DBao-Zhu%26rft.auinit%3DBZ%26rft.aulast%3DPan%26rft.date%3D2009%26rft.eissn%3D1610-2304%26rft.epage%3D1900%26rft.genre%3Darticle%26rft.issn%3D1018-4619%26rft.issue%3D10%26rft.jtitle%3DFRESENIUS%2BENVIRONMENTAL%2BBULLETIN%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D1894-1900%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D1894%26rft.stitle%3DFRESEN%2BENVIRON%2BBULL%26rft.volume%3D18%26rft.au%3DPan%252C%2BBZ%26rft.au%3DWang%252C%2BHJ%26rft.au%3DWang%252C%2BHZ&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=FRESENIUS+ENVIRONMENTAL+BULLETIN&SrcPubType=MD_FORMAT
8,"Folster, J",Feb 15 2001 ,Significance of processes in the near-stream zone on stream water acidity in a small acidified forested catchment,HYDROLOGICAL PROCESSES,"The near-stream zone has received increasing attention owing to its influence on stream water chemistry in general and acidity in particular. Possible processes in this zone include cation exchange, leaching of organic matter and redox reactions of sulphur compounds. III this study the influences of processes in the near-stream zone on the acidity in runoff from a small, acidified catchment in central southern Sweden were investigated. The study included sampling of groundwater, soil water and stream water along with hydrological measurements. An input-output budget for the catchment was established based on data from the International Go-operative Programme on Integrated Monitoring at this site.The catchment was heavily acidified by deposition of anthropogenic sulphur, with pH in stream water between 4.4 and 4.6. There was also no relationship between stream flow and pH, which is indicative of chronic acidification. Indications of microbial reduction of sulphate were found in some places near the stream, but the near-stream zone did not have a general impact on the sulphate concentration in discharging groundwater. The near-stream zone was a source of dissolved organic carbon (DOC) in the stream, which had a median DOC of 6.8 mg L-1. The influence on stream acidity from organic anions was overshadowed by the effect of sulphate, however, except during a spring flow episode, when additional organic matter was flushed out and the sulphate-rich ground water was mixed with more diluted event water. Ion exchange was not an important process in the near-stream zone of the Kindla catchment. Different functions of the near-stream zone relating to discharge acidity are reported in the literature. In this study there was even a variation within the site. There is therefore a need for more case studies to provide a more detailed understanding of the net effects that the near-stream zone can have on stream chemistry under different circumstances. Copyright (C) 2001 John Wiley & Sons, Ltd.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000167211600002,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DSignificance%2Bof%2Bprocesses%2Bin%2Bthe%2Bnear-stream%2Bzone%2Bon%2Bstream%2Bwater%2Bacidity%2Bin%2Ba%2Bsmall%2Bacidified%2Bforested%2Bcatchment%26rft.aufirst%3DJ%26rft.auinit%3DJ%26rft.aulast%3DFolster%26rft.date%3D2001%26rft_id%3Dinfo%3Adoi%2F10.1002%252Fhyp.97%26rft.eissn%3D1099-1085%26rft.epage%3D217%26rft.genre%3Darticle%26rft.issn%3D0885-6087%26rft.issue%3D2%26rft.jtitle%3DHYDROLOGICAL%2BPROCESSES%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D201-217%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D201%26rft.stitle%3DHYDROL%2BPROCESS%26rft.volume%3D15&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=HYDROLOGICAL+PROCESSES&SrcPubType=MD_FORMAT
9,"Bonada, N",Nov 2013 ,Mediterranean-climate streams and rivers: geographically separated but ecologically comparable freshwater systems,HYDROBIOLOGIA,"Streams and rivers in mediterranean-climate regions (med-rivers in med-regions) are ecologically unique, with flow regimes reflecting precipitation patterns. Although timing of drying and flooding is predictable, seasonal and annual intensity of these events is not. Sequential flooding and drying, coupled with anthropogenic influences make these med-rivers among the most stressed riverine habitat worldwide. Med-rivers are hotspots for biodiversity in all med-regions. Species in med-rivers require different, often opposing adaptive mechanisms to survive drought and flood conditions or recover from them. Thus, metacommunities undergo seasonal differences, reflecting cycles of river fragmentation and connectivity, which also affect ecosystem functioning. River conservation and management is challenging, and trade-offs between environmental and human uses are complex, especially under future climate change scenarios. This overview of a Special Issue on med-rivers synthesizes information presented in 21 articles covering the five med-regions worldwide: Mediterranean Basin, coastal California, central Chile, Cape region of South Africa, and southwest and southern Australia. Research programs to increase basic knowledge in less-developed med-regions should be prioritized to achieve increased abilities to better manage med-rivers.Show less",https://www.webofscience.com/wos/woscc/full-record/WOS:000325182400001,https://www.webofscience.com/api/gateway?GWVersion=2&SrcAuth=OpenURL&SrcApp=WOS&DestURL=https%3A%2F%2Fwww.redi-bw.de%2Flinks%2Funist%3Furl_ver%3DZ39.88-2004%26url_ctx_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Actx%26rft.atitle%3DMediterranean-climate%2Bstreams%2Band%2Brivers%253A%2Bgeographically%2Bseparated%2Bbut%2Becologically%2Bcomparable%2Bfreshwater%2Bsystems%26rft.aufirst%3DNuria%26rft.auinit%3DN%26rft.aulast%3DBonada%26rft.date%3D2013%26rft_id%3Dinfo%3Adoi%2F10.1007%252Fs10750-013-1634-2%26rft.eissn%3D1573-5117%26rft.epage%3D29%26rft.genre%3Darticle%26rft.issn%3D0018-8158%26rft.issue%3D1%26rft.jtitle%3DHYDROBIOLOGIA%26rft_val_fmt%3Dinfo%3Aofi%2Ffmt%3Akev%3Amtx%3Ajournal%26rft.pages%3D1-29%26rfr_id%3Dinfo%3Asid%2Fwebofscience.com%3AWOS%3AWOS%26rft.spage%3D1%26rft.stitle%3DHYDROBIOLOGIA%26rft.volume%3D719%26rft.au%3DBonada%252C%2BN%26rft.au%3DResh%252C%2BVH&DestApp=OTHER_OpenURL&SrcAppSID=EUW1ED0AD4bZsvxLjVPiIfLsse0qz&SrcJTitle=HYDROBIOLOGIA&SrcPubType=MD_FORMAT
